Temperature,  F    <E>     <E^2>    Cv    entropy
============================================
0.010000   -inf   nan    nan    nan   nan
0.010723   -inf   nan    nan    nan   nan
0.011498   -inf   nan    nan    nan   nan
0.012328   -inf   nan    nan    nan   nan
0.013219   -inf   nan    nan    nan   nan
0.014175   -inf   nan    nan    nan   nan
0.015199   -inf   nan    nan    nan   nan
0.016298   -inf   nan    nan    nan   nan
0.017475   -inf   nan    nan    nan   nan
0.018738   -inf   nan    nan    nan   nan
0.020092   -inf   nan    nan    nan   nan
0.021544   -inf   nan    nan    nan   nan
0.023101   -inf   nan    nan    nan   nan
0.024771   -inf   nan    nan    nan   nan
0.026561   -17.548059   -17.853971    318.764980    1.005481   -11.517383
0.028480   -17.530875   -17.851940    318.692533    0.953663   -11.273201
0.030539   -17.507697   -17.850433    318.638764    0.880293   -11.223056
0.032745   -17.483067   -17.847669    318.540263    0.915718   -11.134397
0.035112   -17.452923   -17.845152    318.450577    0.924627   -11.170808
0.037649   -17.425124   -17.843673    318.397871    0.842090   -11.117032
0.040370   -17.397831   -17.841657    318.326015    0.791937   -10.993908
0.043288   -17.363082   -17.839150    318.236724    0.776038   -10.997788
0.046416   -17.329826   -17.837079    318.162960    0.729516   -10.928445
0.049770   -17.298549   -17.834904    318.085508    0.683502   -10.776620
0.053367   -17.254545   -17.830943    317.944526    0.702129   -10.800643
0.057224   -17.215067   -17.828691    317.864360    0.655225   -10.723243
0.061359   -17.168223   -17.827793    317.832392    0.581795   -10.749347
0.065793   -17.122678   -17.826183    317.775084    0.529405   -10.692643
0.070548   -17.065744   -17.820808    317.583935    0.548944   -10.702842
0.075646   -17.016530   -17.820342    317.567343    0.479973   -10.625920
0.081113   -16.952254   -17.816546    317.432374    0.465940   -10.655390
0.086975   -16.892166   -17.814253    317.350868    0.430020   -10.601765
0.093260   -16.824605   -17.809911    317.196548    0.416219   -10.565112
0.100000   -16.755088   -17.808420    317.143627    0.379182   -10.533319
0.107227   -16.684882   -17.807175    317.099434    0.344616   -10.466541
0.114976   -16.604474   -17.800238    316.853120    0.351232   -10.400148
0.123285   -16.504157   -17.798223    316.781831    0.334907   -10.496569
0.132194   -16.415216   -17.798303    316.785135    0.317678   -10.462547
0.141747   -16.322812   -17.795183    316.674839    0.314312   -10.387282
0.151991   -16.228011   -17.788565    316.440216    0.310927   -10.267398
0.162975   -16.111867   -17.793347    316.612068    0.334197   -10.317402
0.174753   -15.976142   -17.782855    316.241789    0.388018   -10.338680
0.187382   -15.853599   -17.778083    316.074825    0.415467   -10.270392
0.200923   -15.716901   -17.775404    315.983774    0.465043   -10.245222
0.215443   -15.573392   -17.769100    315.767306    0.568759   -10.191571
0.231013   -15.397937   -17.752128    315.175560    0.702829   -10.190733
0.247708   -15.222516   -17.737106    314.656877    0.846898   -10.151442
0.265609   -15.068774   -17.731882    314.486572    0.948697   -10.026430
0.284804   -14.867509   -17.709927    313.739152    1.203869   -9.980272
0.305386   -14.648071   -17.671835    312.436338    1.528826   -9.901464
0.327455   -14.440773   -17.640180    311.366003    1.772363   -9.770528
0.351119   -14.197885   -17.590984    309.715501    2.212643   -9.663669
0.376494   -13.980302   -17.542441    308.087407    2.470267   -9.461356
0.403702   -13.707811   -17.452594    305.086560    3.028138   -9.276114
0.432876   -13.457192   -17.380800    302.717671    3.337974   -9.064043
0.464159   -13.182164   -17.278409    299.367082    3.823187   -8.825092
0.497702   -12.905974   -17.149851    295.163413    4.222824   -8.526937
0.533670   -12.575832   -16.924963    287.806558    4.747735   -8.149479
0.572237   -12.284709   -16.769580    282.875438    5.059080   -7.837439
0.613591   -11.978220   -16.613230    278.042539    5.426707   -7.553912
0.657933   -11.626999   -16.291137    267.880164    5.726859   -7.089075
0.705480   -11.298337   -16.016021    259.443539    5.888264   -6.687196
0.756463   -10.986401   -15.764397    251.956323    6.011710   -6.316229
0.811131   -10.641392   -15.388011    240.686867    5.921569   -5.851854
0.869749   -10.294842   -14.997350    229.334242    5.834710   -5.406741
0.932603   -9.978864   -14.677728    220.472752    5.791389   -5.038438
1.000000   -9.656408   -14.289769    209.783359    5.585860   -4.633361
1.072267   -9.327127   -13.856719    198.114861    5.310866   -4.224312
1.149757   -9.020858   -13.488014    188.785780    5.188786   -3.885304
1.232847   -8.713698   -13.072655    178.433470    4.960261   -3.535684
1.321941   -8.417219   -12.655791    168.361219    4.687866   -3.206324
1.417474   -8.124141   -12.210058    157.830281    4.352296   -2.882533
1.519911   -7.845331   -11.780834    148.133302    4.045332   -2.589299
