Temperature,  F    <E>     <E^2>    Cv    entropy
============================================
2.656088   -4.356984   -44.742504    503.536986    3.170658   -15.204889
2.848036   -4.065167   -33.782948    367.524595    2.771217   -10.434483
3.053856   -3.792431   -26.216268    276.796436    2.424281   -7.342796
3.274549   -3.537532   -20.833254    214.342997    2.121159   -5.281864
3.511192   -3.298734   -16.894045    170.055588    1.854842   -3.871993
3.764936   -3.076004   -13.951190    138.012596    1.621567   -2.888545
4.037017   -2.867686   -11.700132    114.253983    1.416585   -2.187864
4.328761   -2.673290   -9.947119    96.331160    1.236737   -1.680349
4.641589   -2.491841   -8.557504    82.575593    1.079010   -1.306807
4.977024   -2.322794   -7.439276    71.868359    0.940817   -1.028020
