Temperature,  F    <E>     <E^2>    Cv    entropy
============================================
0.081113   -21.465426   -191462390651705795662446064759990812613565293683269997829860657389215963221847076478512057336711646549123849502326784.000000    4308226268212289094936135277533416659541959571834739117910182752301904993412870416463660706209324720013011965060317184.000000    0.533249   -2360437930007138412330721916683315816828937696588418858147571722237868465556057994962222201137089490678473451395612672.000000
0.086975   -21.390650   -1454630853229763163623355632258444834501914726653965133873606493866179473038147188585229271472813105240604672.000000    32727139273225554761666630496714595751822726143676425831473498463895076858598193587003387325268980976291151872.000000    0.535537   -16724720042561089846806678041709015808421878485753726139676838796881673007049315803076352359874741007839920128.000000
0.093260   -21.310685   -39051261667134720083258849600747899341179171556480580778258734110004658882983867715664325670625869824.000000    878466799209567078112966827870389373396674545273830881532979577194508818150069374300990189041046519808.000000    0.538991   -418733899688477386346089387351384849819321999646426094874288387325453845277805910123443744715212587008.000000
0.100000   -21.225327   -3407530720325143195126812358923179902357686346713632188138716198744893585481434225275530379264.000000    76640882718361839632064127497420471260502402731545757232820446968383359528914021143262118543360.000000    0.541768   -34075307203251090133020695031822908642029117820432339028392429016503891376026350893196606701568.000000
0.107227   -21.133982   -890725425655139175478196188506838461805404888802751224036366923190325379083679492472832.000000    20030408064347212054211199473217304798113272661639498005518085230107997563769200660447232.000000    0.544772   -8306935301715197316091765001997536980593074515233138431025104553017462696106029257588736.000000
0.114976   -21.036288   -648095949083364526050672437883210338732362771358984537163655187747623780185276416.000000    14571497378505882540360054818753233015562996801431762958183317516601962735463301120.000000    0.548774   -5636808030595673278365546951715451404482304497088159678142658166910630716053127168.000000
0.123285   -20.931650   -1223545900363987824835197591754475918590465725127300790873641121502766039040.000000    27504092405400337716793534735318765953196084588643556805029967004300046499840.000000    0.553720   -9924558344228670111426444649375623143461963645009583670075912989454110818304.000000
0.132194   -20.820356   -5653830386418694245014604936632605904560760420462246787119537243291648.000000    127064816160046722396449185635981855365172986860063274005011099969126400.000000    0.557895   -42769155043433106629085169537309005433435502692600885003670864126803968.000000
0.141747   -20.700774   -59686717764221794607472101615870806300333358351497420213019738112.000000    1341089429427992519970694632746826136138677373961674512679959527424.000000    0.563701   -421077983389195879964263298075859557920892432666178283529209643008.000000
0.151991   -20.573479   -1372306469945054961555116714072344055734482735310492212920320.000000    30826221975820532170489320335409832591138910347285532382330880.000000    0.569370   -9028860108627707812670121532186852389758640168841727438749696.000000
