Temperature,  F    <E>     <E^2>    Cv    entropy
0.061359   -18.812359   -279777965039078740497640331985706693322370402762360695306582226944634557617878042511315426248695784348681862950672837686372403194626048.000000    5511820099004211904531192526363592616501870726531768194634739694943238038301495831052591035596209645836080291675757832421801855201312768.000000    0.575398   -4559683720308965479617199131360386703467244421330320230553631188171112941028189273200150307561805408412704335883354900392639088721657856.000000
0.065793   -18.747109   -110163636845366697270634788911523427262593821042059764668797116411654723755689563809585463994856942294635003553336404591247360.000000    2170063375702257882553816014569021645261010501873831079742269841768571875066173760353230377861562824255176600318515006610079744.000000    0.575523   -1674389325796724029596541996255200998649347133882270548386585705954289997248118409985816695025053523398218962093813209172541440.000000
0.070548   -18.679036   -191751925918397422217531814579435842331470068501242925882727347482877099851305747526497889826138182330439388891185152.000000    3776678557367795746212457026519099162449446623957952772153823189386937132488848399493753634022843413085885173413707776.000000    0.577755   -2718034006807791809722978533756310026685653591686256476074249449976266136915620621131938598928356027750995001994117120.000000
0.075646   -18.604908   -1280166061370626393473633515758642819762976669306573069182614029882943033735797739817977305922132979524567040.000000    25210067931508670937769905715361866495238851658792454724443472089507626006671972261676864444484245827272835072.000000    0.593039   -16923041933954959486009375346991114472452449170952605437004301400996272828190679356377724323545744356163977216.000000
0.081113   -18.530942   -32532127337902566520909074107405112743095193882489583257858226928300243386141652960828886146686648320.000000    640515244411957459521753981605666134360596182703338674788636364231803450215730601832499325896556019712.000000    0.585588   -401071271156467803213152947693241782987922474997722966276074613604061850274110538221259887563306434560.000000
0.086975   -18.442630   -2422786316107564305637158980055969732514949626936736239246140962453956152752649363870099439616.000000    47695396403988630830280470366443216757867930002550632283041485000492611871731434964126063919104.000000    0.610024   -27856155152985498424176158235841391007786602569256544246766731167196603752484990372454166691840.000000
0.093260   -18.352699   -573937888854227509441576945282947505077219314022251682736022315024860997633628086206464.000000    11296251744551755964543976609621336473471223693630521574983217588979758762301813076000768.000000    0.644042   -6154147856881855134049178250910714083237081104184983394073517183540477177722176016482304.000000
0.100000   -18.258128   -387274602957736545719785664754748537790558654532306721525177267860518810008158208.000000    7620812601146192141765486587615572931791444235220727844973736221495602164243890176.000000    0.638810   -3872746029577326386337647612831220450317315903592676905171379074884912750708916224.000000
0.107227   -18.153045   -657876222845083190106668984410066473060792182991504339126823922582677356544.000000    12942563028407813625699580262503992156268778142047027217309148694770702352384.000000    0.684028   -6135375672602099755270336867936184086070535824996309907437903449160503263232.000000
0.114976   -18.045272   -2855305799267353884251085233860592906536408486765254153582439542292480.000000    56158758353157902140656577874964085353934419301077390488762560305692672.000000    0.691508   -24833993710815325268037290928924706313670599589838357968337781968076800.000000
0.123285   -17.929738   -28488778539306334237634409589946401063213616875516587863969890304.000000    560187576710466273855163713212777189191972096713157644350803410944.000000    0.687551   -231081266047707745425057775787565202267081751586301603720321826816.000000
0.132194   -17.803611   -607155313520983663524757405389567176661633745015358684659712.000000    11934255514296454748837045456148246456324195609174929859149824.000000    0.747570   -4592907288085536863658337436996603747761284433666263457202176.000000
0.141747   -17.665256   -26132118022968477383960496678273036255757739114830495744.000000    513412103370497348420676266823338176920339195740010053632.000000    0.834574   -184356926612408973160191692538747907633696087806348099584.000000
0.151991   -17.531223   -2433695460594412868341726858332268816704563767672832.000000    47797484756598474184348881806116398077815764685946880.000000    0.827026   -16012091022233567159177737331018828225509085893623808.000000
0.162975   -17.370309   -381172250308907800148084377137937803779562799104.000000    7482253715326997169199260296860572282101967093760.000000    0.905909   -2338837583093679617949456046409931151050822123520.000000
0.174753   -17.201395   -110013576213142592484453972296631603221757952.000000    2158455545304660956713604411856025964154716160.000000    0.954850   -629538130611543873730208626985636032206077952.000000
0.187382   -17.039232   -60841664586173259702322996740438305538048.000000    1192974910269768444710092574404922927218688.000000    1.004752   -324693664622341271229444189059184311926784.000000
0.200923   -16.843627   -50047005340583009898593228592265560064.000000    980417638926676799022295775070121885696.000000    1.114598   -249085124904335434640362386972980805632.000000
0.215443   -16.657275   -74084181453392256637690410759618560.000000    1450455059302731923857445242164740096.000000    1.158329   -343868309381406709707901658072088576.000000
0.231013   -16.444377   -160705106360019923059673619496960.000000    3143492472542533761232447320621056.000000    1.265694   -695654042083585798270483381092352.000000
0.247708   -16.236305   -572032998066835644790572318720.000000    11183077858713321220546643361792.000000    1.308671   -2309307085682535414198838493184.000000
0.265609   -15.992167   -2748418782583068632222269440.000000    53658656508015112862511923200.000000    1.480229   -10347620286607917339870494720.000000
0.284804   -15.726503   -18652392830751531797053440.000000    363431708570830153074081792.000000    1.719717   -65492127530668121185583104.000000
0.305386   -15.458126   -187117604390275123249152.000000    3640376889892889287458816.000000    1.920013   -612725794815859297878016.000000
0.327455   -15.177392   -2613077514904966529024.000000    50724102703569671553024.000000    2.169126   -7979961163901238771712.000000
0.351119   -14.886644   -50102203774853758976.000000    970446179607823646720.000000    2.401467   -142692873438462738432.000000
0.376494   -14.548271   -1166903776667742976.000000    22529622452833071104.000000    2.828957   -3099398865081532416.000000
0.403702   -14.215296   -37634058895163744.000000    723174108396460544.000000    3.230874   -93222437469209344.000000
0.432876   -13.858809   -1530804061545769.000000    29271739650864964.000000    3.710351   -3536355927584769.500000
0.464159   -13.469611   -75960699203668.484375    1443234075724946.250000    4.316743   -163652365443431.250000
0.497702   -13.091902   -4992683181769.184570    94220492917699.734375    4.794782   -10031463820135.785156
0.533670   -12.683123   -390639300270.619690    7313058546040.822266    5.425077   -731986726877.309082
0.572237   -12.272942   -38022071579.915161    704896751249.406738    6.000977   -66444649891.579346
0.613591   -11.821715   -4222795157.331604    77123659100.436020    6.656141   -6882103912.826737
0.657933   -11.374218   -574136115.982596    10334542093.763512    7.230573   -872635828.517698
0.705480   -10.925513   -92920504.685188    1643743536.481152    7.631838   -131712399.110740
0.756463   -10.470986   -17559472.174305    304983359.659250    8.026912   -23212574.970532
0.811131   -9.998395   -3748527.596527    63501349.049143    8.183694   -4621347.698597
0.869749   -9.549571   -949151.881368    15723009.132973    8.288158   -1091283.035612
0.932603   -9.087662   -266949.981756    4299499.085550    8.220770   -286231.970951
1.000000   -8.628713   -84322.105960    1316720.223131    8.003601   -84313.477247
1.072267   -8.175270   -29672.307313    448190.708394    7.707031   -27664.868825
1.149757   -7.748575   -11781.929549    172562.611913    7.414683   -10240.582159
1.232847   -7.318906   -5046.499227    71278.116163    6.983280   -4087.434520
1.321941   -6.905382   -2361.671730    32175.874992    6.557296   -1781.294387
1.417474   -6.508539   -1196.274254    15718.215225    6.117482   -839.356191
1.519911   -6.121975   -646.482839    8177.238775    5.649214   -421.314688
1.629751   -5.754327   -373.104298    4548.469646    5.206708   -225.402536
1.747528   -5.401125   -227.337777    2669.292924    4.754639   -127.000312
1.873817   -5.066273   -145.852979    1650.948887    4.320831   -75.133630
2.009233   -4.746261   -97.751564    1067.792950    3.910716   -46.288958
2.154435   -4.442781   -68.169561    719.539328    3.521586   -29.579351
2.310130   -4.156290   -49.274092    503.512939    3.157048   -19.530419
2.477076   -3.885839   -36.743745    364.238925    2.817708   -13.264793
2.656088   -3.629946   -28.149691    271.356199    2.505400   -9.231526
2.848036   -3.390186   -22.112840    207.967788    2.221939   -6.573883
3.053856   -3.165024   -17.746443    163.366025    1.964547   -4.774758
3.274549   -2.953568   -14.510745    131.214187    1.732225   -3.529395
3.511192   -2.755006   -12.059284    107.521011    1.523549   -2.649892
3.764936   -2.569192   -10.169759    89.792468    1.337842   -2.018777
4.037017   -2.396302   -8.689678    76.310329    1.172726   -1.558917
4.328761   -2.233732   -7.504701    65.846978    1.026655   -1.217662
4.641589   -2.082790   -6.546533    57.637989    0.897201   -0.961684
4.977024   -1.941271   -5.757778    51.108088    0.783416   -0.766825
5.336699   -1.809020   -5.100999    45.852416    0.683296   -0.616857
5.722368   -1.686200   -4.549898    41.603286    0.595568   -0.500439
6.135907   -1.571699   -4.081477    38.130924    0.518840   -0.409031
6.579332   -1.464183   -3.677493    35.243937    0.451546   -0.336403
7.054802   -1.364790   -3.329556    32.868465    0.392967   -0.278500
7.564633   -1.271499   -3.024488    30.870112    0.341782   -0.231735
8.111308   -1.185343   -2.757713    29.202174    0.297207   -0.193849
8.697490   -1.104682   -2.521120    27.790387    0.258379   -0.162856
9.326033   -1.029517   -2.310384    26.588870    0.224542   -0.137343
10.000000   -0.959369   -2.121922    25.571753    0.195160   -0.116255
