Temperature,  F    <E>     <E^2>    Cv    entropy   dE_LT      dE2_LT
1.747528   10.278779   -7.299359    63.452769    3.330912   -10.058857   0.011867    0.232148
1.873817   10.516153   -6.897527    58.241146    3.037506   -9.293157   0.010402    0.194270
2.009233   10.741990   -6.505757    53.442537    2.753931   -8.584244   0.009116    0.162880
2.154435   10.956251   -6.125916    49.054434    2.483542   -7.928840   0.007993    0.136939
2.310130   11.159018   -5.759516    45.066658    2.228836   -7.323630   0.007021    0.115551
2.477076   11.350475   -5.407712    41.462943    1.991490   -6.765309   0.006187    0.097946
2.656088   11.530890   -5.071324    38.222510    1.772436   -6.250627   0.005480    0.083474
2.848036   11.700601   -4.750868    35.321527    1.571976   -5.776426   0.004887    0.071584
3.053856   11.859995   -4.446591    32.734389    1.389896   -5.339672   0.004395    0.061812
3.274549   12.009497   -4.158511    30.434792    1.225588   -4.937476   0.003993    0.053773
3.511192   12.149559   -3.886454    28.396574    1.078159   -4.567114   0.003667    0.047145
3.764936   12.280645   -3.630093    26.594364    0.946528   -4.226032   0.003406    0.041662
4.037017   12.403225   -3.388983    25.004029    0.829502   -3.911851   0.003198    0.037108
4.328761   12.517768   -3.162587    23.602974    0.725845   -3.622365   0.003035    0.033306
4.641589   12.624736   -2.950305    22.370314    0.634320   -3.355541   0.002906    0.030116
4.977024   12.724578   -2.751496    21.286945    0.553726   -3.109504   0.002805    0.027421
5.336699   12.817729   -2.565492    20.335543    0.482922   -2.882535   0.002726    0.025132
5.722368   12.904607   -2.391619    19.500510    0.420842   -2.673059   0.002663    0.023174
6.135907   12.985612   -2.229201    18.767886    0.366502   -2.479635   0.002614    0.021490
6.579332   13.061123   -2.077576    18.125239    0.319004   -2.300948   0.002575    0.020034
7.054802   13.131499   -1.936096    17.561542    0.277537   -2.135793   0.002544    0.018768
7.564633   13.197080   -1.804136    17.067049    0.241371   -1.983073   0.002519    0.017662
8.111308   13.258187   -1.681097    16.633170    0.209855   -1.841785   0.002499    0.016691
8.697490   13.315119   -1.566407    16.252350    0.182411   -1.711014   0.002483    0.015837
9.326033   13.368159   -1.459521    15.917958    0.158526   -1.589924   0.002470    0.015083
10.000000   13.417572   -1.359926    15.624184    0.137748   -1.477750   0.002459    0.014415
