#T	β	c		e		chi		s
0.136986	7.3	0.0670348	-1.37494	0.288481	-0.355734
0.135135	7.4	0.0651396	-1.37506	0.289025	-0.356633
0.133333	7.5	0.0632916	-1.37518	0.289648	-0.357495
0.131579	7.6	0.0614895	-1.37529	0.290348	-0.358321
0.12987	7.7	0.0597324	-1.37539	0.291123	-0.359113
0.128205	7.8	0.0580192	-1.37549	0.291971	-0.359873
0.126582	7.9	0.056349	-1.37558	0.292889	-0.360601
0.125	8	0.054721	-1.37567	0.293877	-0.361299
0.123457	8.1	0.0531341	-1.37576	0.294931	-0.361969
0.121951	8.2	0.0515875	-1.37583	0.29605	-0.362612
0.120482	8.3	0.0500804	-1.37591	0.297232	-0.363228
0.119048	8.4	0.0486121	-1.37598	0.298476	-0.363818
0.117647	8.5	0.0471816	-1.37605	0.299779	-0.364385
0.116279	8.6	0.0457882	-1.37611	0.30114	-0.364928
0.114943	8.7	0.0444311	-1.37617	0.302557	-0.36545
0.113636	8.8	0.0431096	-1.37623	0.304029	-0.36595
0.11236	8.9	0.041823	-1.37628	0.305553	-0.366429
0.111111	9	0.0405704	-1.37633	0.307129	-0.366889
0.10989	9.1	0.0393513	-1.37638	0.308753	-0.367331
0.108696	9.2	0.0381648	-1.37643	0.310426	-0.367754
0.107527	9.3	0.0370104	-1.37647	0.312146	-0.36816
0.106383	9.4	0.0358872	-1.37651	0.31391	-0.36855
0.105263	9.5	0.0347947	-1.37655	0.315718	-0.368923
0.104167	9.6	0.0337321	-1.37659	0.317568	-0.369282
0.103093	9.7	0.0326988	-1.37663	0.319459	-0.369626
0.102041	9.8	0.0316941	-1.37666	0.321389	-0.369956
0.10101	9.9	0.0307174	-1.37669	0.323358	-0.370272
0.1	10	0.0297681	-1.37672	0.325363	-0.370576
0.0990099	10.1	0.0288455	-1.37675	0.327404	-0.370867
0.0980392	10.2	0.027949	-1.37678	0.32948	-0.371146
0.0970874	10.3	0.0270781	-1.37681	0.331589	-0.371414
0.0961538	10.4	0.026232	-1.37683	0.33373	-0.371672
0.0952381	10.5	0.0254103	-1.37685	0.335902	-0.371918
0.0943396	10.6	0.0246123	-1.37688	0.338104	-0.372155
0.0934579	10.7	0.0238375	-1.3769	0.340336	-0.372382
0.0925926	10.8	0.0230853	-1.37692	0.342595	-0.3726
0.0917431	10.9	0.0223551	-1.37694	0.344882	-0.372809
0.0909091	11	0.0216465	-1.37696	0.347194	-0.373009
0.0900901	11.1	0.0209588	-1.37697	0.349532	-0.373202
0.0892857	11.2	0.0202915	-1.37699	0.351894	-0.373386
0.0884956	11.3	0.0196442	-1.37701	0.35428	-0.373563
0.0877193	11.4	0.0190162	-1.37702	0.356688	-0.373733
0.0869565	11.5	0.0184072	-1.37703	0.359119	-0.373896
0.0862069	11.6	0.0178165	-1.37705	0.36157	-0.374052
0.0854701	11.7	0.0172438	-1.37706	0.364042	-0.374202
0.0847458	11.8	0.0166885	-1.37707	0.366533	-0.374346
0.0840336	11.9	0.0161502	-1.37708	0.369043	-0.374484
0.0833333	12	0.0156284	-1.3771	0.371572	-0.374616
0.0826446	12.1	0.0151227	-1.37711	0.374118	-0.374743
0.0819672	12.2	0.0146327	-1.37712	0.376681	-0.374865
0.0813008	12.3	0.0141578	-1.37713	0.37926	-0.374982
0.0806452	12.4	0.0136977	-1.37713	0.381855	-0.375094
0.08	12.5	0.013252	-1.37714	0.384465	-0.375201
0.0793651	12.6	0.0128203	-1.37715	0.38709	-0.375304
0.0787402	12.7	0.0124022	-1.37716	0.389729	-0.375403
0.078125	12.8	0.0119972	-1.37717	0.392381	-0.375498
0.0775194	12.9	0.0116051	-1.37717	0.395047	-0.37559
0.0769231	13	0.0112255	-1.37718	0.397725	-0.375677
0.0763359	13.1	0.0108579	-1.37719	0.400415	-0.375761
0.0757576	13.2	0.0105021	-1.37719	0.403117	-0.375841
0.075188	13.3	0.0101577	-1.3772	0.40583	-0.375918
0.0746269	13.4	0.00982441	-1.3772	0.408554	-0.375992
0.0740741	13.5	0.00950184	-1.37721	0.411288	-0.376063
0.0735294	13.6	0.00918972	-1.37722	0.414033	-0.376131
0.0729927	13.7	0.00888771	-1.37722	0.416787	-0.376197
0.0724638	13.8	0.00859554	-1.37722	0.41955	-0.37626
0.0719424	13.9	0.0083129	-1.37723	0.422323	-0.37632
0.0714286	14	0.0080395	-1.37723	0.425104	-0.376377
0.070922	14.1	0.00777508	-1.37724	0.427893	-0.376433
0.0704225	14.2	0.00751935	-1.37724	0.43069	-0.376486
0.0699301	14.3	0.00727206	-1.37724	0.433495	-0.376537
0.0694444	14.4	0.00703295	-1.37725	0.436307	-0.376586
0.0689655	14.5	0.00680177	-1.37725	0.439127	-0.376633
0.0684932	14.6	0.00657827	-1.37725	0.441953	-0.376677
0.0680272	14.7	0.00636223	-1.37726	0.444786	-0.376721
0.0675676	14.8	0.00615341	-1.37726	0.447625	-0.376762
0.0671141	14.9	0.00595158	-1.37726	0.450471	-0.376802
0.0666667	15	0.00575654	-1.37726	0.453322	-0.37684
0.0662252	15.1	0.00556806	-1.37727	0.456179	-0.376876
0.0657895	15.2	0.00538595	-1.37727	0.459041	-0.376911
0.0653595	15.3	0.00521	-1.37727	0.461908	-0.376945
0.0649351	15.4	0.00504003	-1.37727	0.464781	-0.376977
0.0645161	15.5	0.00487584	-1.37728	0.467658	-0.377008
0.0641026	15.6	0.00471725	-1.37728	0.47054	-0.377038
0.0636943	15.7	0.00456408	-1.37728	0.473427	-0.377066
0.0632911	15.8	0.00441617	-1.37728	0.476318	-0.377094
0.0628931	15.9	0.00427334	-1.37728	0.479213	-0.37712
0.0625	16	0.00413544	-1.37728	0.482112	-0.377145
0.0621118	16.1	0.0040023	-1.37729	0.485014	-0.377169
0.0617284	16.2	0.00387379	-1.37729	0.487921	-0.377192
0.0613497	16.3	0.00374974	-1.37729	0.490831	-0.377215
0.0609756	16.4	0.00363001	-1.37729	0.493744	-0.377236
