#T	β	c	e	chi	s
100	0.01	0.000136843	-0.346987	0.0197397	0.693079
50	0.02	0.000549673	-0.3607	0.0389632	0.692873
33.3333	0.03	0.00124151	-0.374469	0.057677	0.692529
25	0.04	0.00221481	-0.388288	0.0758877	0.692045
20	0.05	0.0034714	-0.402153	0.0936023	0.691421
16.6667	0.06	0.00501255	-0.416058	0.110828	0.690656
14.2857	0.07	0.00683888	-0.429998	0.127571	0.68975
12.5	0.08	0.0089504	-0.44397	0.143839	0.688702
11.1111	0.09	0.0113465	-0.457967	0.15964	0.687513
10	0.1	0.014026	-0.471984	0.17498	0.686181
9.09091	0.11	0.0169869	-0.486017	0.189868	0.684707
8.33333	0.12	0.0202269	-0.50006	0.204311	0.683093
7.69231	0.13	0.0237428	-0.514108	0.218317	0.681336
7.14286	0.14	0.0275309	-0.528156	0.231893	0.67944
6.66667	0.15	0.0315871	-0.542199	0.245047	0.677404
6.25	0.16	0.0359064	-0.556232	0.257788	0.675229
5.88235	0.17	0.0404835	-0.570249	0.270123	0.672916
5.55556	0.18	0.0453125	-0.584246	0.28206	0.670466
5.26316	0.19	0.0503869	-0.598218	0.293607	0.667882
5	0.2	0.0556998	-0.61216	0.304772	0.665163
3.33333	0.3	0.12014	-0.748891	0.397201	0.631028
2.5	0.4	0.19839	-0.877888	0.460167	0.585959
2	0.5	0.280346	-0.996092	0.500925	0.532866
1.66667	0.6	0.357373	-1.10183	0.525616	0.474817
1.42857	0.7	0.423659	-1.19466	0.539116	0.414587
1.25	0.8	0.47632	-1.27501	0.545108	0.354419
1.11111	0.9	0.514777	-1.3439	0.546274	0.29596
1	1	0.539936	-1.40256	0.544527	0.24031
0.909091	1.1	0.553486	-1.45232	0.541203	0.188129
0.833333	1.2	0.557402	-1.49445	0.537229	0.139739
0.769231	1.3	0.553642	-1.5301	0.533241	0.0952262
0.714286	1.4	0.543986	-1.56028	0.52967	0.054519
0.666667	1.5	0.529972	-1.58588	0.526802	0.0174446
0.625	1.6	0.512878	-1.60762	0.524824	-0.0162269
0.588235	1.7	0.493739	-1.62614	0.523848	-0.0467537
0.555556	1.8	0.473372	-1.64195	0.523935	-0.0744027
0.526316	1.9	0.452407	-1.65549	0.525111	-0.0994365
0.5	2	0.431322	-1.66712	0.527374	-0.122105
0.47619	2.1	0.410467	-1.67714	0.530705	-0.142644
0.454545	2.2	0.390094	-1.68581	0.535073	-0.161266
0.434783	2.3	0.370375	-1.69333	0.540437	-0.178169
0.416667	2.4	0.351422	-1.69987	0.54675	-0.193528
0.4	2.5	0.333302	-1.70557	0.553963	-0.207504
0.384615	2.6	0.316048	-1.71057	0.562025	-0.220237
0.37037	2.7	0.299667	-1.71496	0.570882	-0.231855
0.357143	2.8	0.284148	-1.71882	0.580483	-0.24247
0.344828	2.9	0.26947	-1.72223	0.590777	-0.252183
0.333333	3	0.255603	-1.72524	0.601715	-0.261082
0.322581	3.1	0.242512	-1.72792	0.613248	-0.269248
0.3125	3.2	0.23016	-1.7303	0.625333	-0.276751
0.30303	3.3	0.218509	-1.73243	0.637925	-0.283653
0.294118	3.4	0.207522	-1.73433	0.650986	-0.290011
0.285714	3.5	0.19716	-1.73603	0.664477	-0.295876
0.277778	3.6	0.18739	-1.73755	0.678363	-0.301292
0.27027	3.7	0.178176	-1.73893	0.692612	-0.306299
0.263158	3.8	0.169487	-1.74016	0.707194	-0.310934
0.25641	3.9	0.161292	-1.74128	0.72208	-0.31523
0.25	4	0.153564	-1.74229	0.737246	-0.319215
0.243902	4.1	0.146274	-1.7432	0.752667	-0.322916
0.238095	4.2	0.139399	-1.74403	0.768323	-0.326358
0.232558	4.3	0.132914	-1.74478	0.784193	-0.329561
0.227273	4.4	0.126797	-1.74547	0.800259	-0.332546
0.222222	4.5	0.121028	-1.7461	0.816504	-0.33533
0.217391	4.6	0.115586	-1.74667	0.832915	-0.33793
0.212766	4.7	0.110453	-1.74719	0.849476	-0.340361
0.208333	4.8	0.105611	-1.74767	0.866175	-0.342635
0.204082	4.9	0.101044	-1.74811	0.883001	-0.344765
0.2	5	0.0967363	-1.74851	0.899942	-0.346763
0.196078	5.1	0.0926726	-1.74888	0.91699	-0.348638
0.192308	5.2	0.0888391	-1.74923	0.934136	-0.3504
0.188679	5.3	0.0852225	-1.74954	0.951371	-0.352057
0.185185	5.4	0.0818102	-1.74983	0.968688	-0.353618
0.181818	5.5	0.0785902	-1.7501	0.986081	-0.35509
0.178571	5.6	0.0755513	-1.75035	1.00354	-0.356478
0.175439	5.7	0.0726827	-1.75059	1.02107	-0.35779
0.172414	5.8	0.0699744	-1.7508	1.03865	-0.35903
0.169492	5.9	0.0674167	-1.751	1.05629	-0.360204
0.166667	6	0.0650007	-1.75119	1.07398	-0.361317
0.163934	6.1	0.0627176	-1.75136	1.09171	-0.362372
0.16129	6.2	0.0605596	-1.75153	1.10948	-0.363374
0.15873	6.3	0.0585188	-1.75168	1.12729	-0.364327
