#T	β	c	e	chi	s
0.136986	7.3	0.00690812	-2.19286	2.39229	-0.390476
0.135135	7.4	0.00641857	-2.19287	2.4251	-0.390566
0.133333	7.5	0.00596479	-2.19288	2.45792	-0.39065
0.131579	7.6	0.00554404	-2.19289	2.49073	-0.390726
0.12987	7.7	0.00515381	-2.1929	2.52354	-0.390796
0.128205	7.8	0.00479177	-2.19291	2.55635	-0.39086
0.126582	7.9	0.00445578	-2.19292	2.58915	-0.390919
0.125	8	0.00414389	-2.19292	2.62196	-0.390973
0.123457	8.1	0.00385429	-2.19293	2.65476	-0.391022
0.121951	8.2	0.00358533	-2.19293	2.68757	-0.391068
0.120482	8.3	0.00333549	-2.19294	2.72037	-0.39111
0.119048	8.4	0.00310334	-2.19294	2.75317	-0.391148
0.117647	8.5	0.00288761	-2.19295	2.78597	-0.391184
0.116279	8.6	0.00268708	-2.19295	2.81877	-0.391216
0.114943	8.7	0.00250066	-2.19296	2.85157	-0.391246
0.113636	8.8	0.00232732	-2.19296	2.88436	-0.391274
0.11236	8.9	0.00216613	-2.19296	2.91716	-0.391299
0.111111	9	0.0020162	-2.19296	2.94995	-0.391323
0.10989	9.1	0.00187674	-2.19297	2.98275	-0.391344
0.108696	9.2	0.00174699	-2.19297	3.01554	-0.391364
0.107527	9.3	0.00162627	-2.19297	3.04833	-0.391382
0.106383	9.4	0.00151394	-2.19297	3.08112	-0.391399
0.105263	9.5	0.0014094	-2.19297	3.11391	-0.391414
0.104167	9.6	0.0013121	-2.19298	3.1467	-0.391429
0.103093	9.7	0.00122155	-2.19298	3.17949	-0.391442
0.102041	9.8	0.00113725	-2.19298	3.21228	-0.391454
0.10101	9.9	0.00105878	-2.19298	3.24507	-0.391465
0.1	10	0.000985729	-2.19298	3.27785	-0.391475
0.0990099	10.1	0.000917718	-2.19298	3.31064	-0.391485
0.0980392	10.2	0.000854397	-2.19298	3.34343	-0.391494
0.0970874	10.3	0.000795441	-2.19298	3.37621	-0.391502
0.0961538	10.4	0.000740546	-2.19298	3.409	-0.391509
0.0952381	10.5	0.000689433	-2.19298	3.44178	-0.391516
0.0943396	10.6	0.000641838	-2.19299	3.47457	-0.391522
0.0934579	10.7	0.00059752	-2.19299	3.50735	-0.391528
0.0925926	10.8	0.000556252	-2.19299	3.54014	-0.391533
0.0917431	10.9	0.000517823	-2.19299	3.57292	-0.391538
0.0909091	11	0.000482039	-2.19299	3.6057	-0.391543
0.0900901	11.1	0.000448717	-2.19299	3.63849	-0.391547
0.0892857	11.2	0.000417689	-2.19299	3.67127	-0.391551
0.0884956	11.3	0.000388796	-2.19299	3.70405	-0.391555
0.0877193	11.4	0.000361891	-2.19299	3.73683	-0.391558
0.0869565	11.5	0.000336839	-2.19299	3.76962	-0.391561
0.0862069	11.6	0.000313511	-2.19299	3.8024	-0.391564
0.0854701	11.7	0.000291791	-2.19299	3.83518	-0.391566
0.0847458	11.8	0.000271567	-2.19299	3.86796	-0.391569
0.0840336	11.9	0.000252736	-2.19299	3.90074	-0.391571
0.0833333	12	0.000235204	-2.19299	3.93353	-0.391573
0.0826446	12.1	0.000218881	-2.19299	3.96631	-0.391575
0.0819672	12.2	0.000203685	-2.19299	3.99909	-0.391577
0.0813008	12.3	0.000189537	-2.19299	4.03187	-0.391578
0.0806452	12.4	0.000176367	-2.19299	4.06465	-0.39158
0.08	12.5	0.000164106	-2.19299	4.09743	-0.391581
0.0793651	12.6	0.000152693	-2.19299	4.13021	-0.391582
0.0787402	12.7	0.000142069	-2.19299	4.16299	-0.391583
0.078125	12.8	0.000132181	-2.19299	4.19577	-0.391584
0.0775194	12.9	0.000122977	-2.19299	4.22855	-0.391585
0.0769231	13	0.000114411	-2.19299	4.26133	-0.391586
0.0763359	13.1	0.000106438	-2.19299	4.29411	-0.391587
0.0757576	13.2	9.90194e-05	-2.19299	4.32689	-0.391588
0.075188	13.3	9.2115e-05	-2.19299	4.35968	-0.391589
0.0746269	13.4	8.56902e-05	-2.19299	4.39246	-0.391589
0.0740741	13.5	7.9712e-05	-2.19299	4.42524	-0.39159
0.0735294	13.6	7.41495e-05	-2.19299	4.45802	-0.391591
0.0729927	13.7	6.89741e-05	-2.19299	4.4908	-0.391591
0.0724638	13.8	6.41595e-05	-2.19299	4.52358	-0.391592
0.0719424	13.9	5.96799e-05	-2.19299	4.55636	-0.391592
0.0714286	14	5.55131e-05	-2.19299	4.58914	-0.391592
0.070922	14.1	5.16365e-05	-2.19299	4.62192	-0.391593
0.0704225	14.2	4.80312e-05	-2.19299	4.6547	-0.391593
0.0699301	14.3	4.46775e-05	-2.19299	4.68748	-0.391593
0.0694444	14.4	4.15584e-05	-2.19299	4.72026	-0.391594
0.0689655	14.5	3.8658e-05	-2.19299	4.75304	-0.391594
0.0684932	14.6	3.59605e-05	-2.19299	4.78582	-0.391594
0.0680272	14.7	3.34524e-05	-2.19299	4.8186	-0.391595
0.0675676	14.8	3.11201e-05	-2.19299	4.85138	-0.391595
0.0671141	14.9	2.89512e-05	-2.19299	4.88416	-0.391595
0.0666667	15	2.69351e-05	-2.19299	4.91693	-0.391595
0.0662252	15.1	2.50613e-05	-2.19299	4.94971	-0.391595
0.0657895	15.2	2.33184e-05	-2.19299	4.98249	-0.391595
0.0653595	15.3	2.16986e-05	-2.19299	5.01527	-0.391596
0.0649351	15.4	2.01934e-05	-2.19299	5.04805	-0.391596
0.0645161	15.5	1.8794e-05	-2.19299	5.08083	-0.391596
0.0641026	15.6	1.74938e-05	-2.19299	5.11361	-0.391596
0.0636943	15.7	1.6285e-05	-2.19299	5.14639	-0.391596
0.0632911	15.8	1.51623e-05	-2.19299	5.17917	-0.391596
0.0628931	15.9	1.4119e-05	-2.19299	5.21195	-0.391596
0.0625	16	1.31496e-05	-2.19299	5.24473	-0.391596
0.0621118	16.1	1.22487e-05	-2.19299	5.27751	-0.391596
0.0617284	16.2	1.14123e-05	-2.19299	5.31029	-0.391596
0.0613497	16.3	1.06351e-05	-2.19299	5.34307	-0.391597
0.0609756	16.4	9.91365e-06	-2.19299	5.37585	-0.391597
0.0606061	16.5	9.24361e-06	-2.19299	5.40863	-0.391597
0.060241	16.6	8.62097e-06	-2.19299	5.44141	-0.391597
0.0598802	16.7	8.04281e-06	-2.19299	5.47419	-0.391597
0.0595238	16.8	7.50658e-06	-2.19299	5.50697	-0.391597
0.0591716	16.9	7.00844e-06	-2.19299	5.53975	-0.391597
0.0588235	17	6.54644e-06	-2.19299	5.57253	-0.391597
0.0584795	17.1	6.11724e-06	-2.19299	5.60531	-0.391597
0.0581395	17.2	5.71909e-06	-2.19299	5.63809	-0.391597
0.0578035	17.3	5.34946e-06	-2.19299	5.67087	-0.391597
0.0574713	17.4	5.00649e-06	-2.19299	5.70365	-0.391597
0.0571429	17.5	4.68882e-06	-2.19299	5.73643	-0.391597
