#T	β	c	e	chi	s
0.113636	8.8	0.0819332	-0.561721	0.357882	0.0770402
0.11236	8.9	0.0809062	-0.561825	0.357737	0.0761202
0.111111	9	0.0799063	-0.561925	0.357597	0.0752218
0.10989	9.1	0.0789323	-0.562022	0.357462	0.0743443
0.108696	9.2	0.0779833	-0.562116	0.357332	0.0734868
0.107527	9.3	0.0770583	-0.562206	0.357206	0.0726487
0.106383	9.4	0.0761562	-0.562294	0.357085	0.0718294
0.105263	9.5	0.0752763	-0.562379	0.356967	0.0710282
0.104167	9.6	0.0744176	-0.562461	0.356854	0.0702445
0.103093	9.7	0.0735793	-0.56254	0.356744	0.0694776
0.102041	9.8	0.0727608	-0.562617	0.356638	0.0687272
0.10101	9.9	0.0719612	-0.562692	0.356536	0.0679926
0.1	10	0.0711799	-0.562764	0.356436	0.0672733
0.0990099	10.1	0.0704163	-0.562834	0.356341	0.0665688
0.0980392	10.2	0.0696697	-0.562902	0.356248	0.0658787
0.0970874	10.3	0.0689395	-0.562968	0.356158	0.0652026
0.0961538	10.4	0.0682251	-0.563032	0.356071	0.06454
0.0952381	10.5	0.0675261	-0.563094	0.355987	0.0638904
0.0943396	10.6	0.0668419	-0.563155	0.355906	0.0632536
0.0934579	10.7	0.066172	-0.563213	0.355828	0.0626291
0.0925926	10.8	0.065516	-0.56327	0.355752	0.0620166
0.0917431	10.9	0.0648734	-0.563326	0.355678	0.0614158
0.0909091	11	0.0642439	-0.563379	0.355607	0.0608262
0.0900901	11.1	0.0636269	-0.563432	0.355538	0.0602476
0.0892857	11.2	0.0630221	-0.563483	0.355472	0.0596797
0.0884956	11.3	0.0624291	-0.563532	0.355407	0.0591221
0.0877193	11.4	0.0618476	-0.563581	0.355345	0.0585746
0.0869565	11.5	0.0612772	-0.563627	0.355285	0.058037
0.0862069	11.6	0.0607176	-0.563673	0.355227	0.0575088
0.0854701	11.7	0.0601685	-0.563718	0.35517	0.05699
0.0847458	11.8	0.0596296	-0.563761	0.355116	0.0564802
0.0840336	11.9	0.0591006	-0.563803	0.355063	0.0559793
0.0833333	12	0.0585812	-0.563845	0.355013	0.0554869
0.0826446	12.1	0.0580712	-0.563885	0.354963	0.0550028
0.0819672	12.2	0.0575702	-0.563924	0.354916	0.054527
0.0813008	12.3	0.0570781	-0.563962	0.35487	0.054059
0.0806452	12.4	0.0565945	-0.563999	0.354826	0.0535988
0.08	12.5	0.0561194	-0.564036	0.354783	0.0531461
0.0793651	12.6	0.0556524	-0.564071	0.354742	0.0527008
0.0787402	12.7	0.0551933	-0.564106	0.354702	0.0522627
0.078125	12.8	0.0547419	-0.56414	0.354663	0.0518316
0.0775194	12.9	0.0542981	-0.564173	0.354626	0.0514073
0.0769231	13	0.0538616	-0.564205	0.35459	0.0509897
0.0763359	13.1	0.0534323	-0.564236	0.354556	0.0505786
0.0757576	13.2	0.05301	-0.564267	0.354523	0.0501739
0.075188	13.3	0.0525944	-0.564297	0.354491	0.0497754
0.0746269	13.4	0.0521855	-0.564327	0.35446	0.0493829
0.0740741	13.5	0.0517831	-0.564355	0.35443	0.0489964
0.0735294	13.6	0.0513869	-0.564384	0.354402	0.0486157
0.0729927	13.7	0.050997	-0.564411	0.354375	0.0482407
0.0724638	13.8	0.0506131	-0.564438	0.354348	0.0478712
0.0719424	13.9	0.050235	-0.564464	0.354323	0.0475071
0.0714286	14	0.0498627	-0.56449	0.354299	0.0471484
0.070922	14.1	0.049496	-0.564515	0.354275	0.0467948
0.0704225	14.2	0.0491348	-0.56454	0.354253	0.0464463
0.0699301	14.3	0.0487789	-0.564564	0.354232	0.0461027
0.0694444	14.4	0.0484283	-0.564587	0.354211	0.045764
0.0689655	14.5	0.0480828	-0.564611	0.354192	0.0454301
0.0684932	14.6	0.0477423	-0.564633	0.354173	0.0451008
0.0680272	14.7	0.0474067	-0.564655	0.354155	0.044776
0.0675676	14.8	0.0470759	-0.564677	0.354138	0.0444557
0.0671141	14.9	0.0467498	-0.564698	0.354122	0.0441398
0.0666667	15	0.0464283	-0.564719	0.354107	0.0438282
0.0662252	15.1	0.0461112	-0.56474	0.354092	0.0435208
0.0657895	15.2	0.0457986	-0.56476	0.354079	0.0432174
0.0653595	15.3	0.0454902	-0.564779	0.354065	0.0429181
0.0649351	15.4	0.045186	-0.564798	0.354053	0.0426228
0.0645161	15.5	0.044886	-0.564817	0.354041	0.0423313
0.0641026	15.6	0.04459	-0.564836	0.35403	0.0420436
0.0636943	15.7	0.044298	-0.564854	0.35402	0.0417596
0.0632911	15.8	0.0440098	-0.564872	0.35401	0.0414792
0.0628931	15.9	0.0437254	-0.564889	0.354001	0.0412025
0.0625	16	0.0434448	-0.564906	0.353993	0.0409292
0.0621118	16.1	0.0431678	-0.564923	0.353985	0.0406594
0.0617284	16.2	0.0428944	-0.56494	0.353978	0.0403929
0.0613497	16.3	0.0426245	-0.564956	0.353971	0.0401298
0.0609756	16.4	0.042358	-0.564972	0.353965	0.0398699
0.0606061	16.5	0.0420949	-0.564987	0.353959	0.0396132
0.060241	16.6	0.0418351	-0.565003	0.353954	0.0393597
0.0598802	16.7	0.0415786	-0.565018	0.353949	0.0391092
0.0595238	16.8	0.0413253	-0.565033	0.353945	0.0388617
0.0591716	16.9	0.041075	-0.565047	0.353941	0.0386172
0.0588235	17	0.0408279	-0.565061	0.353938	0.0383756
0.0584795	17.1	0.0405837	-0.565075	0.353935	0.0381368
0.0581395	17.2	0.0403425	-0.565089	0.353933	0.0379009
0.0578035	17.3	0.0401042	-0.565103	0.353931	0.0376677
0.0574713	17.4	0.0398688	-0.565116	0.353929	0.0374372
0.0571429	17.5	0.0396362	-0.565129	0.353928	0.0372094
0.0568182	17.6	0.0394063	-0.565142	0.353927	0.0369842
0.0564972	17.7	0.0391791	-0.565154	0.353927	0.0367616
0.0561798	17.8	0.0389545	-0.565167	0.353927	0.0365415
0.0558659	17.9	0.0387326	-0.565179	0.353927	0.0363239
0.0555556	18	0.0385132	-0.565191	0.353928	0.0361088
0.0552486	18.1	0.0382964	-0.565203	0.353929	0.035896
0.0549451	18.2	0.038082	-0.565214	0.35393	0.0356856
0.0546448	18.3	0.03787	-0.565226	0.353931	0.0354775
0.0543478	18.4	0.0376605	-0.565237	0.353933	0.0352717
0.0540541	18.5	0.0374533	-0.565248	0.353935	0.0350681
0.0537634	18.6	0.0372484	-0.565259	0.353937	0.0348668
0.0534759	18.7	0.0370457	-0.565269	0.353939	0.0346676
0.0531915	18.8	0.0368454	-0.56528	0.353942	0.0344705
0.0529101	18.9	0.0366472	-0.56529	0.353945	0.0342756
0.0526316	19	0.0364511	-0.565301	0.353947	0.0340827
0.052356	19.1	0.0362572	-0.565311	0.353951	0.0338919
0.0520833	19.2	0.0360654	-0.56532	0.353954	0.0337031
0.0518135	19.3	0.0358756	-0.56533	0.353957	0.0335162
0.0515464	19.4	0.0356879	-0.56534	0.353961	0.0333313
0.0512821	19.5	0.0355022	-0.565349	0.353964	0.0331483
0.0510204	19.6	0.0353184	-0.565358	0.353968	0.0329672
0.0507614	19.7	0.0351366	-0.565367	0.353972	0.0327879
0.0505051	19.8	0.0349566	-0.565376	0.353976	0.0326104
0.0502513	19.9	0.0347786	-0.565385	0.35398	0.0324348
0.05	20	0.0346024	-0.565394	0.353984	0.0322609
0.0497512	20.1	0.034428	-0.565403	0.353988	0.0320888
0.049505	20.2	0.0342553	-0.565411	0.353992	0.0319183
0.0492611	20.3	0.0340845	-0.565419	0.353996	0.0317496
0.0490196	20.4	0.0339154	-0.565428	0.354	0.0315825
0.0487805	20.5	0.033748	-0.565436	0.354004	0.0314171
0.0485437	20.6	0.0335822	-0.565444	0.354008	0.0312533
0.0483092	20.7	0.0334182	-0.565452	0.354012	0.031091
0.0480769	20.8	0.0332558	-0.565459	0.354016	0.0309304
0.0478469	20.9	0.033095	-0.565467	0.35402	0.0307713
0.047619	21	0.0329357	-0.565474	0.354024	0.0306137
0.0473934	21.1	0.0327781	-0.565482	0.354027	0.0304576
0.0471698	21.2	0.032622	-0.565489	0.354031	0.030303
0.0469484	21.3	0.0324674	-0.565496	0.354034	0.0301498
0.046729	21.4	0.0323143	-0.565503	0.354037	0.0299981
0.0465116	21.5	0.0321627	-0.56551	0.354041	0.0298478
0.0462963	21.6	0.0320125	-0.565517	0.354043	0.0296989
0.0460829	21.7	0.0318638	-0.565524	0.354046	0.0295514
0.0458716	21.8	0.0317165	-0.565531	0.354049	0.0294052
0.0456621	21.9	0.0315706	-0.565538	0.354051	0.0292604
0.0454545	22	0.0314261	-0.565544	0.354053	0.0291169
0.0452489	22.1	0.031283	-0.565551	0.354055	0.0289747
0.045045	22.2	0.0311412	-0.565557	0.354057	0.0288338
0.044843	22.3	0.0310007	-0.565563	0.354058	0.0286942
0.0446429	22.4	0.0308615	-0.565569	0.354059	0.0285558
0.0444444	22.5	0.0307236	-0.565575	0.35406	0.0284186
0.0442478	22.6	0.030587	-0.565581	0.35406	0.0282827
0.0440529	22.7	0.0304517	-0.565587	0.35406	0.0281479
0.0438596	22.8	0.0303176	-0.565593	0.35406	0.0280144
0.0436681	22.9	0.0301847	-0.565599	0.354059	0.027882
0.0434783	23	0.030053	-0.565605	0.354058	0.0277508
0.04329	23.1	0.0299226	-0.56561	0.354057	0.0276207
0.0431034	23.2	0.0297933	-0.565616	0.354055	0.0274917
0.0429185	23.3	0.0296652	-0.565622	0.354053	0.0273638
0.042735	23.4	0.0295382	-0.565627	0.35405	0.0272371
0.0425532	23.5	0.0294124	-0.565632	0.354047	0.0271114
0.0423729	23.6	0.0292876	-0.565638	0.354043	0.0269867
0.0421941	23.7	0.029164	-0.565643	0.354039	0.0268632
0.0420168	23.8	0.0290415	-0.565648	0.354035	0.0267406
0.041841	23.9	0.0289201	-0.565653	0.35403	0.0266191
0.0416667	24	0.0287998	-0.565658	0.354024	0.0264986
0.0414938	24.1	0.0286805	-0.565663	0.354018	0.0263791
0.0413223	24.2	0.0285622	-0.565668	0.354012	0.0262606
0.0411523	24.3	0.028445	-0.565673	0.354004	0.0261431
0.0409836	24.4	0.0283288	-0.565678	0.353997	0.0260265
0.0408163	24.5	0.0282136	-0.565682	0.353988	0.0259109
0.0406504	24.6	0.0280994	-0.565687	0.353979	0.0257962
0.0404858	24.7	0.0279862	-0.565692	0.35397	0.0256824
0.0403226	24.8	0.027874	-0.565696	0.35396	0.0255696
0.0401606	24.9	0.0277627	-0.565701	0.353949	0.0254576
0.04	25	0.0276524	-0.565705	0.353937	0.0253466
0.0398406	25.1	0.027543	-0.56571	0.353925	0.0252364
0.0396825	25.2	0.0274346	-0.565714	0.353912	0.0251271
0.0395257	25.3	0.027327	-0.565718	0.353899	0.0250187
0.0393701	25.4	0.0272204	-0.565722	0.353884	0.0249111
0.0392157	25.5	0.0271147	-0.565727	0.353869	0.0248044
0.0390625	25.6	0.0270099	-0.565731	0.353854	0.0246985
0.0389105	25.7	0.0269059	-0.565735	0.353837	0.0245934
0.0387597	25.8	0.0268029	-0.565739	0.35382	0.0244891
