#T	β	c	e	chi	s
100	0.01	1.86547e-05	-0.00186087	0.00746287	0.693138
50	0.02	7.49831e-05	-0.00373091	0.0148515	0.69311
33.3333	0.03	0.00016952	-0.00560999	0.0221659	0.693063
25	0.04	0.000302787	-0.00749799	0.029406	0.692997
20	0.05	0.000475287	-0.00939478	0.036572	0.692911
16.6667	0.06	0.000687507	-0.0113002	0.0436637	0.692807
14.2857	0.07	0.00093992	-0.0132142	0.0506813	0.692682
12.5	0.08	0.00123298	-0.0151366	0.0576248	0.692538
11.1111	0.09	0.00156711	-0.0170672	0.0644943	0.692374
10	0.1	0.00194274	-0.019006	0.0712898	0.69219
9.09091	0.11	0.00236026	-0.0209527	0.0780113	0.691985
8.33333	0.12	0.00282004	-0.0229072	0.084659	0.69176
7.69231	0.13	0.00332244	-0.0248693	0.091233	0.691515
7.14286	0.14	0.00386778	-0.026839	0.0977333	0.691249
6.66667	0.15	0.00445639	-0.028816	0.10416	0.690963
6.25	0.16	0.00508855	-0.0308002	0.110513	0.690655
5.88235	0.17	0.00576452	-0.0327914	0.116793	0.690327
5.55556	0.18	0.00648455	-0.0347894	0.123	0.689977
5.26316	0.19	0.00724884	-0.0367941	0.129134	0.689606
5	0.2	0.0080576	-0.0388053	0.135195	0.689214
3.33333	0.3	0.0186146	-0.0592347	0.191833	0.684102
2.5	0.4	0.033634	-0.0801042	0.24141	0.676795
2	0.5	0.0528619	-0.101205	0.284221	0.667298
1.66667	0.6	0.0757768	-0.122321	0.320645	0.655686
1.42857	0.7	0.101628	-0.143233	0.351129	0.642095
1.25	0.8	0.129499	-0.163735	0.37618	0.626722
1.11111	0.9	0.158389	-0.183643	0.396337	0.609807
1	1	0.187293	-0.202796	0.41216	0.591619
0.909091	1.1	0.215278	-0.221064	0.424203	0.572445
0.833333	1.2	0.241544	-0.238352	0.433003	0.552572
0.769231	1.3	0.265456	-0.254596	0.439067	0.532276
0.714286	1.4	0.286562	-0.26976	0.442858	0.511813
0.666667	1.5	0.304586	-0.283838	0.444791	0.49141
0.625	1.6	0.319417	-0.296842	0.445235	0.471261
0.588235	1.7	0.331076	-0.308805	0.444506	0.451531
0.555556	1.8	0.339694	-0.319771	0.442874	0.43235
0.526316	1.9	0.345476	-0.329793	0.440567	0.413816
0.5	2	0.348681	-0.338931	0.437771	0.396004
0.47619	2.1	0.349592	-0.347248	0.434639	0.378961
0.454545	2.2	0.348505	-0.354807	0.431294	0.362715
0.434783	2.3	0.345712	-0.36167	0.427834	0.34728
0.416667	2.4	0.34149	-0.367897	0.424333	0.332651
0.4	2.5	0.336097	-0.373546	0.420851	0.318816
0.384615	2.6	0.329766	-0.378669	0.417432	0.305755
0.37037	2.7	0.322707	-0.383318	0.414108	0.29344
0.357143	2.8	0.315102	-0.387537	0.410901	0.28184
