Temperature,  F    <E>     <E^2>    Cv    entropy
============================================
0.010000   -inf   nan    nan    nan   nan
0.010723   -inf   nan    nan    nan   nan
0.011498   -inf   nan    nan    nan   nan
0.012328   -inf   nan    nan    nan   nan
0.013219   -inf   nan    nan    nan   nan
0.014175   -inf   nan    nan    nan   nan
0.015199   -inf   nan    nan    nan   nan
0.016298   -inf   nan    nan    nan   nan
0.017475   -inf   nan    nan    nan   nan
0.018738   -inf   nan    nan    nan   nan
0.020092   -13.892609   -14.126313    199.553098    0.945096   -11.631520
0.021544   -13.875501   -14.124997    199.515951    0.884548   -11.580587
0.023101   -13.857775   -14.123655    199.478062    0.825047   -11.509304
0.024771   -13.839099   -14.122303    199.439904    0.767071   -11.432985
0.026561   -13.813339   -14.121250    199.410200    0.716746   -11.592647
0.028480   -13.795987   -14.119703    199.366542    0.658766   -11.366296
0.030539   -13.772918   -14.118389    199.329485    0.607624   -11.312624
0.032745   -13.743383   -14.117269    199.297877    0.562877   -11.417913
0.035112   -13.716715   -14.115981    199.261550    0.517275   -11.371229
0.037649   -13.691707   -14.114616    199.223051    0.473107   -11.232824
0.040370   -13.660238   -14.113404    199.188880    0.435326   -11.225274
0.043288   -13.631620   -14.112110    199.152398    0.397875   -11.099945
0.046416   -13.592211   -14.110983    199.120634    0.372387   -11.176605
0.049770   -13.552805   -14.109810    199.087612    0.349348   -11.191531
0.053367   -13.515387   -14.108559    199.052377    0.329535   -11.114952
0.057224   -13.466901   -14.107355    199.018540    0.324141   -11.192121
0.061359   -13.422221   -14.105982    198.979944    0.325023   -11.143589
0.065793   -13.378288   -14.104563    198.940116    0.324997   -11.038744
0.070548   -13.332914   -14.103169    198.900977    0.321577   -10.918163
0.075646   -13.270360   -14.101152    198.844606    0.371387   -10.982580
0.081113   -13.208368   -14.098952    198.783173    0.415853   -10.979535
0.086975   -13.132554   -14.095605    198.689962    0.513850   -11.072747
0.093260   -13.070252   -14.092586    198.605869    0.561009   -10.962155
0.100000   -13.019274   -14.091300    198.569869    0.514100   -10.720262
0.107227   -12.932197   -14.086349    198.432283    0.614354   -10.763656
0.114976   -12.845474   -14.080771    198.277377    0.701838   -10.743976
0.123285   -12.744756   -14.073003    198.061861    0.819825   -10.773820
0.132194   -12.656911   -14.065771    197.861342    0.882951   -10.657509
0.141747   -12.555099   -14.059257    197.680907    0.906105   -10.611537
0.151991   -12.435818   -14.043265    197.238181    1.077973   -10.575927
0.162975   -12.319481   -14.029876    196.868074    1.154363   -10.494826
0.174753   -12.203791   -14.023696    196.698337    1.122945   -10.414166
0.187382   -12.070172   -14.005326    196.192013    1.220517   -10.327337
0.200923   -11.929954   -13.986436    195.672771    1.297670   -10.235156
0.215443   -11.789887   -13.976280    195.397029    1.306260   -10.148339
0.231013   -11.622850   -13.939944    194.401019    1.479746   -10.030149
0.247708   -11.462043   -13.934747    194.270383    1.519080   -9.982349
0.265609   -11.270979   -13.893615    193.153753    1.718084   -9.874059
0.284804   -11.110320   -13.864147    192.362435    1.822969   -9.669214
0.305386   -10.902492   -13.823698    191.284042    2.030989   -9.565633
0.327455   -10.704225   -13.787476    190.331636    2.211661   -9.415803
0.351119   -10.470869   -13.724795    188.681701    2.528366   -9.267298
0.376494   -10.221854   -13.636918    186.373129    2.875474   -9.070711
0.403702   -9.986714   -13.559781    184.378607    3.135163   -8.850759
0.432876   -9.726679   -13.460796    181.853594    3.525307   -8.626292
0.464159   -9.464585   -13.357463    179.251754    3.852194   -8.386953
0.497702   -9.207210   -13.237518    176.242807    4.081120   -8.097827
0.533670   -8.920492   -13.087556    172.550437    4.446319   -7.808316
0.572237   -8.614923   -12.901675    168.006749    4.744289   -7.491221
0.613591   -8.314012   -12.688301    162.874355    4.997064   -7.129002
0.657933   -7.998626   -12.450305    157.277794    5.238706   -6.766156
0.705480   -7.694152   -12.215290    151.909823    5.417941   -6.408595
0.756463   -7.367953   -11.909782    145.005342    5.526463   -6.004030
0.811131   -7.054973   -11.631278    138.965422    5.591450   -5.641882
0.869749   -6.734544   -11.294652    131.751496    5.528793   -5.243017
0.932603   -6.407664   -10.936628    124.385499    5.490854   -4.856260
1.000000   -6.107711   -10.593897    117.592039    5.361376   -4.486187
1.072267   -5.788997   -10.186694    109.691251    5.151098   -4.101308
1.149757   -5.491416   -9.817966    103.007847    5.004305   -3.763012
1.232847   -5.190415   -9.404555    95.694184    4.769051   -3.418219
1.321941   -4.902995   -9.000309    88.891569    4.512663   -3.099468
1.417474   -4.620794   -8.572425    81.929009    4.201874   -2.787797
