Temperature,  F    <E>     <E^2>    Cv    Chi    entropy
============================================
0.025119   -13.818307   -1152729808316397391774436338096316430630261651846555519757158260707729145889307279023813139898575874974819656315272021058102572767835549379322159707271969401087093564529589906671539629817825279905801359548553177583733197536139040025483411456.000000    16247928648688733477147821301792926231736746808583884769475208499529336918874459634206823808384644661047689694740013418021045300931252877618207834344583112774965012225161405685401655839297253653419236432729971642346343839235937856969846554624.000000    0.048048   0.070602     -45891000240149806621424644908083726860574576238469481161111065114272454170845325404031278327160860761804932405719646151078870793392439997566423151652793317857165524631505295394389797283172050107748918387810981258243223139902463277276021653504.000000
0.027465   -13.792148   -1744052354139185720037091723123439923958195434605268459724345139114502670223281630285080851914951610829946994885307697068523792321540201792874160851970908957494178513516731362896296325312227257522158967442451576582569984.000000    24582545248237117745480843486448848392170951780413551986245259437036684410858040373848231860446553114628729387323755050235619665262361155451303112927736551579745180774958902901046544968201226270505753842776748829054074880.000000    0.039664   0.055806     -63501503426910397832892945012696432890283036217655127136339296595541645552685091310229271110999552531523270571796973786172107427158669487949238425841574126283068823100664616460321445860934674493713258066377011180364365824.000000
0.030030   -13.763159   -156361621223014300382953537452198663219786145717734767498202483719638946157554271173412183825413609134325251068197329494327358750718323146643094798903475652281280117016831843617062282270893890718400512.000000    2203914030581873944371641381681837769577759944535785028655226144898624073576711032436114352202039269140777322512463036271251579288561989434135430019696507323597429588314323924009874277448741271327735808.000000    0.032877   0.045399     -5206898888790131622563945949747551849525976000536649407425702257804646896720478971045856436264974769550054587977777674576284788447184619293142544570443110215426365809400085823130908549251214181402673152.000000
0.032834   -13.733082   -623792367400733201599684643709212175178441473860957840239887991287821092890413843772830179015644170439404419262550876130503868683750917388686324824624391975194705808889707604559790080.000000    8792288743460899926958420347059418068992892866292211933765176636933421224222459729627863347584518264237263959844145156840428706968477207464257821718506073622080255334487152184189255680.000000    0.027355   0.035670     -18998246832746381709211701977045438026509139375750218366786522553384957255953702270812921568579492785878865114880733844172692062339872923889832633399297887227559195624399617283705536512.000000
0.035901   -13.697222   -70162171876674227936275293867259711081450130445588448035388329749989957896196700227491037025000219216744295385433341276273518867416200168263236598970975449766313328640.000000    988923182959214757169666799140929266002767581880937186806550365602096153153610935578487823605127846274196436524092200722310813220213081722700774229661545573267355467776.000000    0.023036   0.030939     -1954343881007165322320392871750040277559505450259066020833927926463434007707842382365859397550170563218581437604791809018289028167210415147610360804671925756943847653376.000000
0.039253   -13.659111   -186888109825706458964675162717615293745820006162687668892989755720499565909529032540623293060625794229494552561722173841041669335263295498880741634211840.000000    2634141008497463015724201479022621121205485403011616667048140842914328577286696721502849888363212326338593357860202543706828476344493166857031625564225536.000000    0.019791   0.026395     -4761065108776899408554125380353089159559181739617330259195781787295133488208254644931843395083954893712577932289026309551447560609378676563766942145445888.000000
0.042919   -13.625307   -10508048272851847645058368229306591656213118923815518356042817083544970057184770136643626063136471567228905206763360345437979963235428728832.000000    148107575430875801452644972686734537373655490799493730701615913421831639478706414250027901539606318384139640897872980999121502688269282836480.000000    0.017914   0.019051     -244832460983135192650721354557993359502990185758157192935756163967237708074453475459010146577509138918339013732572658736914731575820295340032.000000
0.046928   -13.578563   -6496272498176543398870567565908218822656217274318598416304959252238377658516394552640181922571839945899338761705546977621573632.000000    91562412968179948549633970974154262836263028460135928320104715703397504428671770561759722140396741493935207875563670678106275840.000000    0.018571   0.017720     -138431735133634328862120739056046191729479948849990095942059741290289328632096035806240899196538857510441749437503665120198262784.000000
0.051310   -13.529064   -45735914713477942021873468590620612732606048922577274187848133565802000713483255245272642785624422892471650869051392.000000    644625709388073458936910276434799165809687203788447810607980973348161538616876786942976965939571159742693576278016000.000000    0.022996   0.016550     -891360300894408945336454059368535502390191796050399614618147126965048752322276488454798988619733216174099734133211136.000000
0.056102   -13.474416   -2859811248970624509048629705089140076564476044208300924259614315193706823184187689615430235759152522592256.000000    40307283709292793299175634094852074646739910927105967541405610014194626013653690901231307766874563281944576.000000    0.033764   0.016815     -50975063830831961956098027423878928055272510662616024624057912714269813689271844776181300140522262304391168.000000
0.061342   -13.420476   -1462582571229375487908553718839085036610604894449401126780451875381354901564338378999797576105984.000000    20613903651004946460998118729190578734971005031072023529225863213053774614799234770017543702708224.000000    0.051308   0.017344     -23843241182296755055696286799032763587685794764017903908939179850056744517294487215451453094100992.000000
0.067070   -13.347222   -3758882284930191463553681545556201756922100437079908470738155863498313722411654708199424.000000    52976777631632188759543980793868608929792300036331509689868063598102400553566607675228160.000000    0.089049   0.026934     -56043869495221074348813587157112640477184511129948435239694861174469936282662139649327104.000000
0.073334   -13.286409   -68059987499887807576748610539432674984653136801175951183824235883780458850287616.000000    959181102773828654256253923667391464945935962853020822427085053851932326574948352.000000    0.129469   0.031992     -928080702559651892056622864064797774246955196153248912213840997074791775143460864.000000
0.080183   -13.202157   -4526902849696774437811538615741195535837463843900146326549135801593102336.000000    63792059623889331546831107087489803892716240101873682781084477203540869120.000000    0.223235   0.054080     -56457226809059613481650590590757143824072275837424250306288453433436405760.000000
0.087671   -13.134515   -1633018129718822813389871019965307636614118802061970503643665793024.000000    23010228616251796105495273215171125282536787964311239886486798073856.000000    0.264894   0.063505     -18626611798583385025994549559690455140437940398969950028997960138752.000000
0.095859   -13.027155   -1475968489887180264788419633718423562852496124494585475891200.000000    20791468771133136711665116882240002877212571241176857283919872.000000    0.448358   0.103672     -15397295080802126470971071485559348113829042964047059704872960.000000
