Temperature,  F    <E>     <E^2>    Cv    Chi    entropy
============================================
0.025119   -inf   -inf    inf    nan   nan     nan
0.027465   -inf   -inf    inf    nan   nan     nan
0.030030   -inf   -inf    inf    nan   nan     nan
0.032834   -21.818149   -85501595504395616071365176267199579309893344752172507620631080682501693273632490575192222987979691472458135388869394837411828572537749751024535713169510763434265132979676016624639989823346843767965134198040993870111158391251965130074260749513266404624906132814283804046003226585249253163008.000000    1895222520780791271187198353594494515178229305079223649786249551316584860533486455001370051442024643209842880925537815223063392209410586560666451542866113337028054758236300795172161722626682736816705329573567823003577131485985867763523093184489374620709735468348072355465698569686599788920832.000000    0.499467   1.332066     -2604040223760257948520424426523413817720764402083711645885667673777871713125068223281478503457659926509512421430956469608782386427196828059864195534529134528659324494830930286545137850554189954415877521252287271178412464373186048294082516504857719314195203167140082994370285180178089021276160.000000
0.035901   -21.786996   -8049083056386551774107416772062587721701478979026707020386500219319417745415860027827692695864899463468105508967337882036834251794764040031435115981392451312340368685886963184527817417044703987056005396804135205864641741051987617554192051901347515897976109809008640.000000    178406763457189872557851330518147802947645252846742615676191084146548540209817268629679745644919341457433540717323034698451261759412129928523514578918094094262106211024006512375748346133339218775321711911920848571965602240678742328317655327625067139872962190445117440.000000    0.421282   1.030866     -224204522155011192299115254257303476676071737944124765116619367885241068606331517477883341051680922790246798720790091946530741537791288626019484344226750888892636763373939614494187506590427346349288267205489668858243753776429880888882594213459079718367313676067667968.000000
0.039253   -21.753609   -105827398262845993012057964661481243552436302155388186870082067887638554307237822508730378201899261971578505266560248596992464339074056638462622854505795929261213053570336521250342802569830338669940552916081270423500550585044697400214057648128.000000    2345645561562481616287231346408512767590957268128785748139674938477290279362252334377888782177207889925197736411442956388629497882112087111682197881429570249169125359306314575794999894519891773517190139116970361434057135747718423263623308640256.000000    0.346478   0.798669     -2696004223552634140391440893864451942235090526543763533883343184219821106005893203069718806136845742666115916999755667842008861674219690178066976712730210485509779999372514252944359808795952207875749808472289716142762649608182196123905007026176.000000
0.042919   -21.714161   -116947515311247303719662282093925997283344467992768828576139317509363661517058278602374707238451476138019201648189516925724236009964065911087861389144587063994346135108949436108701312113514904964446927169139283071695060992.000000    2591794648948270359114829968891245002417058507525542862608138329223629136870163959015783897156542935196616912108311806592867299376635556404556538749706814223305115424922765965059385688907507082363933503325791681584253894656.000000    0.307638   0.674527     -2724820750347084924262781273018358746684704899511718274300031968749862777894405970258687443131428030136704143886086904827623977268127656126222034359594313852622994332484912096278900625383453156478372025552252569246297489408.000000
0.046928   -21.673881   -8468833495738604229637993267912416808889210352650625749364091914069987001374374423286433500966341694393779005266090039436747331305685571940161505497342080114572295589381620690587408869657610480714252288.000000    187686438009868252153392964425390863299099726088848005663860428491037536792807786047336849158772793214906983574228070609218650577981099994507500741076998212362266737947964140743340561960677561796745232384.000000    0.255237   0.542249     -180465846483811863852599671211928500259137053361291471619151922148394208142816286601690153230804431528689234636789905507055390752316498249226006529610828928917809603262107830415669199433187709786823589888.000000
0.051310   -21.627656   -25349991027597883401085852211898265767804766031973255992701942958434097169355941769781050241773500421898169723523458117119482457301738902738971627401055309050611019994326162697120382976.000000    561753151115708819349190499414613541132292568370435455223550547740504694724979592337693624161795372136969694584123984994760954219565004284259660929878417415590866879317848989558019981312.000000    0.222327   0.461603     -494053213357322303668540922881748539505885233074904823325072289479100253327621097550845313511120546687394727471591361436869610139202178881658228915736612151112541079020617884306275041280.000000
