Temperature,  F    <E>     <E^2>    Cv    Chi    entropy
============================================
0.025119   -17.532578   -23982817437835002343395500773842036123444399258487768049506605091736987071359333953539977460233821712861827458096102537176994209566185052703837005518755031492698460207192317905213464407436733765231927418226789828472160566591691107838760081065092549972471595440871009592779896549494376081335283498855956480.000000    inf    inf   0.003824     -954773159207718972474840591676377498909310234819580725970875351308166147864760863776119536320340719914170243437793572084527074461930295387461207948749491707984983752590265587759163684778264886270576899996321736400604835232041056542679822455999538985967893338389592466472971166392278327749910824421429346304.000000
0.027465   -17.513103   -151449047244378665422145345352049107935893403251554349902238378887204405017441454578798155174882279088624845684975130965975071985275992355744661563065601296866394937684694436040623967761680825243300324360172591891416774675870619477504068652822932440302908887093048535806617059328.000000    2687347207733975220701194203738016709564483827870459985998771052544536413054881366196833913942787390170525478166697242331696967160530996804398834500075869409896330548072210043520434090569524301745190121764987243748421234916036404145326273379139449419421206515887677003352518950912.000000    0.412799   0.002925     -5514308197094244711464038893702594439639243026184237445901211181767271750341104024703484078095873544145310475643728740032615448496632447484376457635602856063483461233460168564845892606804700129307200851823092389481516503893517576220198492748555952873816214084956267467960997642240.000000
0.030030   -17.489226   -151729431407070491220645921308858579543717739920883343990700891347923376782023706424534043434560974872828395368169838075218526845163616612183205196508168262052640866431994616447427763371259611385157379119107700602418816275573102489048158550535130222428160.000000    2692046071788726743337270587360374200688249269200874751269141586597655832148763204531488408276932886792379565387093130723261030122678268183871302657523786350726061330571905711780867978146879895465357226364102400715533564015141245678943309242123774301569024.000000    0.430305   0.002495     -5052645282204010879327483910055992542252487975172596365817738308473914552885205290911671672162719250071364862733951611998372849113253586934285004380760588018462765808300682623360622009571486898598660446093137783863915250641752438695940645824871433423028224.000000
0.032834   -17.465390   -18271611401415071145364464158687902409926139764623119702809027634721026350944166533773849471839358438188032801352715487462692525686681373432918576431096894008870648299261070119341402700466723529398919121820449320529499782529660485632.000000    324150743083782145553861914641917779504565857828947619180318742299782457235948548159397227460025362857344431014115267987201063710033705416147473196938184300642593290982163320276587741896828528659904623256876201722146407693316859625472.000000    0.422570   0.002006     -556480972799569575026405243805962018194878017978350030884246035955123232864211776639117730327506573881526210900324934345222150299752662938549899983154372785541377096065104456461153864506653026323339257145873846238050984605579730747392.000000
0.035901   -17.439615   -165278046015394781970649034333124151468716718601026497753848212380658519057874132446585349653225136180581984795011914351548348128042417255448670533937019103198424840959327871198201153362858946253049122859467669504.000000    2932073668774812860241824128290506233180359904864742476754673198329601625099823286419563269599880726925427313949197247520153380798665100366792453308619738920772343550924325392253828211695461067323107149654460989440.000000    0.364836   0.001620     -4603764810228086514402217631277460694466577788927484784912424080257000403261063177760142911349523510877262868516966759681485879760578285049241832701806193215834707515220756878840671957997216673857521514083554164736.000000
0.039253   -17.412536   -79215734256528963207799985596259358685120831772964486147512549046656266233354523870636950406064451680007649706165539891745239362224905847606480567311950855870514614091887700402201245870647672832.000000    1405157342753998741988799756538713841254912462767242918428714498628400426436001082124749202038698267502927377056118221455682695666472626448626433150932637133830307122394044572746176962855509688320.000000    0.348191   0.001294     -2018059194812541779347963190426204405836282237039379789538417807930178882795495259568676599878392238645644955735696695414314595137539954263489127645703763390408444368978181911897664714264727781376.000000
0.042919   -17.384647   -1450731955762368295484713687108429237957408465018633518427163869930790982442866005693420637790008122226091246312194980377712257777964906290196713216450329881098724735474707988480.000000    25733792574230982661922366410206344165283122611359147884347384292362954831187792489249158184646323962640585838976105514548407038005958431260019963090871807810389883230508866863104.000000    0.288324   0.001007     -33801355469009573360649153456398951716663734074406401291480334320991769169808847103273890740132159222775903616103611163357713662933697340924167098913404908741066640612076172607488.000000
0.046928   -17.348922   -639005734462135628443622070294886242134114598326639954116991656414516258052025929397068349236733061205513893715239804739870845956543457014373547847806019658842112.000000    11334022320091762842483641290629913847590273322271876339313073610005947279560806914554459008885443863883038713542057724869934814488845777180717616720210275810148352.000000    0.263523   0.000893     -13616835286199206267855495662326251611198338279716280579170416853486664241037548445554848284729941436160605022066282637288970828789930887830835979608559393909506048.000000
0.051310   -17.310866   -5882131658010829877389938795904046645256134406484761176449140000675641707718720193998486195260533441500997588639817297981399678485099106916030742528.000000    104317560670958144695304407306704605234718443167034211706117160813273126770363587868745310373259751252511468319924074129629405442601141995147808997376.000000    0.245781   0.000780     -114638543416733508056145248498042798285668312652932113514553838197349311506130096614822520331694717890916342881106515294808643758658518303181851590656.000000
0.056102   -17.275969   -964846230941479234468544663220686790727692038671585043831362571981858562695023698831855016043494527161309631726497603169152922541883392.000000    17111371451016555408134558350704088159866476101819921193712647568528884275232914028142844493324562500416455919665255529536951891594838016.000000    0.204034   0.000611     -17198022501269186204610875951921303110989893880866914651581992664535467626776890273767872108490850606001175518040398442049329342363729920.000000
0.061342   -17.229139   -1698087784419643707134286125004357566996094653780450052452155820413691403697745146092820949275354036792282657437965455720448.000000    30113134588690145155139329827140503305802198759206163293828716191704602568996219256983914945381184253732822864889666915532800.000000    0.179308   0.000561     -27682482609236438415501161892693502997414474244540695712627985928113536769531333767100307889107555608229461545066668784353280.000000
0.067070   -17.182060   -32076789718080836780673902656882918946968457952363222811129864166476863262810929388133735858722507904333945765888.000000    568825255456675326969620470915302385366705814063941450205648716622719330332558413564553350800227550443904564199424.000000    0.151681   0.000485     -478255843231110346284077041329738093091246250166843845592041629320481632544211829795972320592272884085665107542016.000000
0.073334   -17.132996   -5159843148808636971870196444090881633917478040770996695411749220029217178248456379513232908014569127936.000000    91492254558329006863874769445106107083548490500575038331781719741594455535322010291662120685330692571136.000000    0.133751   0.000411     -70360736617117657226395076146396830669230121090352125108468291527932381460204610041441086446372200120320.000000
0.080183   -17.075062   -5399828593504130282845781157125910673703207003916644764083722285264488373861689341569140785152.000000    95743183115646172440568572073683374706329462695954730475330715238200440771213380785893908938752.000000    0.114437   0.000370     -67343912108458095448655271174911473999729849367168762402250244998321447924735008309397384331264.000000
0.087671   -17.012588   -33377462718016689777722825205635417167048656010473615093043764822263274592031748390912.000000    591755641844755343961808608860971179551305433138595927095382628955570307747475949092864.000000    0.099421   0.000332     -380711658710876797183338438160096948960540279783533166567103846362497368747063210147840.000000
0.095859   -16.951076   -1113022712202398207534387596233579222814729899596186673377735041218276034084864.000000    19732561891864983786719616884971963090908508043402771942329843635679353494306816.000000    0.083868   0.000280     -11611046745804839113459899560864216487023411080546470402367923322334701691076608.000000
0.104811   -16.882337   -159250676145722653522474779459601826183927819280057782014706938867089408.000000    2823475051432487579370762259658189628279481658991229277837318120437448704.000000    0.068768   0.000243     -1519403497163104622703154742818864530500753960960641772111017245732241408.000000
0.114600   -16.802016   -83684447134671146688593261199431486810691626006043058338004992000.000000    1483558065850832565628972983029710055766361737356657807911062339584.000000    0.059750   0.000227     -730232365322599984959525531585216781746123103752158398780639543296.000000
0.125302   -16.706833   -142606080337360693730771428837136696951693583389228758204416.000000    2528436639210776739162483420839574306647777861227361500921856.000000    0.047997   0.000236     -1138095901528205787596800520615680884530807168053327760982016.000000
0.137004   -16.613292   -815846623979108289787621855340710020574758843870871552.000000    14462741028709503810975578930831737285007360808569536512.000000    0.043371   0.000251     -5954891142847187825209950533569261436090375241121923072.000000
