Temperature,  F    <E>     <E^2>    Cv    Chi    entropy
============================================
0.025119   -17.534246   -25631733499378420969473678190008088922053869026545192469201239129798749973769295074706674358476876327360873850780395438169422608032189018214240563738665554303041300183021165709784504090692727995802775624284507244624212604545950262918598463174197713390838135826502507580754390582738635372300205769218850816.000000    inf    inf   0.028492     -1020417689981842995517847368881304441086998456239094931764050816567236211912002526425369580531317498628458917996694128237267987553432979564991008084892556186819198726737225190862829557638775967340916342315117630282556533675178059617280651848188797956664028239954608676064830880385241614667766030169590988800.000000
0.027465   -17.511880   -144861273252755497288148553511973381332902186272538797299986481410272543728111316922248385999566997176765723351015675399390898191780574771595387563710042492419141983455319533125015054838734612459654420067360632899402851606044886839277006688904174987399782099925664000668050915328.000000    2570613924318201592384325252364397386693212424616741773288194744290706190662289182329822303116779475007067715538526528734730566786180796221868360766932306600482044962967753041636116086887635140959989452958960705184024339467071408773055547514765604864047783125533562420370023120896.000000    0.516450   0.024430     -5274445241310875207943358655782112604976590048964078333561375081930675295861512422545945777759076256252887600228657830946076065164072749249510376723890516877305726147457484779577922257291867437401830553983471535862128284030688501227465539790229388864710729296321251898417953636352.000000
0.030030   -17.490092   -156186250072697502520466146951964196373247787801408401648263941767330881058247225901716456781580526219514692391890640837211610432090724508382443271449604460010353005521897919885566305293167085980906306037541375522846489603860884639810285398786722376974336.000000    2771396704595615869515457371712755313468156626824690682703911651152968576791677133826057121108384868327538222876609685673632696749526226543062869898420084587149395707820615580577271251628927813189421871456938033446629713291233231841423117755764384699777024.000000    0.476937   0.019336     -5201058965664699050419903381029727980326858241421254435977233050262201407446785323036122256138956809878384332882867408237366660161094469789900095121779143692592928135962162621658554362970937358110066288321572034338975090214733758684731761346910737691312128.000000
0.032834   -17.469208   -20528835437299684633494745001640284811349375242393735853124261748490680720324051349149237394147538255183398655671004662013886286531168341156114200570898831855142609245039900951289500412475488716854954191901955336661484008517700419584.000000    364259931848216292188752036620975785253241470849227390637084017022658777183448825760222326186023700690766435229876438765669640840889346043865652428892030006524378236415676038256467222260873916420852099729034018349885837842374958514176.000000    0.405504   0.014229     -625227083896172651852016217616658855437891899173984026316018001665659584108377066536534623960373840285221501048590227662801769901167785027256201021708490208486093671255262453136664998565075102764780798683719941067335938705516224577536.000000
0.035901   -17.441762   -175469175510298050153455514647774983694783321074714433917289631745560699317443438140370559155948615617771839250348743080372468699164038530337693447627054378384155357507910563790826110445408026058938165787210285056.000000    3113018004010071920923015469458647609244654818203880465349713909994167302632700644602867388444856683871112196964144502216424412528275955282745396334782805558366726510333042778726998605976775515635695317704924725248.000000    0.415992   0.012176     -4887635321020203845047473739446454616484850473880029286640461977870923475863624373717900084787903516947414727148332580665640667660023181613549251066327526679135804044248795293662300905846582186573366480314969358336.000000
0.039253   -17.413731   -81672349461288010455012022428035409206140217036627556008007787932780160569309046079366577892965242912471407180354673051353482393654156593247876400120980502446833918687660979081972002314413670400.000000    1448870527411133641187164671918970781128504421682742174065399370446474648039975202805631217385990750436184009103602545000720027039786459666665676355466702087244763564204582192874238090273603190784.000000    0.369613   0.010008     -2080642656906395688767192849203241501685327817296405814175324934567510035832681990586652752723499193951453181369502231156259065480361545779234129890496473255715467042514148834235172099883635048448.000000
0.042919   -17.382947   -1394408417240886934452216365953447928499515852261172540411453719053004174708763973315177791853630620439452549362568056370551160604292013951788584712201328774136071462713336791040.000000    24735062594584637076968217031992074496655054336213005415257898497015161226504754315772278715929486628901035929586578021230077000633784404854208213996800869256719825768291088990208.000000    0.330597   0.008354     -32489044163482028079386028607423089864805374213139411503128691537944903876236484712971732143738944390038406044740348517875427926743415103562670033384355885670794509289872735338496.000000
0.046928   -17.350688   -663546909029732428540515750767470513501028774480313257747845156418726540179043034161955774657164992426398807181701677023312808246447074222293490387774504060321792.000000    11769819621855126221356389456133367792715287088759212165956684114682681235837067419765382822288815798202608731715909828522209587243767068137715356603165320933277696.000000    0.289791   0.006850     -14139793240712881992733808467190787996541476451260697113995523790645079453887351550418973372295342432192883084565942750885764411236754399293088817466584231323893760.000000
0.051310   -17.310598   -5851253164556805589570314714834945319449979015507678157974337060899572095376641134040884243001365100949053432570339909396342326763873201637881282560.000000    103766408225148353085919761732775374464537041561112107371058585801195901373794389324436233059959833488276199096386671206242128360665790738903215374336.000000    0.280131   0.006257     -114036743641026066920784286541094404181766324324106064087059274805647427296641071005103569409525876401737788854819578295759367242099086555240745402368.000000
0.056102   -17.272967   -914616904050766844048476278077257622813947176265826041737912158716474799218955807875508217984089937430292671009175726962136670827184128.000000    16221244555414193479937306400363392547692032028790414400675541063017857174167615708883322418313108451080003502774288766139275018583932928.000000    0.221577   0.005139     -16302703572317001940549779794868793043766287081427582789560457379092911192204563554094812139658150144381889496947437570502511800449236992.000000
0.061342   -17.226870   -1636470992869009852684800612936539373401208895387141802863139421008067179086852156807625151479071245550652426530531577954304.000000    29021178622954287070397700416203866549176654378476769520729985745547570224442399008470662118206494690265095272881203697418240.000000    0.195777   0.004639     -26677996400580075720859182786331852142094271649213602351555168471921491546012422809680480510319111717371856475576988698935296.000000
0.067070   -17.181967   -32032288242241766818156747990325140117591782247264390041054332407244942873822242093876309708465060714786397880320.000000    568031717514973551152201517647956408406810289564512293565732476431763889727201307482682551376904060684416835387392.000000    0.168367   0.003875     -477592338839321215922088971990399485673406691771620929980681120139961315822752441094284016314317159370008775622656.000000
0.073334   -17.138980   -5598996903878427570985731180977568530566409798866836937112965142147576585601697467177344072234810998784.000000    99287405900253823594800230251364112263524742395260027598941786413306924406571282764496510846919019331584.000000    0.140852   0.003014     -76349132156237502584658946854667904098204789421025760052851117829372607752472684613316853524107712528384.000000
0.080183   -17.078796   -5657431533815119012361598939842825410934199240731970104590818498979137293449650027789973192704.000000    100315125406541746632270802943423685525045382129570070827064090565585332983102592011434121494528.000000    0.122886   0.002814     -70556604783935383935156224026346383257444447879692154266650986862767559239097909078333759422464.000000
0.087671   -17.018604   -35751991090257017917989505162868270715981868676555402063605047231942272544500950761472.000000    633917353192985654094389967820755067982585871475813617369051045444703664835654859096064.000000    0.104354   0.002471     -407796121148570742584372914402562820722159138020614630640216871262581123483147580735488.000000
0.095859   -16.949022   -1089464573378359684429869976936481225463866711209129153567518030319998803640320.000000    19315608208541006262545143526541132766511580588101033996703021273666663342931968.000000    0.090312   0.002275     -11365288372564804707720302546597830866032484026773799325142072796464622463877120.000000
0.104811   -16.883250   -160636511278975112319884422415566599885568494930423615259138309717229568.000000    2847903728911238280304511047378607275618870889772023929341078685500833792.000000    0.076475   0.001907     -1532625687479135220064798452565936837030049174201693446722262674425511936.000000
0.114600   -16.792866   -77262843140964493000195240713004725431311239697653723202364375040.000000    1369717719400012577175105630139793988965863698258393361344477790208.000000    0.065117   0.001906     -674197304638705437663694103553884450724696104383641141910876192768.000000
0.125302   -16.705500   -141077481905197018437792595144400234523056143269749118205952.000000    2500990438569640515452356566049498783652983547245320686534656.000000    0.055074   0.001743     -1125896620777957662469812466128385759538193003725161272180736.000000
0.137004   -16.615404   -828541379715550800924497047259272287705545496468652032.000000    14688193566195349484998202521025255024707084194714484736.000000    0.046843   0.001570     -6047550579405064349944447530130925015221427390981865472.000000
0.149799   -16.508902   -12904536349867771129201093004396963619703032381440.000000    228732050260654896072415227686988125492998247022592.000000    0.042616   0.001577     -86145421681061844557138823533628026652805910495232.000000
0.163789   -16.399619   -540655848744583479216211334962645551766568960.000000    9584175426889559301357967746190392207553331200.000000    0.038514   0.001617     -3300921460587450316698414136874778628789895168.000000
0.179086   -16.276820   -52585798123743333496275101935153199448064.000000    932008266841195764423794394029604873437184.000000    0.041135   0.001938     -293634611246482781055061327258597065752576.000000
0.195811   -16.131206   -10628257264210310079008008723249496064.000000    188392340021567680595357804581353422848.000000    0.049238   0.002845     -54278185830161422208971680672139706368.000000
0.214098   -15.984651   -4711886833034493012453049405276160.000000    83512051842812457063823593200156672.000000    0.067533   0.004376     -22008102821856617250806133050834944.000000
0.234093   -15.822552   -4007821808547081828069099438080.000000    71028348361214515279678261952512.000000    0.100029   0.006998     -17120665770315087896502251552768.000000
0.255955   -15.654478   -6462457895119857115610480640.000000    114519099520787284058932510720.000000    0.148626   0.010704     -25248434841977587011227222016.000000
0.279859   -15.455818   -17108476014043957425078272.000000    303088169898213590479929344.000000    0.236645   0.017610     -61132555349862409301917696.000000
0.305995   -15.244847   -76730839396311594172416.000000    1358893638472601503268864.000000    0.373312   0.028650     -250758500105742966587392.000000
0.334572   -15.011753   -541988465276516237312.000000    9592334611381074526208.000000    0.571130   0.047123     -1619944918820753244160.000000
0.365818   -14.759640   -5884690031709116416.000000    104029069722833485824.000000    0.834308   0.070869     -16086378598944083968.000000
0.399982   -14.498692   -97460092185796928.000000    1719802467210381568.000000    1.231983   0.102165     -243660988364610880.000000
0.437337   -14.211898   -2281389599618621.000000    40162609853140760.000000    1.664678   0.147361     -5216547074332464.000000
0.478180   -13.874031   -69745600968298.992188    1222079743279794.750000    2.403694   0.226301     -145856230006720.218750
0.522838   -13.568267   -3240856896268.363770    56498899042571.367188    2.990040   0.298686     -6198584240250.918945
0.571667   -13.215086   -188573747536.145752    3260414156346.684570    3.758499   0.400822     -329866623249.417419
0.625055   -12.831603   -13973783185.272022    238663820311.250183    4.569295   0.538414     -22356078854.313175
