Temperature,  F    <E>     <E^2>    Cv    Chi    entropy
0.282501   -13.288153   -4448097821881358876672.000000    73877778107306252173312.000000    2.312819   1.078495     -15745408230842087505920.000000
0.307436   -12.994948   -37635569076844879872.000000    623021904914275368960.000000    2.621609   1.220984     -122417465827453452288.000000
0.334572   -12.698670   -501389548971859904.000000    8265156119091843072.000000    2.936010   1.205151     -1498599133208986624.000000
0.364103   -12.362705   -9120733852748986.000000    149561426882839296.000000    3.398884   1.277290     -25049859773952952.000000
0.396241   -12.023280   -244966524884912.031250    3992282611212043.000000    3.747962   1.440361     -618226419558923.625000
0.431215   -11.654200   -8815831642165.669922    142700465510849.687500    4.280105   1.415897     -20444166444281.082031
0.469276   -11.257653   -418146149268.592590    6698591193108.755859    4.769413   1.548798     -891044772151.444092
0.510697   -10.834458   -25653954001.229580    404666088665.979736    5.152298   1.679335     -50233223422.217560
0.555774   -10.446380   -2258534949.043700    35295657638.054611    5.604982   1.657714     -4063767503.118655
0.604829   -10.012149   -235414176.178502    3618328616.794912    5.889316   1.732240     -389224291.362770
0.658214   -10.012149   -235414176.178502    3618328616.794912    6.202238   1.824045     -389224291.362770
0.716312   -9.085045   -4667193.544243    68672499.123808    6.515160   1.915850     -6515577.679875
0.779537   -8.630050   -904667.843273    12993003.072915    6.592628   1.957847     -1160508.369998
0.848343   -8.174189   -208510.634975    2914724.572394    6.606990   1.979593     -245776.160543
0.923222   -7.719231   -56280.251514    764373.921271    6.561959   2.004433     -60952.333599
1.004710   -7.258522   -17316.322866    227279.037623    6.371288   2.061476     -17227.917236
1.093391   -6.812006   -6128.613294    77699.453354    6.158915   2.074754     -5598.912982
1.189899   -6.374164   -2437.221006    29772.879749    5.869736   2.094433     -2042.901330
1.294926   -5.941442   -1068.925153    12522.444387    5.467614   2.103712     -820.883852
1.409223   -5.532904   -520.791136    5858.055647    5.063860   2.100035     -365.632966
1.533608   -5.144991   -277.213543    2997.629033    4.668497   2.077752     -177.404266
1.668972   -4.770023   -158.140227    1640.363461    4.230931   2.049563     -91.895028
1.816284   -4.415234   -96.409526    959.773448    3.792418   2.016095     -50.649739
1.976598   -4.081800   -62.365542    597.427460    3.382216   1.976976     -29.486896
2.151063   -3.767575   -42.372830    391.072433    2.982545   1.922983     -17.947062
2.340926   -3.474933   -30.108459    268.711936    2.616449   1.866679     -11.377345
2.547548   -3.202770   -22.222275    192.456289    2.278510   1.801715     -7.465807
2.772408   -2.947591   -16.912613    142.663969    1.971603   1.734488     -5.037145
3.017115   -2.712234   -13.252612    109.540083    1.701607   1.661867     -3.493529
3.283421   -2.493754   -10.630642    86.565016    1.462065   1.587719     -2.478174
3.573232   -2.292509   -8.703699    70.208145    1.250446   1.512101     -1.794227
3.888624   -2.106698   -7.252093    58.344687    1.067556   1.435675     -1.323192
4.231853   -1.933922   -6.125723    49.452565    0.908402   1.359384     -0.990535
4.605378   -1.776885   -5.245774    42.782978    0.771702   1.284176     -0.753226
5.011872   -1.631521   -4.538428    37.646061    0.654669   1.210108     -0.580004
