Temperature,  F    <E>     <E^2>    Cv    Chi    entropy
============================================
0.079433   -15.818921   -5201169543561522489371274557316298846991472138923293180257905954350586776729511379599360.000000    87729451545685689261832917952197912346892306101103534146208993160754006902795064028692480.000000    0.301490   0.557170     -65478847956820086704915318299567997395019299840195122568993326004862766615911183606087680.000000
0.086444   -15.769103   -282492287672049009604104122394267743544332599699238009167543857636300795362148352.000000    4764831322585247600608683402447003588059734730072655674045641617596144919280353280.000000    0.248031   0.317825     -3267923577226332111138569477512524555120327258407479250612584457463264394336010240.000000
0.094074   -15.624847   -22874537329538716391561963004312149885687974593857838090043838239518752768.000000    385708609136278827323891576748941343266055790096805671250372422946057617408.000000    0.490845   0.530107     -243154851364681460783670361824438272358757013139085227092041336327604535296.000000
0.102377   -15.516886   -11241823851429684877206922554267892772928467191748501348968826929152.000000    189497994010120346882274364312064581649237879065339293631172854153216.000000    0.649073   0.518239     -109807670945243554501292355706327846390770904686078421819237569921024.000000
0.111414   -15.378180   -14835245259742731787005813763143502787211983106368013802143744.000000    250005683594442862488264566596530335613003317733367527665303552.000000    0.710565   0.606971     -133154527692879897665088795387144926408834399491628779003969536.000000
0.121248   -15.301320   -108180484187350153105144685740448498053369146175502942208.000000    1823228586569416107438094448562189700009336755127970693120.000000    0.558710   0.431787     -892227177172194020618726243163780989681675981422231289856.000000
0.131950   -15.144327   -1180153658098887002646314615618848107447601636311040.000000    19878243130935473758820205548645548045487278567456768.000000    0.736262   0.544763     -8943970953907775088809582337338415448929047484039168.000000
0.143596   -14.980978   -34244340172285070399565424741449649619531202560.000000    576114069210705303542256890504291638203102789632.000000    1.069152   0.628308     -238476695947286284747583486191950634127779168256.000000
0.156271   -14.828604   -2728918486109912618107918646088800522993664.000000    45878066590634775450691527990682708365803520.000000    1.134722   0.865518     -17462764844016792619756439948940349953540096.000000
0.170064   -14.705394   -601078079177646543964468108434186698752.000000    10105346538480322481318492210230456221696.000000    1.006325   0.553975     -3534424047670793554463808064011125129216.000000
0.185075   -14.484955   -164132643644664524565396466455019520.000000    2755447057558095055986251833018417152.000000    1.225161   0.772498     -886845624966269738111874450166120448.000000
0.201410   -14.244245   -86747734236548211393507266396160.000000    1452815992156310406756106856562688.000000    1.587490   0.862419     -430701621767011007494011280687104.000000
0.219188   -14.020131   -100426197765349966476298158080.000000    1677294386897863679878931415040.000000    1.818310   1.270510     -458174275715061597058780626944.000000
0.238534   -13.836690   -259733956714262658755330048.000000    4335512132596923999992152064.000000    1.679129   0.924007     -1088874211494281701591351296.000000
0.259589   -13.620956   -1024847623071651011231744.000000    17119933413695258282164224.000000    1.740017   0.737798     -3947967615656427492737024.000000
0.282501   -13.273034   -4220265489393521262592.000000    70157163041748567457792.000000    2.201786   1.318702     -14938925723744554975232.000000
0.307436   -12.983255   -36251095792999710720.000000    600487745073692934144.000000    2.872066   1.392686     -117914180369803444224.000000
0.334572   -12.616328   -389110637547779456.000000    6368077573237946368.000000    3.319247   1.506472     -1163009610685414656.000000
0.364103   -12.329480   -8313359241477834.000000    136141421270470352.000000    3.607157   1.653677     -22832426273106256.000000
0.396241   -11.969937   -213679839126353.125000    3476350807250655.500000    4.207128   1.513714     -539267648659646.062500
0.431215   -11.597426   -7691667386596.724609    123945966162432.921875    4.603483   1.779729     -17837197291006.027344
0.469276   -11.287296   -445892541348.956787    7149544526681.778320    4.576546   1.519441     -950170696551.697632
0.510697   -10.862591   -27211287989.308754    430814288568.087036    5.033676   1.719612     -53282652223.488136
0.555774   -10.411443   -2109338140.411878    32782089352.280796    5.501851   1.841414     -3795318637.447538
0.604829   -10.009634   -234325940.179409    3600383247.805466    5.971519   1.683025     -387425045.839438
