Temperature,  F    <E>     <E^2>    Cv    Chi    entropy
============================================
0.025119   -17.534873   -26283361626621626954662580715091684852272324698358761066431651723496369191471214058719589262931653367727397001853560401243459402282815545239517477628216462956953887593738192723393317382766281019986594984286482096668720183534766696071306690096097531810948838826238943197925876969953703702358375168410124288.000000    inf    inf   0.065676     -1046359472980828753201561570745293317755475063604621752392833633174711199546662125636915790596319351938525042100289556103042259071244232096872845166640349401771956261942460845517011758962519177785259785501307550381530706724081713063271457618960640440864944050735596721604462088220338717795088376540052848640.000000
0.027465   -17.511819   -144550264947936460169833930748398287111706007019879064068890354837354566672863452304714729116807983397569728581997042724708945014854101561210078751425920981199710845057248327157107525535145000737990715483257923682664089252892768544769554323922847300273801148384669197888231833600.000000    2565234063186780343872557502479738583693124811711320732633235636417997581382244758007566308261758615798396681461227233003731095047327980327469315595939167431290987409881253735696396734633401537974383037722036017576007607152111018122485874811437727113631847072644394562447088812032.000000    0.617040   0.057869     -5263121329567405109949384993100194546470931122315570247764649188192692320484408444091853703519803577268170329013915965897605724759988003745554969427269102065991427841546282336219810187986797807694048017423650062693249244011199267364461870425601419020243034696080917306933810036736.000000
0.030030   -17.490237   -156956599779075753918692566109464964942081537100239754857833279441415245481468895467998671822056176228820575772508219898353804840584301071484471554695944953148357604110535590068614562922416621330602254535921819383013422289469438432135481826589289079635968.000000    2785302768951001462579080418884685636948070002301788669051721393937800178924087874260749529339325190760243112708532015298052639285707172316877388651322240775223817967812761845764413813614302637387598501410085299821808534969837503586064092748014513131880448.000000    0.528777   0.045521     -5226711891227550430423654485668283770931988872827601690398131775497999184617604218429946203485893021565260003726735461926264496453910240566746422826324124617959458959802971144187828499861438655380892304910403280173447709448642996539286822101954452074266624.000000
0.032834   -17.467457   -19462469736787023127471233310483744670015742759061281000836870227988842196394301375512590802443941879626224248204007179714703514430748323005382779736834932548367846786585643542075686715173441891369389101409792508780276745230778105856.000000    345336676182374244387178933853924671887523463375442121442054339301219632671428907415800056971122453429932638986438119019759468667710193886761387857714891076017547239976114633336497104906326301169122583963289540942545716225555914817536.000000    0.503159   0.035483     -592749804834982547786229534486654576378477528663438315906025021021419521236625191874904831604921585487868639722461076946066584365732953148723411139078905591023230768077314319714419393038190467076373448412711033746906845021955296329728.000000
0.035901   -17.442028   -176793014107291292074171181929327219657775137558219872003385925791764573710154501674844941997616241968051303162448237411060901507713050472908196567655148465696496275881200202712082111936732293805812350167942168576.000000    3136772261624675722792723057475498343739298239060049939251871853693597208964935538782685750049593223743188986790669945901150963616818041012241612588202529221494676516940039260182881212942209851093251158228527480832.000000    0.445173   0.028551     -4924510403308456346491497822183811816290984938410209857214045513725181020151737490399330659535685556606874215760806044122549666126643518812728833770122681594121699709472326446460787174137069137196167990213993299968.000000
0.039253   -17.413717   -81651809229623422958909948387504708403140525287060712820239433044204526242843881435353821796042938638489797869779360859696203341683011066440367382367038273954351227260870809144250061567823970304.000000    1448644202554826193069243121786971564777408497159276049296181227755350140373117176020969398908474082595998838027028442286406611607105481228157856248606414417479171935890037276816248287600530423808.000000    0.388188   0.023676     -2080119384556990239310061920558595978477147618478758942306508820736817894617646580667393228749748636646147523423185984022482883026295286576602741001201137604186691234504747165359508581842453266432.000000
0.042919   -17.383858   -1424490193781462597051131865359208468609291224446464995744613254125883398051954323662892069078885961907249462382395874242745107976139712074635799725069911562869648526516833746944.000000    25271251164993095290449089460759485724093596772112886044169772805563227935965675191973775409952221632844191873827221915792458926043605084860234224845171162756133929905020647505920.000000    0.343189   0.019326     -33189935060624340309441860675835913838130660373245387949823909361875085887687023353803061591334021043265722725938314837771302667838031065976788339454479213243143652571397998247936.000000
0.046928   -17.352142   -684514756269601345063724131675473642422297832150634459620812281998070184525261265076280596830456017969383006278232245717993589745459400658321948971856398966063104.000000    12143399729110665451116983969402812316924325250740234449631769450125924842051561037512120413435666383082173105656802553752061709787917508364602736203402842277412864.000000    0.290671   0.015699     -14586605697586692730394400460312547208888624884641341709915775407946853559011483831885433059071903707718691603818929047226690718683970030473171341261099034086473728.000000
0.051310   -17.315163   -6397347189882243626360596348310293332926864937108652533156373190450864693176847810437576478893108617914895868217533286047988320007740709521659527168.000000    113478661258357726599453475508403895844908389679282662116700014308950793710599746845332406002624923591684910497562438354243084833948577073649221107712.000000    0.263169   0.013538     -124679726027629040434771247864711552901739765810608012239617515948489387716147440189416552226178115638076029413706022912357268256712518416175154069504.000000
