Temperature,  F    <E>     <E^2>    Cv    Chi    entropy
0.307436   -12.995776   -37737669643295268864.000000    624724341519274737664.000000    2.626987   1.197808     -122749569018955186176.000000
0.334572   -12.695792   -497268494343541952.000000    8200235708492910592.000000    2.980753   1.200334     -1486281746644850688.000000
0.364103   -12.370158   -9318317470898936.000000    152946753894302080.000000    3.381254   1.280599     -25592518074062736.000000
0.396241   -12.018885   -242408193033217.687500    3953163012169714.500000    3.849320   1.356925     -611769911505589.875000
0.431215   -11.652537   -8777019719053.358398    141991178050674.312500    4.255832   1.426254     -20354160481334.082031
0.469276   -11.255387   -416139969432.397278    6666996972301.969727    4.843219   1.499471     -886769721291.331177
0.510697   -10.853007   -26686978179.291214    422299921428.742493    5.202009   1.599384     -52255996767.629318
0.555774   -10.434841   -2209061602.172981    34475499360.881424    5.608744   1.695493     -3974750425.808478
0.604829   -9.998365   -229901842.317789    3531087132.676085    6.001249   1.724367     -380110420.815957
0.658214   -9.553648   -29917945.007027    450361668.408228    6.223163   1.804104     -45453180.188763
0.716312   -9.099950   -4774813.640803    70386480.183368    6.485330   1.855136     -6665819.652969
0.779537   -8.632613   -908203.067539    13052424.452938    6.617370   1.925193     -1165043.397460
0.848343   -8.168735   -207111.288287    2894393.513600    6.613065   1.989930     -244126.660990
0.923222   -7.719382   -56363.650828    766762.321154    6.646978   1.997782     -61042.668499
1.004710   -7.260160   -17361.092606    228121.822637    6.410919   2.038589     -17272.475460
1.093391   -6.809102   -6113.738221    77551.542723    6.199957   2.077987     -5585.311106
1.189899   -6.371416   -2429.417224    29644.745124    5.838588   2.087142     -2036.345284
1.294926   -5.943277   -1071.798026    12575.479408    5.502451   2.102970     -823.100997
1.409223   -5.535778   -522.629157    5889.351751    5.097672   2.086534     -366.935206
1.533608   -5.143114   -276.849772    2993.988571    4.675969   2.074389     -177.168291
1.668972   -4.766765   -157.670025    1633.580422    4.217535   2.052605     -91.615249
1.816284   -4.414276   -96.377804    959.807336    3.798181   2.017720     -50.632800
1.976598   -4.081775   -62.359264    597.232883    3.378964   1.974501     -29.483733
2.151063   -3.766819   -42.360876    391.091097    2.986780   1.923785     -17.941856
2.340926   -3.474046   -30.088865    268.467403    2.615167   1.866161     -11.369353
2.547548   -3.200262   -22.182569    191.998877    2.276640   1.802273     -7.451206
2.772408   -2.946214   -16.903707    142.652012    1.974517   1.733662     -5.034430
3.017115   -2.710787   -13.241219    109.420316    1.701030   1.661387     -3.490233
3.283421   -2.492565   -10.621581    86.446601    1.460535   1.587639     -2.475777
3.573232   -2.291651   -8.698976    70.163721    1.250304   1.512065     -1.793145
3.888624   -2.105601   -7.246203    58.285419    1.067157   1.435443     -1.321959
4.231853   -1.934181   -6.124027    49.417310    0.907616   1.359145     -0.990074
4.605378   -1.776170   -5.242762    42.749097    0.771332   1.284010     -0.752727
5.011872   -1.630683   -4.535854    37.621542    0.654487   1.209967     -0.579658
