Temperature,  F    <E>     <E^2>    Cv    Chi    entropy
============================================
0.025119   -17.532621   -24023986433076620631327346045741794721876436289126215649985836626848247433553762479028702969087171102322818525072342223880791929988112998518474639651061171100536856623056657162904690124581200757870780825203774076168636478246406613565409686201898312108739008349777542824282993038811903854871706826923048960.000000    inf    inf   0.002679     -956412126428735951512960381417556360390415118053830975856443012254770942863877697134819053565711840652723231712504590767306649424273868409794191490428321629719036485300302412681189764966000755295666151106072574206289596725735145921300063004957344262309661996506422864161714021044344472224473393664467402752.000000
0.027465   -17.510223   -136361950553701584116802391683751771533370151774426782852664923629944670019965017123198984034297495738329551441341788514595762837721261684425923615072894396411441114018716653688057581673704480731113045634312664703448739613740047664137308082116876252104639228075238873512053571584.000000    2419488035942151167395001064765419653805611096267864583923655333630274749196538587938047447903986005981238918991997571269767137798364249364332798263404744035136846566023843504206572627552291522264166726878308703597688959720932590634475746816353503242836481362167805907360064471040.000000    0.464971   0.002286     -4964982186363318581776930961672791989428821320338837538211126611788833817310856716466683259534768098258382474165002381923958577879443799420075561842512620364487565882105509027128394094829896712659203793910727459958849374808482993321294083066099317301176266702801290137482213457920.000000
0.030030   -17.490345   -157491434596505397200728245174357079245672794355547568899488728389508598240321483138860804000976230833616056249099258607889565691722651550266570098057271404811650943376709788403457396481642789047359364647920553236944780866023260354219864940502805660041216.000000    2794275281062140799521038297812660189958096893956211803315622107722141209392457733753845474855185707373950065278220127401217942255945558162723761997127570963073533232327020712494340329272337490752359934193217605062279996402787049145765090895664051197575168.000000    0.421637   0.001690     -5244522085281426764755798729001319559413278392425444875356918709100885398629240669185933115971252551600299854715234172808637367451507141787770396642819716017054009375073347464466617981906492172207865431829666511864510170480631181765293419324281779013025792.000000
0.032834   -17.465817   -18510806173262241932674064511082725914304167777041890541285494476995260401247462198935735685227362987940253513012729598262593270094113820209161459480947259717965895171800541798695110849288920281099509695170508946708725082224767008768.000000    328394166151335798343398868839975477447380303011930463230286224732406131758362025091428791553477681038079693531019150909187587650254135643594947017130265869477603614600427215899826608023738897400678473705201237606927447458675437862912.000000    0.415568   0.001390     -563765898929061119169155354940262308354650544051694263161797226544547759167109597054686981543527995226083477856418363088480094842380127001409391485503995937952691529152041771928701620499663156105243378692203942771519903301023691702272.000000
0.035901   -17.437069   -153941465015353617961909773900326723411845563256830264428928398789383841544439720731106255161430998756590105219772955983893709983500240831772510096509631469989271772787759248524767045520961720173284912539122008064.000000    2730601752859966201577664784723163498176054012302653340134443940854940854887655088618082378902062857134114865748316776253789781998416078849140930541067282479753888604753614518756262736748037611511991873701677105152.000000    0.423322   0.001223     -4287988130054674313264859785310752327640401600443580225895119033381551274674774845048335433310793445287166195287869636724037105699052184170792643474935961721062968117596142185184569324121765093396600666090287136768.000000
0.039253   -17.411501   -77154103512924114259913077881928115137817611443098955790335382866846270351907922063245608117414244156430006674246327577357073584569334769905884435500708725886448207235028041630791841340924624896.000000    1368562692569415221946431978831231096980339889882701248939827760197423001522895374461081856588937389465214824915041568595360971434455323857692806290777157337588440205856890679272240681437217423360.000000    0.350944   0.000933     -1965538153159796235061272939577149269707543817529995302627525911573111111592757722635662929009491310983309272410493405960560387235184020739025805605246872824058573034201105317403108442371375759360.000000
0.042919   -17.382855   -1391419453005668161840974333557028337977153314527066387203384479159123803275481669077466416388568668683462444575847676576082662207936016209547546559534320616386880538814651039744.000000    24681625534862712713710425195584164042720053029779341508074933153191292839401399674215785635657573906826014970173159819590235921649579072597681828766485769803442623677767404748800.000000    0.285560   0.000737     -32419402737167891226480010719803651929188607069753512568595025889089768650036347382862409672777992644409671746108081913451238940287482701523818027391069857546278331816679886028800.000000
0.046928   -17.346789   -610565861024595198642966897255216311182484348934624947632536155741023503296537974872887743658216696610267152880154928523431065057112133191963040456292256349945856.000000    10828793599378360807495178756546462846401506910432729923350704833393483699712857478277432794280670920718318180921046589642015352500523599041515030510759130670563328.000000    0.278606   0.000657     -13010798358400264297226875008123903961909756919208804675432836599264700775113145858699294016886036718038658846551052977361105399095230837726386445319441902349582336.000000
0.051310   -17.317082   -6640449856695448903762891879346356537164495661903421977994393535171435976262208030217964898515820019948261654489552095247884152068040971556220829696.000000    117779706431063934201964189496570393879455893165418034056610786363283050879568220072577948857065905889873849516313975135041536837593582438180162895872.000000    0.221024   0.000486     -129417623314615964026565992052751308509535756500505173015509418872733800870977822414294434339217123336333519540043420722662526604539049190380984598528.000000
0.056102   -17.272594   -908479380315924177912045420938017552972947324264558867910156201783900654021994961641802082006844847188882099992208203275465111814275072.000000    16111028005861365727351695479049309275487907580868777030479237448604739386943123952512323065623514595434625811190372278889374090805641216.000000    0.208692   0.000457     -16193304511711354717479505976125239544390741421897331194915545655039503127018984127193965833710162942969397010415224275252176599948197888.000000
0.061342   -17.227007   -1640075889343543209837960455448436350410566483919553163633851090589806699903717669483405271847994105463093230537330103681024.000000    29084101679536893808132904304531890964128480523733595653555588231807233758040101953206824913350769338895528255419370616913920.000000    0.179006   0.000408     -26736763965413876737178595457317086417341545289006105244554120463372621249336896173023486158487015338039801418886169321537536.000000
0.067070   -17.183107   -32580314600498994838318398519932229901134436934679752391070500459420590476573399138669301606089519907271778238464.000000    577731768558316843501126545727737657439041315594805889374003672515524961186146079809394436855849202783383988469760.000000    0.154165   0.000336     -485763256514834388410321510844529508145584234392374518394013097420693070067968403612953736032110145121690962624512.000000
0.073334   -17.129079   -4891414362845469031543865078436134107487210469249306315977438346953594125715258007398769084792215437312.000000    86732229922730899821601860177560719982164400013754479424935548966745659633049984037664269481345623785472.000000    0.133087   0.000304     -66700383663565586516935684396282958925011849280442452219951737830960723868863276318147525090511062827008.000000
0.080183   -17.076027   -5465130225775504658748407659482465851611915969690180753781245163621062287059319614214636568576.000000    96900619499393084887708562969343753985657614502368006857979178171907271649293135289734119030784.000000    0.113880   0.000257     -68158320808303228505513694259742509226257755189096182331915228779231504651700124369480090386432.000000
0.087671   -17.016383   -34858328010366165454250292457463280990622922659624564303808087403540852364253350330368.000000    618085260935424269968766624822438851551325545408951023132442980585768778495928886624256.000000    0.093576   0.000223     -397602777324078430270341118505272019094697092615363945113992478862237438870291908395008.000000
0.095859   -16.946666   -1062878951043692031355870149211428324538640227246923955930953792884616200192000.000000    18841854433655991609297398677162924774891412336895182512237253610907763468140544.000000    0.085790   0.000206     -11087947308173294186550045288449844873971990046403486499643596956495951802925056.000000
0.104811   -16.870809   -142666432641742193800526966495501176114203749297062893895992909641023488.000000    2529482517368154319797963905302453210589435539810240684525698170518241280.000000    0.067832   0.000191     -1361173980104760827514276722655987969420805066666096418796474649444089856.000000
0.114600   -16.798438   -81111045696138377901925359802749778913774740301138476170808918016.000000    1437924881167454162652129766585555305725312865608684679427142975488.000000    0.059522   0.000166     -707776806569128773028088086806004309006942910691086338715476295680.000000
0.125302   -16.709871   -146073250018058212928166530708658637334036290996545882423296.000000    2589329971470300150854937936642446987808291332699460990926848.000000    0.051392   0.000167     -1165766331808386036110362423423696371832673402326099005800448.000000
0.137004   -16.615435   -828673258748407196634709680135663600116792447442354176.000000    14689572837491786292578638929768558650950337609573859328.000000    0.043574   0.000194     -6048513168771254051144524472246167215839488237723713536.000000
0.149799   -16.519044   -13809677979016420322798212339476966247236221534208.000000    244796908645590745462316964575354893698346950590464.000000    0.038196   0.000267     -92187778043977017643693381359031704552354296627200.000000
0.163789   -16.391843   -515503107787905004561530657682917172403240960.000000    9136801328833635180116065761601559987350405120.000000    0.037323   0.000489     -3147353858185130421101214051169394699865686016.000000
0.179086   -16.275394   -52169316695295073101121962650154326556672.000000    924633410461539752462227455329670025707520.000000    0.038255   0.000872     -291309014475164266852664539292372654096384.000000
0.195811   -16.137754   -10988176746467996513045355862471737344.000000    194744484601287835777900140339612614656.000000    0.045415   0.001607     -56116283653373055912184096612264443904.000000
0.214098   -15.981346   -4639205618086649251009475119153152.000000    82214855896351702679523384109301760.000000    0.062846   0.003341     -21668626151794179328072842972495872.000000
0.234093   -15.819461   -3954904605339184664774765969408.000000    70084334103743997074419759448064.000000    0.095415   0.005668     -16894613367563508532803725688832.000000
0.255955   -15.641621   -6144716591554620868981161984.000000    108868531441429341355313725440.000000    0.151379   0.010505     -24007038653426773418934534144.000000
0.279859   -15.447492   -16608435637564222390403072.000000    294255569690557491793887232.000000    0.243324   0.018187     -59345795034845439238078464.000000
0.305995   -15.241411   -75872437933581432520704.000000    1343659440731754969694208.000000    0.372138   0.026505     -247953220442750793547776.000000
0.334572   -15.022080   -558954488184614486016.000000    9892069189276292612096.000000    0.543458   0.042987     -1670654526798384594944.000000
0.365818   -14.753802   -5790828205608114176.000000    102358635413992308736.000000    0.859083   0.069663     -15829798071760318464.000000
0.399982   -14.500268   -97868189947943216.000000    1727371544652479232.000000    1.180437   0.101759     -244681277816875968.000000
0.437337   -14.191005   -2174160091262486.250000    38262641627800984.000000    1.742177   0.155329     -4971359764724839.000000
0.478180   -13.900814   -73828653258250.218750    1294633766233259.750000    2.270704   0.209111     -154394956545235.406250
