Temperature,  F    <E>     <E^2>    Cv    Chi    entropy
0.086851   -10.578217   -891827360536351963041104546687385749024518823999438848.000000    10110074498311608248397853536013143908852115063722475520.000000    0.179470   0.056667     -10268459199149928261630825672043705765956695630406483968.000000
0.096310   -10.499103   -2501342343549072358579381389884217856511778488320.000000    28350703310566893194737975971785670705879871127552.000000    0.270435   0.068804     -25971657419900530444074760681144302193935858532352.000000
0.106800   -10.396493   -21420242434181252144051532229307456118849536.000000    242712940156538607270966951047775750371409920.000000    0.375796   0.104616     -200563986512137622969639859545368042164715520.000000
0.118432   -10.294783   -638795224562589693218283074805064269824.000000    7234859937434355909178844231022212546560.000000    0.516928   0.151438     -5393768132745390012540957975520510738432.000000
0.131331   -10.189108   -55950494864228806081478407848198144.000000    633291720654000296175641381469945856.000000    0.649491   0.195391     -426026471458492465649065652780007424.000000
0.145635   -10.066895   -11846829324313717497379883581440.000000    133966553899593918556361954689024.000000    0.806674   0.243450     -81346116725030324259680566640640.000000
0.161497   -9.917865   -5294802329425773933572915200.000000    59811504558417291069643292672.000000    0.910453   0.357366     -32785852895785775988505313280.000000
0.179086   -9.759308   -5234866025763741907288064.000000    59018952573051492120920064.000000    1.104790   0.428594     -29231045362959201276526592.000000
0.198591   -9.637284   -13403118427817872719872.000000    150994241222474828087296.000000    1.035105   0.401439     -67491125605413538496512.000000
0.220220   -9.470914   -53526672642351661056.000000    602278969977988710400.000000    1.030428   0.466599     -243059782245031084032.000000
0.244205   -9.253219   -320277393679909120.000000    3592417181092900352.000000    1.211309   0.624368     -1311508723519799808.000000
0.270803   -9.056063   -3730712629829378.500000    41729157897259160.000000    1.317095   0.682416     -13776494912733896.000000
0.300297   -8.813103   -62006444408864.687500    691334437914969.500000    1.485495   0.736491     -206483716378087.500000
0.333004   -8.547965   -1556140034673.692139    17249128139524.373047    1.776898   0.826945     -4673042128667.270508
0.369272   -8.331004   -69315688012.219482    766728092682.760620    1.889476   0.761975     -187708785376.453613
0.409492   -8.001702   -3341769238.613111    36563467286.177223    2.389179   0.910847     -8160777890.882037
