Temperature,  F    <E>     <E^2>    Cv    Chi    entropy
============================================
0.025119   -inf   -inf    inf    nan   nan     nan
0.027465   -inf   -inf    inf    nan   nan     nan
0.030030   -inf   -inf    inf    nan   nan     nan
0.032834   -21.813728   -74693160170667367027624518059778849416226846181061857043685180277056824484835245942602339552783057314632476879682025535662635153144781220298676965337838022940145263959100851949234971667484934241894574857779825681002465006396337533506701684217322490825526197943507404623721268384085976285184.000000    1654838354996338744399954898848512656803182698581445634173871731742126018083298573950615720641075657688348391850926086389106853749341367753095256610094070614931020711925680472424567110974194764921214730624998821162311015768393808230892292435064983634808988161930740516464722507085557574664192.000000    0.161425   0.024076     -2274858058224024750735428121595221665350008558834230360258782466533256497458068550579148064627269862347923962003357408024407359685341777852373831541485624361365202162370705787856198199883014158623637325699087651306490837753608517919207404061112628673770795971006121376473683526068134869991424.000000
0.035901   -21.783225   -7243226958983382410611664151043738871123905888331617880448685541804008806655369562273119255114034645273355534344991833422087878005673721303985340660539416966430953646493925635413083044222740433938873343489188250149540084414332044388040168912880969611080827169406976.000000    160474534713070933380011719060774802275403874796299433091407312388564879627392312505130731533407500055345280582844216660847895463599680578850577814141337266139729619619600383447690927519613934244755205239140840107924863502311061958000512804536810699839380035033104384.000000    0.134542   0.018087     -201757669516234944271747853707685814181576456610968687955075449473390742708692053399157964320193269946731160220606437973033988596003625992207387411511768713076424657917430986567497898615944851519430962909175111094743126512592747237186380269555949804395129076409434112.000000
0.039253   -21.749257   -94676625831029020947001952657193380670061629545154621618563101856615110022215917523915518156422361250442002591879921147771638108467424863106106952305944517672426448414369326506970126459478887149000948123792874217314594116898420841775926083584.000000    2097511918439364859630820008500369671943934121798707341430605579445248735410354266860270253571513495520347672365466989205452401237971387394463556715659829173622706086939163387195944426349772763414782849748707206310958173582330989319854963556352.000000    0.115775   0.014092     -2411932895470034454831439602814225456181956509377041494576640013796281927442422971598671532915891247238532026152599527704598170679429442650771420931599687793281425649286393574855602295229174250399681591246832805330943188325779855555117453410304.000000
0.042919   -21.709877   -105800710551151723471114728295773069097748576568258328904828739839914842323004083630618091252815573966714701001056051606324610877735130200512789439390193110501303894834349700173758132207361451841604389083048687056392814592.000000    2343924046111542210909106345088913144163074249672598161634938489497396928198422930105587907196707968763339399118465098701345597280282835972903810729047935677263255044849521034496637370140282328842732540326893849239734976512.000000    0.098078   0.011781     -2465105571024630250022027792036336132300769218181038330032777274688800217584248222120631713068963345992494978742703634837779686121887018630157112718759727857027093078494540414174238028054288807669924633402280769865610428416.000000
0.046928   -21.666894   -7294461394898246349428690687194540123841924382262796866162412386489810312695490393264922336984836256040713585029598817481303636247775017803175821213318829177561617739126251972685102043446092323268591616.000000    161597656396199411538750128441707034061454241825567289937629849766773444263468020409456481617757956074548644148057685875455334067100362804802806990032560965234527177364489497110800615335860632466262851584.000000    0.084104   0.009942     -155440669713980468536884646765202573483347193295399069147698277115810987503693359868608291810014325535674868593777834166700036857612594315887620296341071426620035238957258379304743170341551831252320911360.000000
0.051310   -21.626464   -24760903945928512415162804865149663562648204395910722353097033096612438689059732488562203305240011238394240460163484505991563269439007770893948791279834337515022389726174059301491965952.000000    548543336032479924478820683213732448013949598036202454972082072336093159177197152199773858683443276184965638672074220105097712051150095675005649453545720095140347192545753126002080350208.000000    0.069853   0.007464     -482572327019761449365130350614637382438281903155550238371430322234838454672364490792481713287811538983602406198838413245240393593818171888389998644134487373119322132433950917241851609088.000000
