Temperature,  F    <E>     <E^2>    Cv    Chi    entropy
============================================
0.025119   -inf   -inf    inf    nan   nan     nan
0.027465   -inf   -inf    inf    nan   nan     nan
0.030030   -inf   -inf    inf    nan   nan     nan
0.032834   -21.814606   -76735393556933001464537383917771777091378163986031619615056798363598756930922494991311488237804119390051488129696716065009330768822671975735460897483026228947733563831049324325407616808860081438672490041445179889554166892331196398794245336046744583798347665386565735816469527004293829230592.000000    1700484600630247434559303164209910600445533840178840605102072582219010696692509588179333136728714642655501637274323159044211074632737339645678189162908212769694520523839304010904322961083827623305036017763977056127569039845486186301173156037464966099589320057989935076889160256136606222647296.000000    0.320528   0.441776     -2337056404965617899204694224257396473656310573363210762079041524902276767163078086704693686160779227968167927625881688325718326356540568102659365998108334385654285701401365629181933482307415831176794976587998634482544965629088028398637244729694452743538037137729669167578708335330687709085696.000000
0.035901   -21.783408   -7281465266405615938364272881405856641847825679001043446020748811174263550577721215499705948192508487680546157549723152253683989594446163859331782429962792570260322490641710070221951726962045207443712088121781276182361743272520043824782731145444413107742289772412928.000000    161348859686467707758278091619835080208494692133089274332844183643870666371754998613614621103511094499683083867715844885422658556103594839333679648853274903144921672574972397505193299814472683425260259764374141831906685179363073601684398782212599195505925286394855424.000000    0.275986   0.339249     -202822784807450113355022664068558799626422054819778530116253602180379696432010393731692170402980031214956004748397177481245725263323463554348977115007708229644355551805885955147633635244270725294790544169428681772548291885755395492267476974843046541145216144522608640.000000
0.039253   -21.750638   -98081791021314605832442862496617413385534181600970455386454528290173744137012869015649543145497415877066982094817659347530769439476671776540441244579816987075286697312215886733352007773172406602651927553927770687807232321326383894062589542400.000000    2173262993276511395878520650356513484063488985967789426122349320460958397431014705638807086932023088504841739287248533529767340082181733558903164294568252541160597400950062832337827052550227529333170889146284808321948031288773107428407369531392.000000    0.234858   0.256436     -2498681127833292106397347765665254170399156326646320609636655173590758500146850308530851930975850937656531984075727066297993473578511983800514385006739503679614714800912213021712629515663947960263457455356186209120456320575021039280833435795456.000000
0.042919   -21.709406   -104660609663972180315994161201394907453063649104744156196829209092894484782063665482380194897094169900308437226819939110332025315756549025167312475186648891098194830963045730470315189458179515690706238534099231404548161536.000000    2318955155861544667050101863643518832073346144849061944235031551527537566000946130728218032357757508315763718830742994301522110841966453781038294525108750788528151181921190977612407299945300232243931060424058041568923222016.000000    0.198436   0.224473     -2438541769762089194364791277602420459059759904987237234363283145279215235089471758327224311580798743012755098113142619658356135402957399397952286873422033200656290457833081483440132340274779674489497780042358782382307278848.000000
0.046928   -21.667444   -7381395102520785947038639720609093837074245675242703162796009312291878002606331804721593552096389644672586574726094148153620508089576119247329769334743114861452600628992278090208515700957998801433395200.000000    163543459008532513788609570183983830431820657532918232847883809157258844833116122246784147242871569575847824896883995272852176835531769346699952155876348916947834113340607734829230402550775494876952788992.000000    0.167527   0.185206     -157293175745888183301440835455534814771576042753867885248854455290191431810340170875378983105602091335269274422133062821894525702697589437477537627570290988140373040705612567064651020037422489839406678016.000000
0.051310   -21.624808   -23976933353782583383586756447521851124181608626653231039142380317133626273673417535038219781698776791460035996540877170760413805288629669653938647677702501592218949948305159930356170752.000000    531237263857735053509457200787989737390073665279081793395940523961509051529103981731035853016908862618637277479250644771086764151939403050828824316893011043405372770644282087024837525504.000000    0.139240   0.145330     -467293300301145594963124871423764034628404157388927107473689803902430189339159311899571648181345667437850958738971789564605385783477872460646898138484456307969578429066846180911876145152.000000
