Temperature,  F    <E>     <E^2>    Cv    Chi    entropy
============================================
0.025119   -14.085938   -49595986110867771772829762662940217889015122562515551495600229646452974056431533124778530343806047798786721854788020366968440019071990240749231586808072359890116585431176756353616287444597836801018153781360929308859543520202556337178103691345920.000000    709610067051480924754641387591843820490955957167852663198393488827622674557345327128004809608761291591675370573327428868679304146991707452737500297330968926294022140549541452809472651121014502607147578631035653833943774729606678531165533369270272.000000    0.094224   0.014365     -1974451770140733506563902739399041445866766729501368607450341299583210396293444778354959595440534302532395878020675939798692284520593688170189733039914671874551526442054459218537354605712059680154296584030566935219190771259391504339451560494891008.000000
0.027465   -14.067425   -39898672456295784322147193120595763588072854362949878902710950742232753961382536965725822568417030584485307755966807965286685714267947180921387679565655773547165551244648846636172658525389765569209690388681362847232526647296.000000    570854107460329166827283197303437720783052735663885339639804981630078193920538801292325774614645171050542382922965609803391023868711662074251690577434467818885663032793564906121847963039744718711285303464726651327788357779456.000000    0.098391   0.010704     -1452723411484494996044826252812236234758163287676448592105558616790514828006312708613205836176054193558526739002762834554786243142852295814812155784648046351158659526763128937239299703061166029981903260776730187194134113026048.000000
0.030030   -14.045919   -1949628057784332352376441752767987316493788724254845016450806055845838643918793426069134767336076644520664801026654375352909631961072096611791044894750236463177920870444578739485938115026884219828481032192.000000    27893971347163268511559900528341150684128841193089124774490570463219615567072422336262472641463671008897786032581718652968753577186206036310631618389574344104838766886293179932617616665023623127492234051584.000000    0.112174   0.008477     -64923323819676133920471882314037835316109578695448990753916352091549433191395460349222717416547504371110661343614236983206838589834168456754343297404501188626115631670406025086045095203876449264199104724992.000000
0.032834   -14.019482   -3887841077818992307128566692848559560033279089391539494099490102220463800502643202160131714767494433028634234714808534212989795426716510355652720189094528572322803627066447492074616913920.000000    55623219353681982890505301348939050375023916500654423959347908275748812415912241453816255780693406917615853942819180232443406577775000516157779885851392782524896566356341539531401495314432.000000    0.137528   0.007468     -118408252974736743842901059595294792190450038667303786790676961125766978776399386249244546971273100702328937447916845313573041647575900842580613433121398879558458553342726758997921221312512.000000
0.035901   -13.990476   -251254099544230119324075926966708474935869978135634869412322665413263699790856514258900054578199728577184768257323065325559596511623688523424474727979618730811404780044288.000000    3594560650466640087136590231544822739215838925151182847590730205771050664029583678795599801340373708874099569284010726911595867857461578489670676919156795566281286486065152.000000    0.172418   0.006647     -6998599086774836228548497789627447465993602066598098119926039217549962420535297510016862114852953037741345115933663739663520851866634006829909769728207254265018048894205952.000000
0.039253   -13.961677   -422261604008383995947014645934800262917295540106337676623274006928747836795374544625593934525980841566466592229285659193942316074530098486317526982070370304.000000    6040819476357384062033571633382767058570219371004162655008022115529761991256469524746544739526960813211479811050391524490474013699040184524074118720864124928.000000    0.207125   0.005522     -10757318865793100097697289252639001895305555062845882222243750225748068816191392444174234949125693693473437044286242955215843978987359394859621905556217790464.000000
0.042919   -13.931003   -13220434313615258827867309864345206720875828669206594359776413467052653404096227537390705062079684555518057486513883044565392606674581083652096.000000    189118305205589060101197104281145162816426736871966254865818567436071699011119422907728453691005608900084116004680128335355544419142409098625024.000000    0.253469   0.004559     -308029748648067036344251272481050078576264696745769318284337513128248533464438015187154666507222336680319824359969282909597788721941542814613504.000000
0.046928   -13.893540   -5420474829727985120771686537143445064629586325752745354942040721369158632739192504428840828452624473270109902313468402190251982848.000000    77532986193303855107207473891636557998063323925203451401194966884183683671734345710725837659173326483140603696216666537596647636992.000000    0.313320   0.004150     -115507121374304771687950317287609115574776747645079400467666600155851576758375916269073302977091107319088249078348578013441068892160.000000
0.051310   -13.851787   -25012366570164598807225274915241174320214937788179746073691034305752494986956663089150214279881256726008968438272229376.000000    357728080352591659482607364265540285721981355517399563454379909460018167727175193127725528531842995879016993249462059008.000000    0.374353   0.003851     -487473153903993852886762264025079843088008018762447675519560424292389574853820412738192283076057593064198894141522837504.000000
0.056102   -13.819644   -1364996353632052988554136535281458347091511633932449348194396656974548452611510356668420361987545590503833600.000000    19521595742881555266648967514500986285303888655836768729915091417446919761791454103782913494759048803006808064.000000    0.337133   0.002817     -24330548486475127086257708702625702782866450792983717745248916329595069464674368445053553956713019045849333760.000000
