Temperature,  F    <E>     <E^2>    Cv    Chi    entropy
============================================
0.025119   -13.817807   -1130057175577730288893189263200647078066410069093442277621087479716537122442329338745416747415315889941197801314111813241501438331259493916515840359360527621089204669733181811957673646391633124928489748974193248048311970012612332750905540608.000000    15929452935020458509149780731109968469284275259001098233317116646488232649388911360755964765185539193946962918435312334006665556694286901836104938101664963471690432552724070425374006617594897209255296576778273193984688829283375816387275522048.000000    0.092705   0.197553     -44988386473290904114241681602564690883260109162657342714963491356561598919442372288748081552760428667238877305325013288412595838913795016174325944262126378152380012294126320444458430254506098799894521337831068130384593372313305987447689052160.000000
0.027465   -13.795791   -1991572869611150780562480214984463802624857803771980229231491125755193338622454778193003306368233351070184320115268955633756510038139225121612104486159611267386348799528331347912531815176352153663639801084599448025169920.000000    28073101972750986941780149477991966285321952450787534876863285977241068934866191076388085312643020677016901429128297880474190419044499984793650320102424035181314619581462443616521119617659449180819071620307742654847778816.000000    0.076051   0.133809     -72513804476342795154257062908908867847747980598188462049509515631336630931398014791685125427455670793854428031550539318173608663107235030832249333381035658441708338261679851092730386055062771608227847066486905855595773952.000000
0.030030   -13.768160   -184704673778264907292147727786935417783210085939401037971545033577799010609466430655084290674727624383531959315453317754544239426871109953955434761955890707536284467172216621091648285401533254595510272.000000    2603554100618437477715699943315961872648401812917111602344489929934474842441682813166920463393078612482248563306981670354524036777932932946154987780997296954073530076414687514944280773943179778084306944.000000    0.062957   0.105283     -6150732853291984397684529675215173074529842518592095076342892013598376901873738655409090384418330464946283724535282946517759183942663380218364577308281710144182822308221922082748857839260918983616888832.000000
0.032834   -13.734237   -646160833381993546818254419599499963883962032274903994718237900099974263924016695812095225908642681702522575983774050479523704537243568763884697087089042637455388476708798317174194176.000000    9108030363969721760765745729773958576143564734778718469720004225383207348199604010910753342922570479416694381682464631528043177236138696814750764891324469731731467509045267867017150464.000000    0.052474   0.094267     -19679501782614777032270195047269703633613620737807766973075687866461315869579197907729789992822689768283831672567947983811065824911747526824294176652452994413250678810929638450302812160.000000
0.035901   -13.700336   -76522770918519465528230588322271079110072926866487591859742626024943446828278620402947760001664808247337677482049817929044967685515055257542172708565443438160186966016.000000    1078623803307304787119376480691839532836976263162722126791613880694930452541889093275324707405149935709761699097237048314662892931530072788490780117651257864746807853056.000000    0.043878   0.077695     -2131516244468493088670498544981683566438359180325861944558250306678192092313346858060314101511019223152237200815657352653193906034402428641194417014022378889645878411264.000000
0.039253   -13.666474   -225458188467453891870491933662012487285697189613046943656188974802967526026425286833789432250497141582207060763138273288416356266340054528630601073819648.000000    3177906500709970963030144382263188807340685407425562115082496427842080573879339537724067084019759437783870668170351848040563810830701715601191002490011648.000000    0.037154   0.059813     -5743656541882323668900602903340748156460162125284860211506260048705009556283034915411194324675376178183518340528355632317569578465938854592536155097399296.000000
0.042919   -13.617138   -8687225344854738436694198243781731490489676918021613482057546114251450128824034350211346566549707200961404192050022550842158610213062574080.000000    122448176014832440306893722047583094327626272621121536212897359195272505793719593515502759938513581151004349180650793437049255864070177816576.000000    0.033482   0.062653     -202408164205988533490570493386673390145628683800801346276051677183447784606072076125000155896910348463770158344222489982564290427078060277760.000000
0.046928   -13.585602   -7547907565777577629648186540461355850774085065084783132917880293718212139123255325077640620358728591498017464274874041609748480.000000    106388322290956950468397533216150153709294867629151504842229437802086236027130490614267326076175075605801963710367460898497363968.000000    0.030074   0.040789     -160841458121124643262236611038357959386883906683555644854061349469955938360860118018003978510036758405363360496676292537438175232.000000
0.051310   -13.534579   -50926939070418615999932139950622965315626054134171266475564524806947480527711191612862268069977374779233202333548544.000000    717812113353844476897444221951986814471952756120645611830891670865657802905732464321077481976731841021037400194809856.000000    0.032335   0.038384     -992529656787695384805531539142415929524063771809564661743649738881479984152253560898914767916544821348111649528086528.000000
0.056102   -13.478798   -3092225018452253078840025886628474958763545657710259926630313594303775323982043416090267827181907991330816.000000    43584171586996320271500250326266354941564610939761298141560027816957759609303855341695549337884993779662848.000000    0.041808   0.037240     -55117752177398419451326577907929461055129624622637168943686328892780780987881377301606655290760788403290112.000000
0.061342   -13.423741   -1542580452724848052136482723628853569656271843153074071231353427344626350610424382850089906864128.000000    21741916639932404205346162800175774242566830108197210660783996474072837711643687413159777540243456.000000    0.058507   0.035255     -25147378685430045067549730081686577824844489812118737083614813985424799092318322324809457088856064.000000
0.067070   -13.343469   -3554350404921018841099742835663981556969338835694012406649174441157944057456032076529664.000000    50094675348156823490220040434022461413898615393546967855342444230672209989539588997120000.000000    0.112178   0.049169     -52994357134378636551414907680216472414386209515015531482264820395309261165497580030787584.000000
0.073334   -13.288719   -70239587032786518732740715501880827087448017041597208035594077622320202602512384.000000    989921154404216105857123821452436397893582827169412454283964820327780307991265280.000000    0.127846   0.044706     -957802192969779617264416321042625425702062830524588833571945890686992909244301312.000000
0.080183   -13.212686   -5162374679714752483477736953304913853615402481268029069452727514971504640.000000    72750441815670921655101737847365051414691959430901757964744390096417980416.000000    0.189623   0.058885     -64382507829944853845343567806453077517986660155958587420701943796473004032.000000
0.087671   -13.122342   -1421272513880638734653522841150392702282345852284505622827367399424.000000    20026040060825675260040345509811776391675739614318981804969051553792.000000    0.308426   0.088940     -16211388529170613211111214574243525978374659211203621638761181347840.000000
0.095859   -13.040168   -1690683670327043962524309964608223228223687243908527196995584.000000    23817737252556717531372052153643956559958140619917144088379392.000000    0.403327   0.103549     -17637202649433863574207592524189632366804120582278647031791616.000000
0.104811   -12.928437   -5232672847807831729655209535412989357569722319282110464.000000    73688291485314333691239782743623934086588093679305490432.000000    0.585983   0.166555     -49924694933128460053711351977394657533683785960033091584.000000
0.114600   -12.847493   -68589215922574749926511917592931094841507027353600.000000    965727966695848115956453605348170956007318017277952.000000    0.585396   0.192947     -598511038713826128329947239109387690593179068792832.000000
0.125302   -12.719734   -1716227675442104933509116232775353570078752768.000000    24150394102218298925669249809873739198456922112.000000    0.750967   0.254761     -13696692868138677985370214390865088036212834304.000000
0.137004   -12.614250   -136299365123838766930763451308649771696128.000000    1917488705678236161930954612208245390966784.000000    0.725793   0.279031     -994853515717222068262473053363811905437696.000000
0.149799   -12.471448   -20166159277408980005176940197702533120.000000    283405741208318141037807161198791098368.000000    0.930445   0.377363     -134621054762471557234677757359845015552.000000
0.163789   -12.329607   -6917094717206771417855621720965120.000000    97146355458385167003050319011643392.000000    0.954354   0.414669     -42231645972132214678035920123330560.000000
0.179086   -12.144738   -3966878669867281080153020563456.000000    55618878020287007337899890835456.000000    1.161700   0.622691     -22150712124734527609815783440384.000000
0.195811   -11.986652   -5391410473532638650102185984.000000    75503807769007937194374987776.000000    1.205600   0.643576     -27533768923199499216248373248.000000
0.214098   -11.771100   -10529791637578729486548992.000000    147052342141230575110848512.000000    1.445869   0.823684     -49182152556774325271658496.000000
0.234093   -11.579897   -42402503325890922938368.000000    591094362660481433337856.000000    1.516666   0.773132     -181135569879646815125504.000000
0.255955   -11.374994   -278098640691427016704.000000    3872247228631999840256.000000    1.555358   0.845660     -1086514685757934141440.000000
0.279859   -11.156440   -2853075057258347008.000000    39625447679695282176.000000    1.710963   0.864601     -10194699324006641664.000000
0.305995   -10.866917   -36609295391452736.000000    506243054921048448.000000    2.083332   1.003147     -119640187368132144.000000
