Temperature,  F    <E>     <E^2>    Cv    Chi    entropy
============================================
0.025119   -11.116585   -18015762537055722021387904338194957447755462018448797227159368579648956788946267583419105849516486714088050734113880825160596893513584012216701906548213127125191124155967278019654727366665568256.000000    204302201968579967729744459812637431391878427255837960667338401376795682222455079885412034356013688434236419154734989852457420589247629516784876855463991435648580665119741765344747190726097371136.000000    0.143623   0.056030     -717220424899066497324637669916035931922092182084536971201769475750579696985884559680920049320271118039870118968845078104631626758741068911151346230575959096485954165268791934001154801150558470144.000000
0.027465   -11.100339   -382001576259017184377811289886367757573942739669210325167348883362607304771308264377535090212507170195368720938187870153853579079167256780763365199546138128870438110838283829248.000000    4331852680919146301331314249234635286418618884915695164583628207557737363496766588511065410550241677718764153424952498666692958741187663901380101597939521421560671453187548381184.000000    0.120218   0.038901     -13908799438460692150753091904383479978683142642978396226364878577396553149648335646654882119609259230338109218924107435913282373809589747605668236808811295349569017132963638280192.000000
0.030030   -11.075743   -171321458691924988527453470942108076096984369175394884527237316814136729863300727023963587537904928660072811368063518580041024406998223024477207484588469017116672.000000    1942716808806145759101322893078835555095011190235353703108155573832732225047837926378361098118921480620278031288327664778054623180459581536642325574863126756589568.000000    0.100847   0.034757     -5705066920587738828546343625649467687577404596830361557701166954036948747722724844855798668357504926758613170756713707623553190348216223565716330803142525435510784.000000
0.032834   -11.052281   -1745418702266845711034870500286868659940001467093337325703093719623163311337338954103203958989456896807031959381598155860421767670212210228138606592.000000    19791897315588379273860022948143608996784094271630362658740036929273908804967375551769599633490174099062424943229170144582812895927759917864156397568.000000    0.084634   0.028229     -53158546120611649839620935330889186974758046082533335839313194065733457398409820753268440622504795569054806691474172666435304198343010651315441238016.000000
0.035901   -11.019647   -229433773970373779000603394692424869611140090757976001131028146118611933323306885657653448998623268385290849969935893920630460454535168.000000    2601573420213721919199045530109262045523687993806162334693742478364264051750111714612848498512142837457824639547317834094307061778087936.000000    0.071170   0.028179     -6390801200446468153864303318856885322986507383540874598366371981172453937237360890066724034824698056683685397306310079017199086082195456.000000
0.039253   -10.989842   -441235317976591957360675649189244734874485717345781127195963723265629579222822582614209340776780970767048493814971648442368.000000    5003116570768079625230641193825617880781645423676322724216098972836165075789377126300377733687309730621582518859122792726528.000000    0.059981   0.024190     -11240683418210024812695411633301632184553395116088419853872164673560105344186414211332729185122711117521372820797590295543808.000000
0.042919   -10.964552   -10075028123612780258151757126313732316478524156353722580063840608775551999383952936501711673510461620766046683136.000000    114237543115187428814151863379374308709749600072595531830944288819727222580970650903979695604533775949288022474752.000000    0.050773   0.017691     -234743300176043403684435753448188956675525915570525748824584906021707261595106778891557057642916639756021961588736.000000
0.046928   -10.927833   -1537556162372977957322799763163532709348702162035187030862078176359052147386034444203160526482327994368.000000    17433571377018345072295586755688521961655766117794229837634079645238178329705366941549146314827095867392.000000    0.043838   0.016175     -32764414898304810495572414439463701660803082531356840223792520592313750680818136995438441088461848969216.000000
0.051310   -10.883251   -1483730395270403524291142435147081389353857660087741728781092854993216457143203347880172584960.000000    16822997719173911408510850691768400410078781978144538281770785685492982974282554150114669101056.000000    0.039952   0.016429     -28916845325161225662982682245718646538439016801963058378502425230786411247361153940208639541248.000000
0.056102   -10.842853   -9784593213847502914906904404051847429061173035970678777934950897058587559604367917056.000000    110938934696901331671482751363871044487788859467261864155285423205897503131260164243456.000000    0.039627   0.014763     -174406707370681082349207569480779796788043087330192934070208200167061654836625935433728.000000
0.061342   -10.792677   -292394829727362762694448853986027798621080550501566533980228311461623559618560.000000    3315142474157550474928421219975043162784888154156721616273463466240733322674176.000000    0.046896   0.015669     -4766664517126088048383720011625400042437069830623776855543867298760721870880768.000000
0.067070   -10.743684   -41889425569560596743721017989090459970259611788101078658707306357719040.000000    474926267817794414221154908113530759063972320777952135920871491896344576.000000    0.059424   0.016763     -624559462599353590929620728231660408837978004905554214562090693727092736.000000
0.073334   -10.696557   -25173562112184965530657645934927214126816973435507935169902280704.000000    285399397821676816478810246639515773612993314978736778610328207360.000000    0.075788   0.018677     -343272134909577648052667563108794846717143689712030131102785994752.000000
0.080183   -10.637866   -47027141027959179060643821552667791237193236863489711013888.000000    533127913213002496235143392091626045091744176883735642243072.000000    0.116189   0.023092     -586498552177890372097467358210612505031041853402522073432064.000000
0.087671   -10.565454   -246727670654722431077952118668171344843150838028304384.000000    2796772781513331713703779859183353690230334885050974208.000000    0.179538   0.036090     -2814237305525535039115037826909570601276197423321972736.000000
0.095859   -10.501934   -4305230722365606881400640439508481964667777843200.000000    48795748133321425135954288183032403763868970516480.000000    0.237353   0.049896     -44912142960629952180684525298572971677994081845248.000000
0.104811   -10.421627   -172654265834477035746733710851829896912568320.000000    1956495906846126196794199782636369052698673152.000000    0.314622   0.068902     -1647286540052023148178020872227314496847216640.000000
0.114600   -10.327133   -15504202631015656431070019240321817247744.000000    175615846861696290023179031683520937328640.000000    0.482804   0.117580     -135290020396117092003396600710243175890944.000000
0.125302   -10.233918   -3344861818841967672990412862228791296.000000    37870957494789999789976143396016750592.000000    0.583770   0.157296     -26694328307717361152595585492334936064.000000
0.137004   -10.130342   -1465841256509711071592908861734912.000000    16586275508838804647579639735123968.000000    0.702004   0.194966     -10699223185647694591532970968875008.000000
0.149799   -10.024360   -1304700376440560188630180560896.000000    14748107768844660052225855324160.000000    0.872678   0.261487     -8709647603655581444498761187328.000000
0.163789   -9.910572   -2143417572014754688434962432.000000    24209908796384406701372080128.000000    0.913165   0.323396     -13086426566720154396128182272.000000
0.179086   -9.778407   -5828192028023378526863360.000000    65753786460203780170317824.000000    0.988824   0.373501     -32544127149907964036382720.000000
0.195811   -9.648354   -28252364905482022813696.000000    318335916728103779434496.000000    1.042693   0.415086     -144283966257117502898176.000000
0.214098   -9.488261   -198309099728929193984.000000    2228785106715635351552.000000    1.202031   0.541271     -926254643202748317696.000000
0.234093   -9.329975   -2285742587350060800.000000    25649847199219150848.000000    1.221515   0.579651     -9764265165566906368.000000
0.255955   -9.162650   -39442457408834272.000000    441946299104231232.000000    1.244710   0.628208     -154099312066149728.000000
0.279859   -8.967090   -918418812203894.875000    10257040701692448.000000    1.408477   0.674616     -3281723563531933.500000
0.305995   -8.747882   -28945503553951.609375    322064030681368.437500    1.610307   0.810145     -94594704203653.843750
0.334572   -8.532263   -1315271780579.709961    14566876437635.906250    1.807908   0.890165     -3931205134997.774902
0.365818   -8.315884   -82191852024.940201    908031392070.786377    1.989027   0.841321     -224679506000.046875
0.399982   -8.067099   -6290131548.123438    69109549274.702972    2.328755   0.883164     -15726023171.327328
0.437337   -7.804506   -610322257.110852    6648959945.671073    2.618500   0.909127     -1395541885.766148
0.478180   -7.526740   -73603823.838905    795061828.392268    2.979489   1.011222     -153924763.889857
0.522838   -7.202437   -10134164.414473    107784058.249217    3.450935   1.123116     -19382968.515315
0.571667   -6.908070   -1836610.281087    19273970.003229    3.805850   1.167724     -3212717.363173
0.625055   -6.600098   -392349.334117    4057076.750201    4.113908   1.201314     -627692.944094
0.683430   -6.284602   -98182.220687    998331.567651    4.371703   1.191797     -143651.833442
0.747256   -5.942157   -27442.653248    272307.558188    4.563914   1.256379     -36716.617263
