Temperature,  F    <E>     <E^2>    Cv    Chi    entropy
============================================
0.079433   -20.338131   -33634853718178804831186100732283333882323027896721399754385038635882755014616143443935918742564043876743897939968.000000    717778904913118375450901995125205001621023219554325223709110415501890373457755727907239090876458615387942664798208.000000    0.225348   0.047452     -423437739188642458918459195369933345588709558060033247867867049443915597099686515865832397810618551195927517855744.000000
0.086444   -20.242632   -10666164841100723927952911623793633525330206612868797364627188856393339125375863682270687988518240649216.000000    227530006979922964818925198828418103126809161625600195990175562159978713961414107029496990883021712261120.000000    0.235631   0.044867     -123388188222968018628393217682646117611057301027489433003268866940758046786340675860776404918094543192064.000000
0.094074   -20.151246   -22788940699858539413679851805693375367975941172176118626440615337523476290979579987603744620544.000000    486156168456976731945086111467455373860952494537769264102034900562863345804146089755345168629760.000000    0.198015   0.037392     -242244964731025958658381955826867790782881518706339605819087578678630426824903294837537502134272.000000
0.102377   -20.039232   -217434853687138322784245968084773527621400777291255319909081693525913691220392848392192.000000    4638398798689645254639823110337340142719358157975328229855140194016818936485821479387136.000000    0.173747   0.036041     -2123855984691311075041989733808993202543368994422171379224078374386356190664815208824832.000000
0.111414   -19.938279   -11196651771753281681518643905929465790517613579274824139199732289112483592929280.000000    238841108669987570583903290243241507394449858084957352943165663216387207012024320.000000    0.155400   0.029237     -100496139585582387313795988475043295989092140722883049164585112573501325432586240.000000
0.121248   -19.805655   -1864086700189963551312380889809615839355547361040284379446428294468075520.000000    39763737560717287715174505666909127654406831893082341017489105978285621248.000000    0.148452   0.029824     -15374203831759168787203364349067052756967701810261456194150551678212898816.000000
0.131950   -19.679141   -1259571353475889954116529872961621148509308144361795536922611810304.000000    26865657242875305462822774159866623189129215761000337659620776476672.000000    0.149239   0.028165     -9545849832817872773657964156457305383204572582235203193944382898176.000000
0.143596   -19.524823   -2399181547641306325645762284295002037912466616847009952301056.000000    51162617927672964539796549724626577748005235824781288024309760.000000    0.177162   0.031668     -16707838012958767501483957142174486626682891554505488007692288.000000
0.156271   -19.378406   -15267133537593386824484875739206958894646578860712263680.000000    325590458979152341198097364397317144596790380634759495680.000000    0.196616   0.034437     -97696711780220396919391967846236108633943853115176386560.000000
0.170064   -19.214995   -250245335153717405501054474158210394085974066855936.000000    5335266388875502466678978981553337389761826654257152.000000    0.230058   0.039041     -1471477934438752371776073980461731136512153809321984.000000
0.185075   -19.026972   -9490088716473670804176409488759120915731578880.000000    202316476462526490994603836753681865864355250176.000000    0.319155   0.050889     -51277085848729794361301286951912265624343019520.000000
0.201410   -18.799779   -734501944848521630064383594986280029519872.000000    15654858080633598326196404210242171778891776.000000    0.478275   0.073427     -3646794715982312599810985927803441952849920.000000
0.219188   -18.585376   -142261387338899006207592089214798266368.000000    3030354982551383626922604969697369653248.000000    0.660490   0.094304     -649038891809056440096690434742369124352.000000
0.238534   -18.342147   -52866832604989623981631131667660800.000000    1125279511179323746848848101794381824.000000    0.905785   0.135127     -221631901331587416508156586315743232.000000
0.259589   -18.087719   -38780845842507280391616134643712.000000    824841772785258586862699113611264.000000    1.150865   0.168712     -149393451326059949200850074730496.000000
0.282501   -17.819675   -52675833427862851163435040768.000000    1118964640166659601446922616832.000000    1.475900   0.226016     -186462288923029139875239559168.000000
0.307436   -17.525587   -121235538970517618349309952.000000    2571660485321114028750143488.000000    1.839019   0.274331     -394343643872979640052088832.000000
0.334572   -17.187195   -431553356087964446228480.000000    9127147362120486826803200.000000    2.423336   0.372682     -1289866305935207311605760.000000
0.364103   -16.831044   -2506181980564514406400.000000    52810239863487408898048.000000    3.089795   0.496767     -6883164029857875099648.000000
0.396241   -16.461833   -23105556380383797248.000000    484455586133021229056.000000    3.830164   0.614824     -58311907717485969408.000000
0.431215   -16.095396   -337740822162690112.000000    7041121196864641024.000000    4.367481   0.698132     -783230654077609216.000000
0.469276   -15.645928   -6207415378733679.000000    128056173131457216.000000    5.297865   0.928206     -13227635915377456.000000
0.510697   -15.254018   -191360237062805.593750    3920082172915979.500000    5.684403   1.014366     -374704092246468.187500
0.555774   -14.797358   -7354047059931.960938    148640648623617.250000    6.303695   1.153650     -13232089948122.320312
0.604829   -14.356032   -403084352437.006409    8038897021835.744141    6.650943   1.294020     -666443417514.058594
0.658214   -13.886495   -28259501626.701698    553785783399.420410    6.899558   1.431738     -42933584800.779808
0.716312   -13.412596   -2579824442.584585    49606036219.666779    7.049261   1.579577     -3601538918.305221
0.779537   -12.940131   -301166864.037684    5672715705.730813    7.077548   1.687015     -386340675.423428
0.848343   -12.455533   -43097742.622411    792828264.925140    7.052005   1.798516     -50802252.446362
0.923222   -11.984670   -7648219.114299    137268839.602067    6.921153   1.863966     -8284256.163569
1.004710   -11.510325   -1610998.229826    28101220.214565    6.685769   1.952608     -1603434.207662
1.093391   -11.042213   -400313.265049    6775415.208683    6.402361   2.019219     -366110.758357
1.189899   -10.593316   -116656.180999    1914100.292824    6.055588   2.059316     -98029.798541
1.294926   -10.159001   -38954.736553    618454.429216    5.650241   2.082660     -30074.755132
1.409223   -9.736016   -14652.733599    224926.618894    5.254131   2.097467     -10390.833777
1.533608   -9.327287   -6131.011647    90790.427520    4.801514   2.101952     -3991.688540
1.668972   -8.941120   -2838.378275    40545.381642    4.347850   2.087375     -1695.317605
1.816284   -8.576788   -1436.123423    19796.444227    3.907617   2.060764     -785.971197
1.976598   -8.231449   -784.065055    10427.429706    3.480682   2.022224     -392.509544
2.151063   -7.907590   -458.566628    5885.844453    3.071699   1.975110     -209.505304
2.340926   -7.604843   -285.008342    3534.240483    2.694921   1.918162     -118.501590
2.547548   -7.323343   -186.915791    2241.964634    2.350104   1.854255     -70.496186
2.772408   -7.058287   -128.210977    1488.255899    2.034740   1.784696     -43.699445
3.017115   -6.815400   -91.815860    1033.692644    1.756320   1.710519     -28.172763
3.283421   -6.589249   -68.130765    745.007398    1.509622   1.633352     -18.743110
3.573232   -6.381257   -52.217072    555.613298    1.293162   1.554187     -12.827551
3.888624   -6.188141   -41.129919    426.430915    1.103275   1.474444     -8.985641
4.231853   -6.010221   -33.217652    336.344837    0.940487   1.394634     -6.429200
4.605378   -5.846067   -27.408703    271.377338    0.798631   1.316172     -4.682055
5.011872   -5.695437   -23.066671    223.869958    0.678372   1.238764     -3.466017
