Temperature,  F    <E>     <E^2>    Cv    Chi    entropy
============================================
0.079433   -15.837191   -6546753120178617512235941158372065445142764281158328171771963980906655178558055685029888.000000    110433473657057723920008139118366037411607916311957025472239488484713494714443592741421056.000000    0.207033   0.432818     -82418742280313549605486365743521057346679838365898142375774289536946517586842271430475776.000000
0.086444   -15.727210   -173973766710175232387898340045919521588050852416596319867872095396326440379088896.000000    2934073180455634448479728750118603016270934119746299746217701427478465055777882112.000000    0.387851   0.521523     -2012561046307489288288167723967534603444821360856949347957297093592321741520109568.000000
0.094074   -15.627172   -23446410842661795108276596368732701250305324064236217968405372516442308608.000000    395340605631948373242397199061052707190610306503922950214032564045737885696.000000    0.513484   0.492614     -249233829797319516821472712479763112719081872682127655137396205088950714368.000000
0.102377   -15.527552   -12478600507885367643620931378496079212632427036145408415379079823360.000000    210384832830353080499568870836752152113073982962601475629426227019776.000000    0.509889   0.477907     -121888234199005324150322857922222768764814409062313182181541252431872.000000
0.111414   -15.417148   -21051083144608457112528731354205787397006795002571323095384064.000000    354820989688854469069772301379294003429156114593452445128458240.000000    0.595883   0.468532     -188945109060670389138133248611846703354486874489269663408586752.000000
0.121248   -15.259573   -76603630888794530450185673112779626517022888988365553664.000000    1289985823886758827859240355371796300345305349183563104256.000000    0.980647   0.636604     -631794559457535984716095818750863283971282296720150495232.000000
0.131950   -15.161550   -1344392701747253702441354889000942119716187084423168.000000    22639646211640943221322945486218650028153196452511744.000000    0.827831   0.541503     -10188681103139457715140270807229606956213709249183744.000000
0.143596   -14.973943   -32589223333998757251111211583222602776686100480.000000    547977343829546763907013913681767081695288229888.000000    1.232430   0.716464     -226950505253716224021486003863901710235075608576.000000
0.156271   -14.858722   -3310165597593596132453218644394409470197760.000000    55669695858529835274425841212253913139380224.000000    1.024512   0.596909     -21182253599641996434091300455891124195688448.000000
0.170064   -14.662229   -465963435778137168834566245059213131776.000000    7827661713419586825310672122354226692096.000000    1.191577   0.726267     -2739930850585576118885409444475636285440.000000
0.185075   -14.472574   -153380263103505092566830390060253184.000000    2572773534939136278625736831449169920.000000    1.354611   0.710610     -828748092207680918165466994536611840.000000
0.201410   -14.256641   -92247590787482475485828673961984.000000    1544791539476727934895568097116160.000000    1.517331   1.057004     -458008353831204749032264216608768.000000
0.219188   -14.048752   -114630833055282375082081517568.000000    1917752078903948948785428692992.000000    1.600501   1.032237     -522980059769219101737103654912.000000
0.238534   -13.814559   -236849830999645011922911232.000000    3955781865607067449027461120.000000    1.782946   0.971023     -992937836218356848780115968.000000
0.259589   -13.547619   -769465313905960504262656.000000    12802488888421228306497536.000000    2.088993   1.144908     -2964171523925418788782080.000000
0.282501   -13.273213   -4212521319439551954944.000000    69860390884511521439744.000000    2.421870   1.182481     -14911512855993661784064.000000
0.307436   -12.996101   -37792199125421547520.000000    625869233641539764224.000000    2.632283   1.198518     -122926937428109639680.000000
0.334572   -12.687685   -485033703529292864.000000    7993113646402106368.000000    3.004303   1.337065     -1449713280176364288.000000
0.364103   -12.348167   -8758870372958149.000000    143554836530548352.000000    3.495366   1.385892     -24056011080150416.000000
0.396241   -12.027900   -248031815868781.187500    4045193730404809.000000    3.677111   1.443583     -625962349481406.250000
0.431215   -11.602431   -7786507986279.559570    125548929109066.343750    4.534887   1.577598     -18057135362000.933594
0.469276   -11.223593   -386654359961.130615    6159129008737.377930    4.781505   1.626274     -823937627250.273682
0.510697   -10.858083   -26964374767.719791    426845749253.282349    5.172518   1.598054     -52799169364.261238
0.555774   -10.450336   -2272987978.476965    35492133119.522049    5.527798   1.647023     -4089772746.744826
0.604829   -9.988723   -225768039.118198    3459936975.677063    5.969583   1.747629     -373275757.280441
0.658214   -9.538005   -29138546.086002    437481904.471583    6.197187   1.895336     -44269069.107954
0.716312   -9.086605   -4677502.814325    68822599.175703    6.493966   1.914378     -6529969.834389
