Temperature,  F    <E>     <E^2>    Cv    Chi    entropy
============================================
0.025119   -14.087074   -51887147154176811616639643244792399952781885896275795583717840789109706986086550027717504625306568707147276986548644574491785013319537035146273633052840911034768854072056792856369713984316601293851285140147838840262668346818363790017219923017728.000000    742348672124980382758810771974634834752537469245975636068236464356011640234712472535612525616193781951007942408585472517722671595092235567897996972933775779713132050928186511824794115035818202040687807799028967226457272928456517446985750631415808.000000    0.052440   0.003359     -2065664534164146070048223596499146041418607547692794561726631281492088779515927601939634166829262330868762772844351347524524954198375186620643956066382283356587085887683746629667299775850643621657671529800035176655214458576667108476685713638686720.000000
0.027465   -14.064431   -35775620765600217590299530174920426045693587880564234785136822514022234253829166910291712546084764649265921917659337683717445442303544387822095790306269591908852374754361026233777294784619769590913747479223652348013783810048.000000    511835366477487282199500561404412282175675138709385712536069361685940581274915056979871128981638209019758358422961820959847716616534739971301604428469589088570403830052918968480337540697690191934104323251392873265783784865792.000000    0.071991   0.002917     -1302601782139680897344653724738839093078757432701107630609271318898759261311567969916398916112344320913072041801504246614415633430451840188027828565616634235399129207628427155433291970347216484457343120696111170681667896475648.000000
0.030030   -14.040589   -1632437922189818682663756270134696813612870172173715258032678288873554896707869023619780001986797619061289599134739039292691028726896983024955252661665298097496121021381706940458968199595107724767900205056.000000    23354662821314449280780830781200253294563644765225581346455018454001161942044529581581501007980345426538412304205625570244854513586950748840998746527138961359612956651875270188766660278750765803421650911232.000000    0.092943   0.002479     -54360776874689773932949266594411633851486384858499199612970320103772785612572916967994638666820557816730417444152264885515891981897293053029461925661826610768984535477487846742787124066319181088286555766784.000000
0.032834   -14.016987   -3603259019909150516581966347956144248239023527474403971047466550744318032729020292516545702284944133774127380543084559626579480211816785935044119558358336599053016911333133689731288137728.000000    51549473201073033110329765668586192820704250268197747588998299241307829807194247044400614996714652872115179992154997539143598485783903532286005605194475250604746591685680398865576581136384.000000    0.117590   0.001973     -109741009733415003254071231696454068586726409295693054706455064920638046894616391922814779865650789046772219139848320704093313749432365127905425274619182505217900815536865065705577272836096.000000
0.035901   -13.990175   -249143307913855542209315670930714421254488484678254151130305605650767246545938599456536830143276101662368521368678061465374107272540040419474347608068934840422118568493056.000000    3564228320366490783167465548758550502741340803109992797765214217130860827725245538646571894818427468452159937464175702551062087388863858999513089200103916377176665485213696.000000    0.153209   0.001640     -6939803690387240650197769567500649273867320938947913652923557687229134372196607526956170869871745490846351284062672626126094160305671868081138651646159252393010034141822976.000000
0.039253   -13.961634   -421789475769468651302015787157844352965271942091074621165072393365474877260546591820600647320565606948249618865333101691847950323528949506278789284624334848.000000    6033845430770849440162880026597174231647863667155962181980580145653991875658108824793265800214147248818988583097440641960568250285089464177074535102987370496.000000    0.196306   0.001354     -10745291170252358189646367391768942694963437639989402482479025909517797515168341194941310595725910893632148775067734182625502358602531600938767865501188096000.000000
0.042919   -13.934303   -14277008848337763707576142469293119446549391840316290688872515287090009428336390143348575783596507072070382970436696689559647748006576901849088.000000    204229978473582161704434530858332693490344078570761051514062660558620113930976339566900509032978519772458086648724466513776739746564401012932608.000000    0.215626   0.001034     -332647426149277804061998559637580269668742324041588470776028732008795668978480785288681392480330717683686205530058335864393240283032464302014464.000000
0.046928   -13.896102   -5724736378831845805839551192313075053342388131850546139415503813427218515963541486965688610786514890917091830981628815982735654912.000000    81886535823323826065588140354818443579904517944361703780796890705668761087762048928511044700691833129239676510837524965461151711232.000000    0.248988   0.000962     -121990755518149198142591153719936409996326309432984104624167422508024263555394684818990206297889800844018946626009422365110220881920.000000
0.051310   -13.853473   -25848271153205984754314782939006319575703078320317224685970176143236242643301352724781501696951021068469557999192506368.000000    369685106245463798934525301856826965437712262748499196711505508188440856000360857373334458082989421947285477786891845632.000000    0.337888   0.000913     -503764336999960544842432253092416830255988526238400621090539573923481800967912818936341130841145972959815928070423969792.000000
