Temperature,  F    <E>     <E^2>    Cv    Chi    entropy
============================================
0.025119   -11.116167   -17714211452179615543261812890747410612191328265042355629855378919168376730097801818243257749598405279086621211557671449088303560888258316693505778508127841690514128003067575765667755375571501056.000000    200836624412160267448280696385831468135615414420002185473372989788068729038451642877853190914378145308337705636645325615027854139881993424266154475652639008350656528459386315272108471771977482240.000000    0.029565   0.004513     -705215459981330579256702210057556039727751770164024453099444176357193426529155191894905860124979284108221888631459635464770188303936463165366786659318201783564178623105453873739023001099509432320.000000
0.027465   -11.098867   -361985995859936549545331472165792147012576215168184937983259852133130901887682715749587946749026202294447234714549997395592060758057068347806205726262514811535328235070418845696.000000    4104029082939035549139672137132228620478089468294621244860841418777583357091049939566571460041568792901923878602784349693369644194221051446660476942972103202121869508398410629120.000000    0.024607   0.003254     -13180025761290227305726917420440836510100748995297078098239636038478559976715596904696036717270801814002585849852347856003340533690451052840687246425113326385200496810084463017984.000000
0.030030   -11.071266   -147564465366713168305532946642871879290942314955876963429967259588744239493982087193112593807212780525412142085691353642229097805057641966730609677837963284709376.000000    1673008883331881150958434360852522313823676808250265138554485825401235624536893238093766645338625382545793574661758565278180718033481982892325407168476251485634560.000000    0.020524   0.003195     -4913950397373837642657745289826529808512118418289120093040639130436682390756328851013029375666731666822143083639482521846925943761424244605020307388310476822675456.000000
0.032834   -11.049845   -1620382511014632996217606275073901544721293603377826458366888659449266002247052539269219151050662893150103865816297281159691192828719002606710554624.000000    18370965767020586798024693172407918592277763977991327221847137258296692125387754984990292896589638099451129440345584997267275379786355741499492139008.000000    0.017135   0.002407     -49350438569802217419730953144548474700665171704716153202110160624045797866538546219837769490978648709797487541003213320512826377318536994975320637440.000000
0.035901   -11.014994   -201510510421813734537448449938217598099732884144343461311524797109199834407765134229609307495183419913833931867173448868827522939224064.000000    2284600708232277381759082151339221697172613890162680610442063387283639537214927556893235194233532194977608205743563824573856552792883200.000000    0.014375   0.002549     -5613008013687644194286009446302816074003183254658248906812088623297325090726946245804615572688015825359372809408851902767423452520382464.000000
0.039253   -10.993993   -490386630218368307444969935662730327613706486896621201474077975431137816988615655164551538939984902727351279377883758329856.000000    5559676583219112661565097467329458621205954258871492942342870314901032804586219680390642309883377172163387818231155637878784.000000    0.012133   0.001729     -12492836901827374770526539731938436973758963349834148541736839072612070980034892394238508393422098216133517071589554840928256.000000
0.042919   -10.959099   -8871837089458339180162328169567301012665509659596772743986465515526938516608307018067552605601879829009227841536.000000    100582604669462977855991195831716405149815493795692985865988774141404424202090979990092420194240818027989609480192.000000    0.010629   0.001638     -206709528891804025352308565566101410654585306581221783395752786234557187483474119782336723777574923345926052380672.000000
0.046928   -10.926268   -1486971985465179095899144978326964299900620527745892388182575611249089343011814547253432507257872973824.000000    16858175367833820021162662723065088746308872090350218943792588236676643830979066545666029841120736837632.000000    0.009879   0.001440     -31686495925290847692636044103632421971269520667996558009245453752087166656290772685443547802945137410048.000000
0.051310   -10.889046   -1660979084937522673507906094722283172083722954432232585594529985942866082297737566276611473408.000000    18830865295252641578565045746827571254596988408107412148335132879400543598182566983461196791808.000000    0.010632   0.001489     -32371295648164475306403774076921559388042561018030958527458344101875944060634375207558557204480.000000
0.056102   -10.845677   -10288901291776514609830986972417619428160749098133413786926791567911606783329186086912.000000    116646803142100181016598541645073684556576457960773146792834437852885080729011705872384.000000    0.014551   0.001927     -183395809875991076483482147534381250947912762988519200121084905287625855982503356006400.000000
0.061342   -10.799035   -324308660567895405858724479632021777435295050560713066483544311948712851013632.000000    3676706364444842561593236298549141578687325968514049504825827341957487560491008.000000    0.022388   0.003048     -5286928590245898110503206368171725241804307165354736151748426251869601801437184.000000
0.067070   -10.744518   -42410831814378788623528229322515971433986279758525870747772753583013888.000000    480806691627931065826093322639879284756595099592268312120269641965633536.000000    0.039276   0.005631     -632333481928380435406645924478744336981004517426888920349222041773146112.000000
0.073334   -10.693597   -24176413816751311919373411432855743233374694373012432682492100608.000000    274077820037005228301184293367452642077565582083900277466496761856.000000    0.065531   0.008443     -329674805192410873802292231238633330037882530313308563776577994752.000000
0.080183   -10.637854   -47017985392216333287628284849019684536771825308267370774528.000000    532998734020156634817746223167877214605840642319241831251968.000000    0.102687   0.016322     -586384367751831933950786715777454307985288179184697016844288.000000
0.087671   -10.561195   -235020856550740916403565310286388008063403635649806336.000000    2663969034446264706724706699907567402685134281187000320.000000    0.167316   0.027245     -2680706466066581570913064996692777300139590969639043072.000000
0.095859   -10.497680   -4118224079462486661204159815054762412185254625280.000000    46675038133578259475840790055667114032400489775104.000000    0.223064   0.040162     -42961290701534888200899837348393200050459656585216.000000
0.104811   -10.424487   -177427127606205824331902092259654370756395008.000000    2010544445929927522703768967392366981707464704.000000    0.303856   0.065303     -1692824198308525465192334207009314975694979072.000000
0.114600   -10.330972   -16033596283359675175252703778282200367104.000000    181624517863833654730441677278992914186240.000000    0.435018   0.105619     -139909521297112822978841602286957107347456.000000
0.125302   -10.241382   -3550507753480157926401519114866655232.000000    40203112389667117503170481452623069184.000000    0.536916   0.132587     -28335526178270888540993653466021756928.000000
0.137004   -10.147189   -1657945878270021511039293478404096.000000    18763167159991673718765633369276416.000000    0.639989   0.177418     -12101401091393094545863005362454528.000000
0.149799   -10.023167   -1294489822569505049202481168384.000000    14634175365946880287605992194048.000000    0.845813   0.240927     -8641486110288308558058957570048.000000
0.163789   -9.914548   -2196127825616025815097540608.000000    24805756900057661830279987200.000000    0.910788   0.290315     -13408243870110948224139264000.000000
0.179086   -9.782148   -5950766021834803460964352.000000    67131798065848910235041792.000000    1.004639   0.396943     -33228569876003921640554496.000000
0.195811   -9.648079   -28209278047176265564160.000000    317813725796364063866880.000000    1.059702   0.428444     -144063922985316676272128.000000
0.214098   -9.499746   -209420868719137521664.000000    2355652370362915356672.000000    1.114456   0.488108     -978155073568502972416.000000
0.234093   -9.308733   -2085216582433304832.000000    23375421378884206592.000000    1.318827   0.588526     -8907655547565720576.000000
0.255955   -9.151155   -37689600474033424.000000    422086873691519232.000000    1.296491   0.681481     -147251005303633184.000000
0.279859   -8.947499   -855063064549581.375000    9535838678616462.000000    1.478447   0.738865     -3055338773499794.000000
0.305995   -8.782095   -32409035560971.011719    361010658858758.687500    1.507978   0.704386     -105913622359398.140625
0.334572   -8.564761   -1452706042231.411133    16123411480846.130859    1.691909   0.743046     -4341981282643.124512
0.365818   -8.300853   -78730424416.597763    868174320352.340210    2.050668   0.857259     -215217353414.208771
0.399982   -8.067727   -6290492123.804648    69004101277.157974    2.268654   0.839224     -15726924650.330070
0.437337   -7.800872   -604735134.004596    6582407582.074406    2.628161   0.932277     -1382766562.042488
0.478180   -7.516573   -71973765.843606    776648965.270416    3.022039   0.970427     -150515887.787237
0.522838   -7.230975   -10747875.426764    114769440.706395    3.391373   1.019756     -20556775.120710
0.571667   -6.908649   -1842008.248734    19367610.955168    3.817196   1.142371     -3222159.871437
0.625055   -6.631260   -415047.369945    4317055.935149    4.026222   1.103983     -664006.544777
0.683430   -6.273548   -96371.792479    977730.046515    4.392794   1.225061     -141002.816242
0.747256   -5.955172   -27989.896265    278352.220499    4.565004   1.215134     -37448.936616
0.817043   -5.624733   -9152.156427    88794.772811    4.663890   1.281772     -11194.676440
0.893347   -5.275146   -3294.197213    30944.403304    4.654316   1.344842     -3681.570950
0.976778   -4.963537   -1387.051833    12638.831780    4.495786   1.342478     -1414.946016
1.068000   -4.639440   -633.312564    5590.583666    4.358943   1.363647     -588.645008
1.167742   -4.332052   -319.250508    2723.974466    4.104831   1.363235     -269.681512
1.276799   -4.027431   -173.180514    1425.936061    3.828463   1.370522     -132.482181
1.396040   -3.734824   -100.771559    798.575362    3.500687   1.372413     -69.508548
1.526418   -3.449733   -62.277917    475.797153    3.183241   1.378220     -38.540024
1.668972   -3.180457   -40.673288    299.200943    2.838347   1.365173     -22.464629
1.824839   -2.932201   -28.127455    200.781335    2.537337   1.339449     -13.806839
1.995262   -2.695196   -20.187376    139.941469    2.236816   1.313637     -8.766857
