Temperature,  F    <E>     <E^2>    Cv    Chi    entropy
============================================
0.079433   -25.587212   -2095144865725113967641977960465133527565567946973893251491043342165014702314750088461125164202672933271374836226841941581262404998704186523648.000000    55691120377904314391474318987209654938315087005130545680438857682817258988959607482654427996932305914993528718037846795187085458873682629754880.000000    0.013188   0.039592     -26376312281561800531992466137116170787853935448884071651648595577028279470898173526942554237320620020665676534668129550552183890040195095986176.000000
0.086444   -25.500968   -3478624406105294286005656359985243899103985243410913176329881742330381069078909793056679630018276670427549748873708538516933181440.000000    92461086951958930854151846689604191966586659322719376867629893878118837634585133223899451922828354866240128094616793651832384651264.000000    0.011448   0.034104     -40241377230884400300618205980023982180615575319703694924941151654277920381864826338610376340705816045089765683525215517768429862912.000000
0.094074   -25.403563   -50196496178018362736300054079208248469367752720739880367127144112238593296356707420607481137362519435784765833618653184.000000    1334244557501275746181719163728555817429047569191394603155316922192568844440926038455735770907184463837445709509095849984.000000    0.009580   0.030783     -533585505636978491922595517002965324765452924669636195569030623980205516118726174226925885121102883754891502535009370112.000000
0.102377   -25.292748   -5232889553423582622810854006431346252498124451892421526475543976454719467737206443155432050013536921636044800.000000    139086590261509242057096765853281248002229054617812982506941640687013107209950600504740156574903589766254559232.000000    0.008255   0.029270     -51113718002445187399426033964178859908206986509912317403438953569223815980573027078070540989989418839578771456.000000
0.111414   -25.194662   -4307101927709973648331670105642292352242431199508115514967605334048195860449763996945276778267541504.000000    114484327739841626848879668109850637014876324853653391512901080707114496816470648234737146698972266496.000000    0.006930   0.022764     -38658620930629609216226987516668916182735955369171979097445277669583329701434113679063846867597000704.000000
0.121248   -25.066818   -16249833159454699653516035662342977796716082372765547778283210889917553600987743487287885824.000000    431921654902215814974503711470272617557588679775711903579048158759889472943047954634834444288.000000    0.006125   0.021443     -134021795874664191485898021931573422328468224200216571017725597817998888871363363827959726080.000000
0.131950   -24.931643   -304574928054661475447386777950015715379949485037679941293624551310569007437496451072.000000    8095359167486282794794372039677041291569470144327115470049014830589393991821386842112.000000    0.005723   0.019653     -2308266632158491852248029919720763124755189047321694978559611317464279027058282070016.000000
0.143596   -24.779597   -23353487059814495500481564417286410477832709058915551923437824184563225591808.000000    620735439329692898019026935822721796068984966255182088008670937407411214876672.000000    0.006298   0.018756     -162633077607949666923274237466840048851443274244991812637818566788272988618752.000000
0.156271   -24.625060   -7251878107886228053389337881754261883822301906508695325661113712902144.000000    192747809268562883285866177617275365408120959740273062072398848804782080.000000    0.008398   0.016792     -46405872040543624580596555777238128466628826242802973480902512777101312.000000
0.170064   -24.452656   -7406273297352716750778696380400289565729548722497192370295013376.000000    196850601825293543729692388245818299509168284954286786818514878464.000000    0.013577   0.015722     -43549933615278306046985313304753902773375180423358824241078206464.000000
0.185075   -24.250936   -21456970414077338983083530775109954340416817525652214251520.000000    570310849067356717298104421163273130507694114319936503414784.000000    0.027061   0.016257     -115936841777505587590284229832147550368531444569284481646592.000000
0.201410   -24.066910   -208561583411513815713816509002335865861491680778125312.000000    5543314616824054014249474666002319162478435014365151232.000000    0.043888   0.014798     -1035506148998515925877233822142528809424823815331905536.000000
0.219188   -23.857818   -4965207312736185621429240993744529123538368462848.000000    131962429473321120994813905685985812980017710235648.000000    0.076504   0.015126     -22652757098337023042285489936023814475653616500736.000000
0.238534   -23.599633   -246507827254229451325668421902583165804871680.000000    6551174576974672206851739657177608343198367744.000000    0.146845   0.019526     -1033426739515258226086101510666354676776042496.000000
0.259589   -23.344071   -30149216484895471544446102098201569918976.000000    801112419614699312210033444765551422341120.000000    0.248532   0.024693     -116142270948566669189568743038720554303488.000000
0.282501   -23.036988   -6909785958235061531710749564234366976.000000    183551739285712401530778949265737646080.000000    0.440469   0.038310     -24459309362520871736213523276752748544.000000
0.307436   -22.753170   -3680844531643807349792733694787584.000000    97738263868249343001477152858177536.000000    0.663899   0.052023     -11972707487128290799923786432905216.000000
0.334572   -22.391416   -3083623931785822954467262201856.000000    81811110119372150067711568773120.000000    1.068387   0.084441     -9216618417341759222793688317952.000000
0.364103   -22.061123   -5459920449041122349723680768.000000    144697551538505881254960824320.000000    1.496169   0.114337     -14995530385331442544231317504.000000
0.396241   -21.654058   -14313787818987721777479680.000000    378515095305889522011602944.000000    2.241443   0.181078     -36123963459157459004817408.000000
0.431215   -21.232123   -63708086647416355291136.000000    1678855914776048103849984.000000    3.210180   0.257347     -147740880286164925284352.000000
0.469276   -20.815258   -480932346322187255808.000000    12622056096699196112896.000000    4.066277   0.351267     -1024838453516849119232.000000
0.510697   -20.347015   -5227573922633995264.000000    136288062894710751232.000000    5.214371   0.484801     -10236156535953434624.000000
0.555774   -19.831749   -80774346145466032.000000    2083899318958039040.000000    6.521120   0.664763     -145336765591708480.000000
0.604829   -19.328288   -1918597926013064.750000    48890016357799304.000000    7.442148   0.872098     -3172132460519866.000000
0.658214   -18.808545   -64160246914893.460938    1610442879264948.250000    8.050777   1.062070     -97476220193124.875000
0.716312   -18.284470   -2981544680854.051758    73487635453584.390625    8.282372   1.249922     -4162356586468.333496
0.779537   -17.760636   -187992824039.961914    4542462514316.250977    8.270163   1.433782     -241159590913.838623
0.848343   -17.233477   -15529165552.100910    366850260764.581421    8.037087   1.613055     -18305293219.130398
0.923222   -16.727885   -1688144349.395094    39020960551.565720    7.751719   1.720247     -1828535741.234496
1.004710   -16.216446   -227119752.486414    5120723264.264135    7.389152   1.834713     -226054969.890241
1.093391   -15.708685   -37396616.490891    820037443.313753    6.902189   1.938252     -34202402.813001
1.189899   -15.224273   -7535897.734738    160974742.831366    6.549077   2.017301     -6333210.359732
1.294926   -14.753096   -1796932.506284    37309604.648967    6.091317   2.061276     -1387660.742941
1.409223   -14.296447   -498729.314687    10052841.910190    5.614502   2.090630     -353893.717939
1.533608   -13.858286   -158994.148557    3109969.733112    5.149503   2.106802     -103664.247512
1.668972   -13.441589   -57442.430317    1089834.101075    4.670362   2.105961     -34409.803171
1.816284   -13.043322   -23139.222386    425443.564706    4.189253   2.090967     -12732.691320
1.976598   -12.669484   -10313.679349    183918.116254    3.743472   2.059686     -5211.484328
2.151063   -12.314740   -5010.387049    86617.666697    3.308540   2.016192     -2323.536363
2.340926   -11.985418   -2637.763509    44247.889577    2.907195   1.961625     -1121.683327
2.547548   -11.675887   -1487.103438    24219.293438    2.540538   1.897911     -579.155840
2.772408   -11.387953   -891.868081    14113.781532    2.206686   1.828461     -317.586780
3.017115   -11.120645   -564.918902    8694.910032    1.907344   1.753545     -183.552265
3.283421   -10.873519   -375.686571    5631.396833    1.643286   1.674213     -111.107618
3.573232   -10.642368   -260.489128    3805.991186    1.409794   1.593482     -69.921784
3.888624   -10.430707   -187.754364    2678.001632    1.206603   1.510324     -45.600621
4.231853   -10.234705   -139.915695    1950.511182    1.029963   1.427990     -30.644018
4.605378   -10.053816   -107.414237    1465.320728    0.877004   1.346133     -21.140592
5.011872   -9.886881   -84.665844    1131.566909    0.745192   1.266220     -14.920365
