Temperature,  F    <E>     <E^2>    Cv    Chi    entropy
============================================
0.025119   -17.535754   -27228019086816862429204899541917178353851677206103667426678382255466909337833511352098251661324818031973590728935477083434038840545447030402502432975351115996502542317444257189118827441019067392627563309841593045137292316748083217369811470426934924855667173989890463321105980337606215675551866911193038848.000000    inf    inf   0.213017     -1083966963842884994740822327832805769979458272279047535924522249500353855980069553014423198741895193513299355961890307421029330766053396685829912287326714773381599143444164157594792927429350554538518636657680238527996349689873642110607989854621221077902145629532633492114483278463632696277889897956739383296.000000
0.027465   -17.515724   -166688131814609040025632523182880891927562118937140233536686088969260597930999446470258136034068969640977433894967650961835339006491154578515644022404842167770417995982189539964967865170172410264151329713561711175777800178890991653832814116252112416323714582783837834762971512832.000000    2959019108246943662910312054144849217123001448137746269833182195863503590290457742436907900746001730439390213240473711758680404463987241315413465586138378179361897438562866479238579428080429673491192573514495680263188635558339407029603339951723588327863200549349948148350594318336.000000    0.678985   0.168530     -6069168135078786721496797873973607741976839585533921903142048981356069908546876126843461519209634206209944222956753568950972364033477800459069533765619435687127699383896724254341296859493196098370661528261554276234426498265702578716868890940798846173368656553386073869573691539456.000000
0.030030   -17.494841   -183002520195151217360479552017084433942716183747613968634140773493500484202475301518503217248638246623406077427475266446596805578761843847320215003056865411007338957967774554570737774452451692108672114027762524461751047551874863625557494185349764393992192.000000    3248307046717447103895105825924910066573154920213449967970800174431231874804475095190401557153152915166030376302462086220165133065404557804424517732609927355326703888146975343551118828773893939261102937242030373566392550108640524506699977308809403559837696.000000    0.621870   0.131013     -6094050519538077937143118479045154530881958051594321491052233546149056813206292456789414094684042370704889413274854815774063291267227150725575616046933254478480812305531010522039720358066342743451278551294828039422383209622019589317673551047225688983601152.000000
0.032834   -17.470968   -21664812652027478334150087818079011679322865385863952471156581898489043163153545670143542949692720952313538940631201783885409599506472430488663733864341772244489709653145039650377626297657283386540749236587529033940643711474798166016.000000    384516503341355674573379654903767075983057965851123012389192257021832789044927159911175712548662580555528521186457850581481537051524873369712781949390216629236694855800062920795123442101411688185008700986187142363085548370323891552256.000000    0.561674   0.107159     -659824454190557900398210463050598863629827390557222483712101805098773341999502961385370625032923700557856171609108171517809615795572957311818793282656599372166152920041988737228667355646753674610978270994098924570024528248662919217152.000000
0.035901   -17.444857   -191330111605117414044890539234801114498652095352888123739383409915875888641942455107802816503570952996058921849175574553448839457346791372593828480825574528094967613222443337934536011864957067879010128256028377088.000000    3395455634546343490956795474737972091889779393047122221761095973325428326696273303531275715454944921909822600889685498460986967225949156729092824008451284995526095474729095281971337647388501549937631227823513403392.000000    0.511609   0.088659     -5329436402355619022469803324342420652234728299395261110335436607135452792050725956583126331095328046923406911153361339145637261138469002710215298358175181805367450653428285994359563378497315307092641781852728721408.000000
0.039253   -17.415622   -85726143699433896591688946565104804860939969771790530061437735238726904618158399988601029086046868748394289362942129630151134882668651038793315230051523367043216126651667165628785726200215502848.000000    1521198462666690823041102337788500064793518029611661500225053538891457796103544500583190002878401487387899849365102749646727458303818739546351512114752943743259028422374043245045475080536223383552.000000    0.459707   0.075721     -2183915028398605259881719942878713493357461504390435808121100129627478337422302750415296413190225598877592856440010483450789364569286390220937267750971030928735661719972754587804103344472268472320.000000
0.042919   -17.388835   -1599914634080917719774031465961183623399064944382554025922955451991572509937406852391031634493756064687541309083442287752723471388670505263798591204506604280751015487038000463872.000000    28388893853369625770342720507937783754389439500875673124380055018618915964006498286453134908370759729590763996457433659367028070494012835482624412493340532719460103309592870518784.000000    0.394591   0.057783     -37277239983467864077735461291900136288241160515714545633782294047012008611088346124980487015012289266945692196182873312574648665824750229351765313339371846342600499220392202731520.000000
0.046928   -17.349793   -651100958907714573418846077100914104090928440526301034841061525282288252591610747569550266677934085686835028381406107445380546378827558031517546243533104429924352.000000    11550856217414599741494827837339877208439898614662502377480572670458817647446354319372991267321342350921890622986269788754380593084509906561213552529663994261143552.000000    0.378069   0.055507     -13874577384810714689527579905201449538437105821573517967923291782416361073001053607786950235166607321088708406158105903842562093850613746688823044546223033743835136.000000
0.051310   -17.313948   -6247875990025296533023747619039648156218727781403348579662044715034747165675624138623163554707418886434784882895859202905992524720407068071065288704.000000    110832044413544686773838650491596587053781718289139023725749186770609246896172686753311940367836495204351449317759133265988168514009184569273916325888.000000    0.329130   0.046520     -121766639134884013667694702950482199580321701087413948163862822892696595081075654747158253552235007972770278253009104815796180582248635791247514009600.000000
