Temperature,  F    <E>     <E^2>    Cv    Chi    entropy
============================================
0.025119   -11.115644   -17349250368551290301225728978920778391514646707804219977606444991673050515626103325292296553014161304072613982914467168748580805317962148875178209549169108046850271653701548795358468738962685952.000000    196696275807165765064013244629933069023370713382802601666402622941343372695868370608296541663461957663521034991942974903745371363713318812561695712258493139757560950127638225402154909723548188672.000000    0.022778   0.003089     -690686097544790014301285765241179214767223968303052351723733956508823854715082295655360851267082740946437770191359197358715188437525249843492328984550511144998833262683726811976617361676469010432.000000
0.027855   -11.092061   -990298315972047548557179080607092993547843927169221044383022210483985033813972991847709656984122239560973519833316436473519886936754500359923684067323715398246863351909974016.000000    11227403109521497851963428048831181642644771526858937490101465926399996560607429706145975916970686089531023000095670866994589754072943204681779121977748102442003302384073179136.000000    0.018426   0.002383     -35552331055781403189491767230763427274144826333595022090626710679516825964657686919485476904449139436526609834810861628124279482357602731870561747745218704242425910236645687296.000000
0.030888   -11.066620   -4490438230736034588906042505327455035989836710859035172450449634780190498828438307073510209898312598522770381820401660596661804907347883372629879200510115840.000000    50909645564051538315004168749922184051139323115977109358925526593800789263599057463844618809666724279615866737827302386708193858760927998121254237345295630336.000000    0.014933   0.001836     -145376031206526261720885672333743619392598940770040319458021139042596483555815011476186892997009934230970038507350923644490125223396368555464585640613100126208.000000
0.034253   -11.035175   -935927933851758839090236286173274636703756935450373229743262534089219143620116397800042691997728943769226952468649990647768353673902680965120.000000    10610895138506781296902274784521813320286233155678379315035474007687107910500778136031021396408369175692836111232513795758849959084686168817664.000000    0.012141   0.001590     -27324267725619546419116793279091052438964451058503234707840861317438763199635803186966653001431609998797734187603572495251755030478619594981376.000000
0.037983   -11.001813   -7040110941586613392666339233225483363367721532199968430061883361647718926597671411358198820762800806120954738107617474739437568.000000    79815556536967459306568312134722671729366466342705663266145393433832932155388991004159838202399165157297814846168401096250228736.000000    0.009978   0.001340     -185347898494867468565286249505255995234721151186356867649502166323720040235720219486239470027339458486629297658880575957429649408.000000
0.042120   -10.966954   -1358754066194569601887501734874067324251162580603577953744543164755631203089800506018805900473418261750168898502656.000000    15404494647166749932613974738901224190409542938470797043163181833301006295431876484512920348968543148789407592480768.000000    0.008463   0.001111     -32259011908455469555780937419728384235563510359254788467345761370276214379548696828064192309865305758515100234285056.000000
0.046708   -10.927821   -4602828216597766846160544151021858611850510136220053330817273703794075390597773373410093053304866078720.000000    52183108582688791965046375862857490100563846621182913930123742764050761596689717377973657279360659357696.000000    0.008013   0.001022     -98545548628423193834816869763340294933819548028633901945062822307684940603872538032341787898345217327104.000000
0.051795   -10.877897   -183962354353460884293485871066480884432827430814485988553688509828961683174243560252105555968.000000    2085606801586628787946453340875769337981445226491522847339807242581217684703753715950983053312.000000    0.009928   0.001297     -3551756997502358224978800903988009447616956117014968210678508885126264235242818272465952702464.000000
0.057436   -10.833635   -93681067360750771659872468824217472345073975118129274409833270747711283880530018304.000000    1062069466918296880130984091477891541601020126198927621628801844722016382958662844416.000000    0.014729   0.001831     -1631053313213653080788818538854222766493529744907997692518972377618849376672333955072.000000
0.063692   -10.776207   -342300118669037652187934554132499939118439790926559494268535151000593367040.000000    3880637719381343728223713032806291646379762783448555168186979298647769874432.000000    0.028458   0.003603     -5374343453280546832227142778829499622299803659142162008144858353034760028160.000000
0.070628   -10.716575   -8927674378973529357957671787294508022013300404719049972526820098048.000000    101210346561936633285843791516595871401426754494527565698682266320896.000000    0.051325   0.006890     -126403398302168087597644172325974133996895661393056623799666311430144.000000
0.078321   -10.641254   -1150598278058298997401324749154421749847817438262745528008704.000000    13043349016294454153837797821902460623661795189015618711977984.000000    0.095802   0.015017     -14690824436904526170200613881761866064992626232969397163524096.000000
0.086851   -10.571485   -825224873195680349723592798185417541352351356327821312.000000    9354111073238981128512914266864212833084615593199403008.000000    0.151975   0.026929     -9501601224072464157522115519049219218326113332446101504.000000
0.096310   -10.495629   -2412602625966630507432787157829161881282547810304.000000    27343408139796985275767612982803230261414010552320.000000    0.232619   0.042838     -25050265132062066953515068017973920733129894526976.000000
0.106800   -10.401888   -22529230028437095966086681067104844166201344.000000    255269141639778814860004029327217338391461888.000000    0.349736   0.069388     -210947761279388931920868766792249877811167232.000000
0.118432   -10.280254   -564961119876232804501587826991115010048.000000    6397720854202877897631212553585993711616.000000    0.559042   0.126493     -4770338235880156167225326225638085885952.000000
0.131331   -10.193027   -57652772063410848369332568836800512.000000    652636908590840313389660284819341312.000000    0.593446   0.162837     -438988200400686821561278222420672512.000000
0.145635   -10.070052   -12110989904454607536787696910336.000000    137002532772724402248145409409024.000000    0.699995   0.216757     -83159972297524393095953846894592.000000
0.161497   -9.918782   -5324308561840708915994558464.000000    60137972383359008678761988096.000000    0.940440   0.329587     -32968557921446258782739890176.000000
0.179086   -9.783356   -5991103397100788597653504.000000    67587350067946642626052096.000000    1.003932   0.367105     -33453810338781693130833920.000000
0.198591   -9.613879   -11907271504238827536384.000000    134080469314398071029760.000000    1.111395   0.489243     -59958819362695272202240.000000
0.220220   -9.442590   -46987805640724086784.000000    527856772259277373440.000000    1.208995   0.557508     -213367378232469782528.000000
0.244205   -9.265670   -337025140135012992.000000    3780195439686372352.000000    1.204283   0.570142     -1380089322739732736.000000
0.270803   -9.031357   -3403137723305179.000000    38041162734391560.000000    1.380270   0.724763     -12566850943593256.000000
0.300297   -8.794346   -58209527330576.890625    648554795138688.750000    1.537267   0.757417     -193839844332550.281250
0.333004   -8.553881   -1583492520629.007080    17546309019530.617188    1.775069   0.767248     -4755180828492.214844
0.369272   -8.316653   -66565616631.377487    735175802591.149902    1.953806   0.796084     -180261516605.713806
0.409492   -8.002264   -3351115046.727271    36716871348.250580    2.377741   0.891388     -8183600850.506906
0.454091   -7.703554   -252301300.393469    2742882216.488422    2.724418   0.937347     -555618398.746065
0.503548   -7.361828   -23812699.898263    255469972.974409    3.175727   1.014786     -47289822.963844
0.558391   -6.998355   -2902448.455355    30693489.554497    3.704697   1.068068     -5197861.378667
0.619208   -6.645551   -469198.737633    4877046.121583    4.085186   1.138772     -757729.069913
0.686649   -6.258895   -90300.834405    915697.061291    4.390865   1.184766     -131500.367570
0.761435   -5.860996   -21041.971004    206861.653385    4.561761   1.262853     -27626.939729
0.844366   -5.512016   -6324.095328    60717.094309    4.610174   1.275036     -7483.230177
0.936329   -5.101060   -2037.222018    18797.425286    4.565440   1.347653     -2170.306063
1.038309   -4.748987   -811.554498    7260.180272    4.440186   1.342517     -777.038120
1.151395   -4.369727   -349.173092    2982.656030    4.102268   1.381295     -299.465645
1.276799   -4.008769   -169.556694    1387.715205    3.797514   1.405966     -129.658589
1.415860   -3.674413   -91.818914    722.085485    3.457916   1.392612     -62.255083
1.570068   -3.358198   -53.900148    406.574719    3.076160   1.379158     -32.190938
1.741070   -3.063105   -34.073043    247.580814    2.709431   1.350380     -17.810847
1.930698   -2.784639   -22.777011    159.572708    2.342437   1.322887     -10.354998
2.140978   -2.527092   -16.053225    109.211111    2.013791   1.280570     -6.317735
2.374161   -2.279862   -11.708437    77.598605    1.706143   1.236270     -3.971329
2.632741   -2.066732   -8.963415    58.527128    1.439915   1.184811     -2.619582
2.919484   -1.861002   -6.992244    45.161771    1.198007   1.128148     -1.757585
3.237458   -1.690381   -5.679135    36.867328    1.003745   1.065704     -1.232064
3.590063   -1.518475   -4.635411    30.327490    0.826024   1.005635     -0.868212
3.981072   -1.370233   -3.873375    25.857895    0.680839   0.942388     -0.628761
