Temperature,  F    <E>     <E^2>    Cv    Chi    entropy
0.365818   -8.300528   -78691146741.207336    868084452266.429199    2.058790   0.930822     -215109984027.986755
0.399982   -8.067468   -6291931773.238264    69087442439.727798    2.349298   0.899550     -15730523932.827028
0.437337   -7.776305   -570593574.159576    6199853117.442426    2.726650   1.013980     -1304699644.395321
0.478180   -7.529883   -74090546.489546    800414995.671742    3.030571   1.014013     -154942627.804389
0.522838   -7.236446   -10856909.906924    115879966.267545    3.350779   1.047924     -20765318.539344
0.571667   -6.922621   -1890672.303062    19910192.121014    3.802254   1.094364     -3307286.475096
0.625055   -6.607805   -397604.842634    4114360.634115    4.051034   1.127371     -636101.002892
0.683430   -6.296169   -99865.590826    1015279.850511    4.320056   1.162023     -146114.937487
0.747256   -5.944192   -27499.386497    272694.946360    4.560481   1.259351     -36792.536649
0.817043   -5.616097   -9028.678515    87330.013800    4.631043   1.297011     -11043.559203
0.893347   -5.280768   -3312.875340    31085.544887    4.599402   1.350310     -3702.472677
0.976778   -4.958870   -1378.858911    12552.906135    4.505842   1.360489     -1406.563095
1.068000   -4.636592   -630.752411    5557.799514    4.318559   1.368385     -586.250529
1.167742   -4.332309   -319.453394    2727.154080    4.113950   1.384585     -269.855034
1.276799   -4.023033   -172.372497    1418.209323    3.836743   1.390745     -131.852779
1.396040   -3.721754   -99.587758    788.269738    3.519601   1.400294     -68.669940
1.526418   -3.447088   -62.112117    474.064500    3.176264   1.387512     -38.433136
1.668972   -3.182131   -40.792884    300.610413    2.846622   1.366022     -22.535285
1.824839   -2.939507   -28.306236    202.453476    2.544651   1.340670     -13.900806
1.995262   -2.706932   -20.358493    141.120250    2.224423   1.310571     -8.846737
