# time     return_probability   rate_function_ED
0.00  1.00000000  0.00000000 
0.02  0.99818183  0.00030330 
0.04  0.99274807  0.00121306 
0.06  0.98376055  0.00272879 
0.08  0.97132100  0.00484971 
0.10  0.95556910  0.00757470 
0.12  0.93667987  0.01090228 
0.14  0.91486033  0.01483065 
0.16  0.89034570  0.01935758 
0.18  0.86339511  0.02448048 
0.20  0.83428697  0.03019631 
0.22  0.80331413  0.03650157 
0.24  0.77077887  0.04339229 
0.26  0.73698796  0.05086395 
0.28  0.70224783  0.05891148 
0.30  0.66685990  0.06752922 
0.32  0.63111629  0.07671086 
0.34  0.59529594  0.08644944 
0.36  0.55966110  0.09673731 
0.38  0.52445444  0.10756612 
0.40  0.48989663  0.11892681 
0.42  0.45618458  0.13080963 
0.44  0.42349008  0.14320420 
0.46  0.39195918  0.15609960 
0.48  0.36171192  0.16948453 
0.50  0.33284265  0.18334757 
0.52  0.30542066  0.19767754 
0.54  0.27949128  0.21246403 
0.56  0.25507712  0.22769822 
0.58  0.23217969  0.24337395 
0.60  0.21078104  0.25948923 
0.62  0.19084568  0.27604836 
0.64  0.17232240  0.29306469 
0.66  0.15514643  0.31056432 
0.68  0.13924162  0.32859077 
0.70  0.12452307  0.34721072 
0.72  0.11090039  0.36652047 
0.74  0.09828219  0.38665208 
0.76  0.08658266  0.40777596 
0.78  0.07573225  0.43009186 
0.80  0.06569577  0.45378680 
0.82  0.05650453  0.47890574 
0.84  0.04831437  0.50500439 
0.86  0.04150236  0.53033418 
0.88  0.03677833  0.55047440 
0.90  0.03512513  0.55813974 
0.92  0.03726337  0.54829076 
0.94  0.04305868  0.52419859 
0.96  0.05179052  0.49342468 
0.98  0.06277614  0.46136336 
1.00  0.07558952  0.43040628 
1.02  0.09001021  0.40130536 
1.04  0.10593804  0.37415015 
1.06  0.12333508  0.34880841 
1.08  0.14219205  0.32509611 
1.10  0.16250904  0.30283694 
1.12  0.18428401  0.28187953 
1.14  0.20750555  0.26209953 
1.16  0.23214799  0.24339670 
1.18  0.25816803  0.22569077 
1.20  0.28550235  0.20891751 
1.22  0.31406596  0.19302538 
1.24  0.34375128  0.17797282 
1.26  0.37442778  0.16372606 
1.28  0.40594222  0.15025741 
1.30  0.43811955  0.13754391 
1.32  0.47076429  0.12556629 
1.34  0.50366256  0.11430813 
1.36  0.53658457  0.10375518 
1.38  0.56928765  0.09389490 
1.40  0.60151961  0.08471602 
1.42  0.63302252  0.07620821 
1.44  0.66353669  0.06836185 
1.46  0.69280485  0.06116782 
1.48  0.72057636  0.05461732 
1.50  0.74661134  0.04870175 
1.52  0.77068474  0.04341265 
1.54  0.79259006  0.03874152 
1.56  0.81214280  0.03467985 
1.58  0.82918342  0.03121898 
