# time     return_probability   rate_function_ED
3.26  0.61591193  0.09693026 
3.28  0.62782733  0.09309802 
3.30  0.63871729  0.08965867 
3.32  0.64853133  0.08660899 
3.34  0.65722841  0.08394473 
3.36  0.66477722  0.08166066 
3.38  0.67115631  0.07975064 
3.40  0.67635409  0.07820771 
3.42  0.68036873  0.07702407 
3.44  0.68320801  0.07619118 
3.46  0.68488899  0.07569970 
3.48  0.68543774  0.07553952 
3.50  0.68488894  0.07569972 
3.52  0.68328544  0.07616852 
3.54  0.68067766  0.07693328 
3.56  0.67712302  0.07798046 
3.58  0.67268508  0.07929560 
3.60  0.66743260  0.08086337 
3.62  0.66143840  0.08266769 
3.64  0.65477791  0.08469183 
3.66  0.64752763  0.08691876 
3.68  0.63976322  0.08933143 
3.70  0.63155751  0.09191325 
3.72  0.62297831  0.09464872 
3.74  0.61408616  0.09752401 
3.76  0.60493218  0.10052778 
3.78  0.59555608  0.10365195 
3.80  0.58598445  0.10689241 
3.82  0.57622962  0.11024981 
3.84  0.56628902  0.11373014 
3.86  0.55614533  0.11734513 
3.88  0.54576734  0.12111250 
3.90  0.53511160  0.12505599 
3.92  0.52412485  0.12920507 
3.94  0.51274706  0.13359452 
3.96  0.50091505  0.13826375 
3.98  0.48856643  0.14325596 
4.00  0.47564383  0.14861719 
4.02  0.46209914  0.15439517 
4.04  0.44789769  0.16063809 
4.06  0.43302233  0.16739320 
4.08  0.41747717  0.17470508 
4.10  0.40129121  0.18261358 
4.12  0.38452165  0.19115104 
4.14  0.36725714  0.20033860 
4.16  0.34962095  0.21018114 
4.18  0.33177417  0.22066015 
4.20  0.31391899  0.23172406 
4.22  0.29630183  0.24327533 
4.24  0.27921578  0.25515408 
4.26  0.26300118  0.26711935 
4.28  0.24804191  0.27883151 
4.30  0.23475401  0.28984341 
4.32  0.22356208  0.29961322 
4.34  0.21486033  0.30755342 
4.36  0.20896007  0.31312242 
4.38  0.20603454  0.31594229 
4.40  0.20607991  0.31589826 
4.42  0.20891039  0.31316997 
4.44  0.21419138  0.30817708 
4.46  0.22149727  0.30146900 
4.48  0.23037283  0.29361125 
4.50  0.24038166  0.28510547 
4.52  0.25113608  0.27635207 
4.54  0.26231064  0.26764516 
4.56  0.27364447  0.25918511 
4.58  0.28493734  0.25109720 
4.60  0.29604296  0.24345014 
4.62  0.30686151  0.23627175 
4.64  0.31733223  0.22956120 
4.66  0.32742662  0.22329826 
4.68  0.33714221  0.21745009 
4.70  0.34649694  0.21197626 
4.72  0.35552410  0.20683245 
4.74  0.36426762  0.20197329 
4.76  0.37277792  0.19735449 
4.78  0.38110801  0.19293449 
4.80  0.38931018  0.18867578 
4.82  0.39743303  0.18454577 
4.84  0.40551903  0.18051750 
4.86  0.41360262  0.17656993 
4.88  0.42170885  0.17268803 
4.90  0.42985263  0.16886257 
4.92  0.43803848  0.16508970 
4.94  0.44626087  0.16137032 
4.96  0.45450501  0.15770927 
4.98  0.46274811  0.15411448 
5.00  0.47096093  0.15059603 
