Temperature,  F    <E>     <E^2>    Cv    entropy
============================================
0.020092   -inf   -inf    inf    nan   nan
0.021544   -inf   -inf    inf    nan   nan
0.023101   -inf   -inf    inf    nan   nan
0.024771   -inf   -inf    inf    nan   nan
0.026561   -inf   -inf    inf    nan   nan
0.028480   -inf   -inf    inf    nan   nan
0.030539   -inf   -inf    inf    nan   nan
0.032745   -22.093064   -2327900068581667528493661712437689726093460932997836569850702772809711615177454061619300911846349589527775002359271075489558481139916869822922041598227174747584796002931169214430442730284378325313949888546882021425775260759094305110396601571004230526813781707539461620635748639239592273332142080.000000    52440244997879510967075565547030026675225708263833389633345010362078811256284688872574404321190913482162821686773926934435739024164784730404011582114933418838594188683809091985499959364329181271494720257322544283553025056836113785903451695809970100308999725437830147210224661566697594232437211136.000000    0.512993   -71090708020603641617306536846718608861454163099909406099634248783353102734786318215060154254080661934531412226466969733220250819604159004073272805325289695533810569893999117685210537223780943916842193614612104245606197485372520202750111778193133256208680905915394167885044077464261147837912317952.000000
0.035112   -22.061727   -17026340277458281462275463966115700770094180166185054488283352187068803709905032065939210497977774765033372000923207315619243873767667588794544942324059512620598154113296356047147911012287686193198689000055915084623362611287115847604995843083265819256197464962600125574676480.000000    383529178897191271066563437893985658265181343663071189909266842832453766346199206396283517201106153055844194972958706722054459743896610539830943876892629716667112635193614561088634173068897556491974558197671711744341810140513378800327238034319600234320145848840529914957398016.000000    0.513846   -484916241477475430987203481121098046115342100490683679444616477754396348012687337736147870314777343161746141238877509292907499262565970000300765223066629928261050470354944988744768434275696631480432561157349470797814418136081738923672696473451089932802998651523978821124489216.000000
0.037649   -22.028286   -2846168672917829447906239208631248811646018780651457362370499194345828493593195142405982205220594471149845888430903327559438616377000726849282371251000179073111025915907516922586700694480995812432014112223333384481763867773100109140527467964778205287546880.000000    64108051842699624591803333581563279890189723775703347848790616966983594157665602325553967332316680854487526876033194403024256581616064315814441143933701789524078330474276485133002886521880553256574414210520973620098908164667679657108766402825807612405088256.000000    0.514911   -75596734523980057612612767242749910305126090326407454915673104714139306131458695464135547317220898398854934421431296064600432679605164181951146954530392751344487531150887768090184159524363769854233539307585369608705588047666982965931625908754865761942503424.000000
