#T	β	c	e	chiz	chic	s
0.172414	5.8	0.0673992	-1.71594	0.00544038	0.00449384	0.055719
0.169492	5.9	0.0645523	-1.71614	0.00501299	0.00412352	0.0545913
0.166667	6	0.0618581	-1.71631	0.00461849	0.00378301	0.0535292
0.163934	6.1	0.059308	-1.71648	0.00425444	0.00347	0.0525279
0.16129	6.2	0.0568939	-1.71663	0.00391854	0.00318232	0.0515833
0.15873	6.3	0.0546084	-1.71678	0.0036087	0.00291799	0.0506914
0.15625	6.4	0.052444	-1.71691	0.00332294	0.00267518	0.0498486
0.153846	6.5	0.050394	-1.71703	0.00305945	0.00245218	0.0490515
0.151515	6.6	0.0484517	-1.71715	0.00281653	0.00224742	0.048297
0.149254	6.7	0.046611	-1.71726	0.00259261	0.00205944	0.0475824
0.147059	6.8	0.0448661	-1.71736	0.00238625	0.00188691	0.0469049
0.144928	6.9	0.0432114	-1.71745	0.00219609	0.00172859	0.046262
0.142857	7	0.0416416	-1.71754	0.00202089	0.00158334	0.0456517
0.140845	7.1	0.0401519	-1.71762	0.00185949	0.00145009	0.0450716
0.138889	7.2	0.0387376	-1.7177	0.00171084	0.00132789	0.04452
0.136986	7.3	0.0373942	-1.71777	0.00157393	0.00121583	0.0439951
0.135135	7.4	0.0361176	-1.71784	0.00144786	0.00111309	0.0434951
0.133333	7.5	0.0349038	-1.7179	0.00133179	0.00101891	0.0430185
0.131579	7.6	0.0337493	-1.71796	0.00122492	0.000932594	0.0425639
0.12987	7.7	0.0326505	-1.71802	0.00112655	0.000853492	0.04213
0.128205	7.8	0.0316041	-1.71807	0.00103601	0.000781015	0.0417155
0.126582	7.9	0.0306071	-1.71812	0.000952681	0.000714617	0.0413193
0.125	8	0.0296565	-1.71817	0.000875997	0.000653796	0.0409403
0.123457	8.1	0.0287496	-1.71821	0.000805436	0.000598092	0.0405776
0.121951	8.2	0.027884	-1.71826	0.000740514	0.000547081	0.0402302
0.120482	8.3	0.0270571	-1.7183	0.000680785	0.000500373	0.0398973
0.119048	8.4	0.0262668	-1.71834	0.000625839	0.000457609	0.0395781
0.117647	8.5	0.0255108	-1.71837	0.000575298	0.000418464	0.0392718
0.116279	8.6	0.0247873	-1.71841	0.00052881	0.000382636	0.0389777
0.114943	8.7	0.0240943	-1.71844	0.000486055	0.000349845	0.0386952
0.113636	8.8	0.0234301	-1.71847	0.000446736	0.000319838	0.0384237
0.11236	8.9	0.0227931	-1.7185	0.000410578	0.000292382	0.0381626
0.111111	9	0.0221817	-1.71853	0.00037733	0.000267263	0.0379114
0.10989	9.1	0.0215944	-1.71855	0.000346759	0.000244284	0.0376696
0.108696	9.2	0.02103	-1.71858	0.000318651	0.000223264	0.0374368
0.107527	9.3	0.0204872	-1.7186	0.000292811	0.000204039	0.0372124
0.106383	9.4	0.0199647	-1.71863	0.000269055	0.000186456	0.0369962
0.105263	9.5	0.0194616	-1.71865	0.000247217	0.000170378	0.0367877
0.104167	9.6	0.0189766	-1.71867	0.000227144	0.000155676	0.0365865
0.103093	9.7	0.0185089	-1.71869	0.000208693	0.000142235	0.0363924
0.102041	9.8	0.0180575	-1.71871	0.000191734	0.000129946	0.0362049
0.10101	9.9	0.0176216	-1.71873	0.000176148	0.000118712	0.0360239
0.1	10	0.0172004	-1.71875	0.000161823	0.000108443	0.035849
0.0990099	10.1	0.0167931	-1.71876	0.000148659	9.90577e-05	0.0356799
0.0980392	10.2	0.016399	-1.71878	0.000136562	9.04796e-05	0.0355165
0.0970874	10.3	0.0160175	-1.71879	0.000125446	8.26403e-05	0.0353585
0.0961538	10.4	0.0156479	-1.71881	0.000115231	7.54765e-05	0.0352056
0.0952381	10.5	0.0152897	-1.71882	0.000105846	6.89305e-05	0.0350577
0.0943396	10.6	0.0149423	-1.71884	9.72219e-05	6.29494e-05	0.0349145
0.0934579	10.7	0.0146053	-1.71885	8.92985e-05	5.74847e-05	0.0347759
0.0925926	10.8	0.0142781	-1.71886	8.20189e-05	5.24923e-05	0.0346416
0.0917431	10.9	0.0139603	-1.71887	7.5331e-05	4.79315e-05	0.0345116
0.0909091	11	0.0136514	-1.71889	6.91868e-05	4.37652e-05	0.0343856
0.0900901	11.1	0.0133512	-1.7189	6.35424e-05	3.99596e-05	0.0342635
0.0892857	11.2	0.0130591	-1.71891	5.83572e-05	3.64836e-05	0.0341452
0.0884956	11.3	0.0127749	-1.71892	5.35941e-05	3.33088e-05	0.0340305
0.0877193	11.4	0.0124983	-1.71893	4.92187e-05	3.04092e-05	0.0339193
0.0869565	11.5	0.0122289	-1.71894	4.51997e-05	2.77611e-05	0.0338114
0.0862069	11.6	0.0119664	-1.71895	4.15081e-05	2.53429e-05	0.0337068
0.0854701	11.7	0.0117106	-1.71895	3.81173e-05	2.31346e-05	0.0336053
0.0847458	11.8	0.0114612	-1.71896	3.50029e-05	2.11177e-05	0.0335068
0.0840336	11.9	0.011218	-1.71897	3.21424e-05	1.92765e-05	0.0334113
0.0833333	12	0.0109807	-1.71898	2.95152e-05	1.75953e-05	0.0333185
0.0826446	12.1	0.0107492	-1.71899	2.71024e-05	1.60607e-05	0.0332285
0.0819672	12.2	0.0105232	-1.71899	2.48865e-05	1.46593e-05	0.0331411
0.0813008	12.3	0.0103025	-1.719	2.28513e-05	1.33798e-05	0.0330562
0.0806452	12.4	0.010087	-1.71901	2.09825e-05	1.22117e-05	0.0329738
0.08	12.5	0.00987645	-1.71901	1.92662e-05	1.11454e-05	0.0328938
0.0793651	12.6	0.00967075	-1.71902	1.76901e-05	1.0172e-05	0.0328161
0.0787402	12.7	0.00946973	-1.71903	1.62428e-05	9.28354e-06	0.0327406
0.078125	12.8	0.00927324	-1.71903	1.49138e-05	8.47259e-06	0.0326672
0.0775194	12.9	0.00908114	-1.71904	1.36934e-05	7.73306e-06	0.032596
0.0769231	13	0.0088933	-1.71904	1.25726e-05	7.05718e-06	0.0325267
0.0763359	13.1	0.00870959	-1.71905	1.15435e-05	6.44029e-06	0.0324594
0.0757576	13.2	0.0085299	-1.71905	1.05985e-05	5.87725e-06	0.0323941
0.075188	13.3	0.00835411	-1.71906	9.73079e-06	5.36336e-06	0.0323305
0.0746269	13.4	0.00818212	-1.71906	8.93405e-06	4.89434e-06	0.0322687
0.0740741	13.5	0.00801383	-1.71907	8.20248e-06	4.46628e-06	0.0322087
