#T	β	c	e	chiz	chic	s
0.163934	6.1	0.126735	-0.431511	0.121665	0.118515	0.114498
0.16129	6.2	0.124146	-0.431843	0.121518	0.118345	0.112459
0.15873	6.3	0.121665	-0.432157	0.121378	0.118182	0.110492
0.15625	6.4	0.119285	-0.432456	0.121244	0.118026	0.108595
0.153846	6.5	0.117001	-0.43274	0.121117	0.117876	0.106764
0.151515	6.6	0.114807	-0.43301	0.120995	0.117732	0.104994
0.149254	6.7	0.112699	-0.433267	0.120879	0.117593	0.103284
0.147059	6.8	0.110672	-0.433513	0.120768	0.11746	0.101629
0.144928	6.9	0.10872	-0.433746	0.120662	0.117331	0.100028
0.142857	7	0.106841	-0.433969	0.120561	0.117207	0.0984768
0.140845	7.1	0.105031	-0.434183	0.120464	0.117088	0.0969742
0.138889	7.2	0.103285	-0.434386	0.12037	0.116972	0.0955175
0.136986	7.3	0.101601	-0.434581	0.120281	0.11686	0.0941045
0.135135	7.4	0.0999744	-0.434768	0.120196	0.116752	0.0927333
0.133333	7.5	0.0984032	-0.434947	0.120114	0.116648	0.0914019
0.131579	7.6	0.0968845	-0.435118	0.120035	0.116547	0.0901086
0.12987	7.7	0.0954155	-0.435282	0.119959	0.116448	0.0888517
0.128205	7.8	0.0939938	-0.43544	0.119887	0.116353	0.0876298
0.126582	7.9	0.0926171	-0.435591	0.119817	0.116261	0.0864412
0.125	8	0.0912832	-0.435737	0.119749	0.116171	0.0852846
0.123457	8.1	0.0899901	-0.435877	0.119685	0.116083	0.0841587
0.121951	8.2	0.0887359	-0.436011	0.119622	0.115998	0.0830622
0.120482	8.3	0.0875187	-0.436141	0.119562	0.115916	0.081994
0.119048	8.4	0.0863369	-0.436265	0.119505	0.115835	0.080953
0.117647	8.5	0.0851889	-0.436385	0.119449	0.115757	0.079938
0.116279	8.6	0.0840731	-0.436501	0.119395	0.11568	0.0789482
0.114943	8.7	0.0829883	-0.436613	0.119343	0.115605	0.0779825
0.113636	8.8	0.0819329	-0.436721	0.119293	0.115532	0.0770401
0.11236	8.9	0.0809059	-0.436825	0.119245	0.115461	0.0761201
0.111111	9	0.079906	-0.436925	0.119198	0.115391	0.0752217
0.10989	9.1	0.078932	-0.437022	0.119154	0.115322	0.0743442
0.108696	9.2	0.077983	-0.437116	0.11911	0.115255	0.0734867
0.107527	9.3	0.077058	-0.437206	0.119068	0.11519	0.0726487
0.106383	9.4	0.0761559	-0.437294	0.119028	0.115125	0.0718294
0.105263	9.5	0.075276	-0.437379	0.118989	0.115062	0.0710281
0.104167	9.6	0.0744173	-0.437461	0.118951	0.115	0.0702444
0.103093	9.7	0.073579	-0.43754	0.118914	0.114939	0.0694776
0.102041	9.8	0.0727605	-0.437617	0.118879	0.114879	0.0687271
0.10101	9.9	0.0719609	-0.437692	0.118845	0.11482	0.0679925
0.1	10	0.0711796	-0.437764	0.118812	0.114762	0.0672732
0.0990099	10.1	0.070416	-0.437834	0.11878	0.114705	0.0665688
0.0980392	10.2	0.0696694	-0.437902	0.118749	0.114649	0.0658787
0.0970874	10.3	0.0689392	-0.437968	0.118719	0.114593	0.0652025
0.0961538	10.4	0.0682248	-0.438032	0.11869	0.114538	0.0645399
0.0952381	10.5	0.0675258	-0.438094	0.118662	0.114484	0.0638904
0.0943396	10.6	0.0668416	-0.438155	0.118635	0.11443	0.0632536
0.0934579	10.7	0.0661717	-0.438213	0.118609	0.114378	0.0626291
0.0925926	10.8	0.0655157	-0.43827	0.118583	0.114325	0.0620166
0.0917431	10.9	0.0648732	-0.438326	0.118559	0.114273	0.0614157
0.0909091	11	0.0642436	-0.438379	0.118535	0.114222	0.0608262
0.0900901	11.1	0.0636266	-0.438432	0.118512	0.114171	0.0602476
0.0892857	11.2	0.0630218	-0.438483	0.11849	0.11412	0.0596796
0.0884956	11.3	0.0624288	-0.438532	0.118469	0.11407	0.0591221
0.0877193	11.4	0.0618473	-0.438581	0.118448	0.11402	0.0585746
0.0869565	11.5	0.0612769	-0.438627	0.118428	0.113971	0.058037
0.0862069	11.6	0.0607174	-0.438673	0.118408	0.113921	0.0575088
0.0854701	11.7	0.0601683	-0.438718	0.11839	0.113872	0.05699
0.0847458	11.8	0.0596294	-0.438761	0.118371	0.113823	0.0564802
0.0840336	11.9	0.0591003	-0.438803	0.118354	0.113775	0.0559793
0.0833333	12	0.0585809	-0.438845	0.118337	0.113726	0.0554869
0.0826446	12.1	0.0580709	-0.438885	0.118321	0.113678	0.0550029
0.0819672	12.2	0.0575699	-0.438924	0.118305	0.11363	0.054527
0.0813008	12.3	0.0570778	-0.438962	0.118289	0.113582	0.054059
0.0806452	12.4	0.0565943	-0.438999	0.118275	0.113534	0.0535988
0.08	12.5	0.0561191	-0.439036	0.11826	0.113486	0.0531461
0.0793651	12.6	0.0556521	-0.439071	0.118247	0.113438	0.0527008
0.0787402	12.7	0.055193	-0.439106	0.118233	0.11339	0.0522627
0.078125	12.8	0.0547417	-0.43914	0.118221	0.113341	0.0518316
0.0775194	12.9	0.0542978	-0.439173	0.118208	0.113293	0.0514073
0.0769231	13	0.0538614	-0.439205	0.118196	0.113245	0.0509897
0.0763359	13.1	0.053432	-0.439236	0.118185	0.113197	0.0505786
0.0757576	13.2	0.0530097	-0.439267	0.118174	0.113149	0.0501739
0.075188	13.3	0.0525941	-0.439297	0.118163	0.1131	0.0497754
0.0746269	13.4	0.0521852	-0.439327	0.118153	0.113052	0.049383
0.0740741	13.5	0.0517828	-0.439355	0.118143	0.113003	0.0489965
0.0735294	13.6	0.0513866	-0.439384	0.118134	0.112954	0.0486158
0.0729927	13.7	0.0509967	-0.439411	0.118124	0.112905	0.0482408
0.0724638	13.8	0.0506127	-0.439438	0.118116	0.112855	0.0478713
0.0719424	13.9	0.0502347	-0.439464	0.118107	0.112806	0.0475072
0.0714286	14	0.0498624	-0.43949	0.118099	0.112756	0.0471484
0.070922	14.1	0.0494957	-0.439515	0.118091	0.112706	0.0467948
0.0704225	14.2	0.0491344	-0.43954	0.118084	0.112656	0.0464463
0.0699301	14.3	0.0487786	-0.439564	0.118077	0.112606	0.0461028
0.0694444	14.4	0.0484279	-0.439587	0.11807	0.112555	0.0457641
0.0689655	14.5	0.0480824	-0.439611	0.118064	0.112504	0.0454301
0.0684932	14.6	0.0477419	-0.439633	0.118057	0.112452	0.0451008
0.0680272	14.7	0.0474063	-0.439655	0.118052	0.112401	0.0447761
0.0675676	14.8	0.0470755	-0.439677	0.118046	0.112349	0.0444558
0.0671141	14.9	0.0467494	-0.439698	0.118041	0.112297	0.0441399
0.0666667	15	0.0464278	-0.439719	0.118035	0.112244	0.0438283
0.0662252	15.1	0.0461107	-0.43974	0.118031	0.112191	0.0435208
0.0657895	15.2	0.0457981	-0.43976	0.118026	0.112138	0.0432175
0.0653595	15.3	0.0454897	-0.439779	0.118022	0.112085	0.0429182
0.0649351	15.4	0.0451856	-0.439798	0.118018	0.112031	0.0426228
0.0645161	15.5	0.0448855	-0.439817	0.118014	0.111976	0.0423314
0.0641026	15.6	0.0445896	-0.439836	0.11801	0.111922	0.0420437
0.0636943	15.7	0.0442975	-0.439854	0.118007	0.111867	0.0417597
0.0632911	15.8	0.0440094	-0.439872	0.118003	0.111811	0.0414793
0.0628931	15.9	0.043725	-0.439889	0.118	0.111756	0.0412026
0.0625	16	0.0434444	-0.439906	0.117997	0.111699	0.0409293
0.0621118	16.1	0.0431674	-0.439923	0.117995	0.111643	0.0406595
0.0617284	16.2	0.042894	-0.43994	0.117992	0.111586	0.040393
0.0613497	16.3	0.0426241	-0.439956	0.11799	0.111529	0.0401299
0.0609756	16.4	0.0423576	-0.439972	0.117988	0.111471	0.03987
0.0606061	16.5	0.0420945	-0.439987	0.117986	0.111413	0.0396133
0.060241	16.6	0.0418348	-0.440003	0.117985	0.111355	0.0393598
0.0598802	16.7	0.0415782	-0.440018	0.117983	0.111296	0.0391093
0.0595238	16.8	0.0413249	-0.440033	0.117982	0.111237	0.0388618
0.0591716	16.9	0.0410747	-0.440047	0.11798	0.111177	0.0386173
0.0588235	17	0.0408275	-0.440061	0.117979	0.111117	0.0383757
0.0584795	17.1	0.0405834	-0.440075	0.117978	0.111057	0.038137
0.0581395	17.2	0.0403422	-0.440089	0.117978	0.110996	0.037901
0.0578035	17.3	0.0401039	-0.440103	0.117977	0.110935	0.0376679
0.0574713	17.4	0.0398685	-0.440116	0.117977	0.110873	0.0374374
0.0571429	17.5	0.0396359	-0.440129	0.117976	0.110811	0.0372096
0.0568182	17.6	0.039406	-0.440142	0.117976	0.110749	0.0369844
0.0564972	17.7	0.0391788	-0.440154	0.117976	0.110686	0.0367618
0.0561798	17.8	0.0389542	-0.440167	0.117976	0.110623	0.0365417
0.0558659	17.9	0.0387323	-0.440179	0.117976	0.110559	0.0363241
0.0555556	18	0.038513	-0.440191	0.117976	0.110495	0.0361089
0.0552486	18.1	0.0382961	-0.440203	0.117976	0.110431	0.0358961
0.0549451	18.2	0.0380817	-0.440214	0.117977	0.110366	0.0356857
0.0546448	18.3	0.0378698	-0.440226	0.117977	0.110301	0.0354776
0.0543478	18.4	0.0376602	-0.440237	0.117978	0.110236	0.0352718
0.0540541	18.5	0.037453	-0.440248	0.117978	0.11017	0.0350683
0.0537634	18.6	0.0372481	-0.440259	0.117979	0.110104	0.0348669
0.0534759	18.7	0.0370455	-0.440269	0.11798	0.110037	0.0346678
0.0531915	18.8	0.0368451	-0.44028	0.117981	0.10997	0.0344707
0.0529101	18.9	0.0366469	-0.44029	0.117982	0.109903	0.0342758
0.0526316	19	0.0364509	-0.440301	0.117983	0.109835	0.0340829
0.052356	19.1	0.036257	-0.440311	0.117984	0.109767	0.0338921
0.0520833	19.2	0.0360652	-0.44032	0.117985	0.109699	0.0337032
0.0518135	19.3	0.0358754	-0.44033	0.117986	0.10963	0.0335164
0.0515464	19.4	0.0356877	-0.44034	0.117987	0.109561	0.0333315
0.0512821	19.5	0.035502	-0.440349	0.117988	0.109492	0.0331485
0.0510204	19.6	0.0353182	-0.440358	0.11799	0.109422	0.0329673
0.0507614	19.7	0.0351364	-0.440367	0.117991	0.109352	0.0327881
0.0505051	19.8	0.0349564	-0.440376	0.117992	0.109282	0.0326106
0.0502513	19.9	0.0347784	-0.440385	0.117994	0.109211	0.032435
0.05	20	0.0346022	-0.440394	0.117995	0.10914	0.0322611
0.0497512	20.1	0.0344278	-0.440403	0.117996	0.109069	0.0320889
0.049505	20.2	0.0342551	-0.440411	0.117998	0.108997	0.0319185
0.0492611	20.3	0.0340843	-0.440419	0.117999	0.108925	0.0317498
0.0490196	20.4	0.0339152	-0.440428	0.118	0.108853	0.0315827
0.0487805	20.5	0.0337478	-0.440436	0.118002	0.10878	0.0314173
0.0485437	20.6	0.0335821	-0.440444	0.118003	0.108708	0.0312534
0.0483092	20.7	0.033418	-0.440452	0.118004	0.108634	0.0310912
0.0480769	20.8	0.0332556	-0.440459	0.118006	0.108561	0.0309305
0.0478469	20.9	0.0330948	-0.440467	0.118007	0.108487	0.0307714
0.047619	21	0.0329356	-0.440474	0.118008	0.108413	0.0306138
0.0473934	21.1	0.0327779	-0.440482	0.118009	0.108339	0.0304578
0.0471698	21.2	0.0326218	-0.440489	0.118011	0.108265	0.0303032
0.0469484	21.3	0.0324672	-0.440496	0.118012	0.10819	0.03015
0.046729	21.4	0.0323141	-0.440503	0.118013	0.108115	0.0299983
0.0465116	21.5	0.0321625	-0.44051	0.118014	0.10804	0.029848
0.0462963	21.6	0.0320124	-0.440517	0.118015	0.107964	0.0296991
0.0460829	21.7	0.0318637	-0.440524	0.118016	0.107888	0.0295516
0.0458716	21.8	0.0317164	-0.440531	0.118017	0.107812	0.0294054
0.0456621	21.9	0.0315705	-0.440538	0.118017	0.107736	0.0292606
0.0454545	22	0.031426	-0.440544	0.118018	0.10766	0.0291171
0.0452489	22.1	0.0312828	-0.440551	0.118019	0.107583	0.0289749
0.045045	22.2	0.031141	-0.440557	0.118019	0.107506	0.028834
0.044843	22.3	0.0310005	-0.440563	0.11802	0.107429	0.0286944
0.0446429	22.4	0.0308614	-0.440569	0.11802	0.107352	0.028556
0.0444444	22.5	0.0307235	-0.440575	0.11802	0.107274	0.0284188
