#T	β	c	e	chiz	chic	s
0.163934	6.1	0.126734	-0.681511	0.121675	0.118531	0.1145
0.16129	6.2	0.124146	-0.681842	0.121527	0.118361	0.112461
0.15873	6.3	0.121665	-0.682157	0.121387	0.118198	0.110494
0.15625	6.4	0.119285	-0.682456	0.121253	0.118042	0.108597
0.153846	6.5	0.117001	-0.68274	0.121126	0.117892	0.106765
0.151515	6.6	0.114808	-0.68301	0.121004	0.117748	0.104996
0.149254	6.7	0.1127	-0.683267	0.120888	0.117609	0.103285
0.147059	6.8	0.110673	-0.683512	0.120777	0.117476	0.101631
0.144928	6.9	0.108722	-0.683746	0.120671	0.117347	0.100029
0.142857	7	0.106843	-0.683969	0.12057	0.117223	0.0984786
0.140845	7.1	0.105033	-0.684182	0.120473	0.117104	0.0969759
0.138889	7.2	0.103287	-0.684386	0.12038	0.116988	0.0955192
0.136986	7.3	0.101603	-0.684581	0.12029	0.116877	0.0941062
0.135135	7.4	0.0999768	-0.684767	0.120205	0.116769	0.0927349
0.133333	7.5	0.0984059	-0.684946	0.120123	0.116664	0.0914035
0.131579	7.6	0.0968874	-0.685118	0.120044	0.116563	0.0901102
0.12987	7.7	0.0954187	-0.685282	0.119968	0.116465	0.0888533
0.128205	7.8	0.0939972	-0.68544	0.119895	0.116369	0.0876313
0.126582	7.9	0.0926207	-0.685591	0.119825	0.116277	0.0864426
0.125	8	0.0912869	-0.685736	0.119758	0.116187	0.085286
0.123457	8.1	0.089994	-0.685876	0.119693	0.1161	0.08416
0.121951	8.2	0.0887399	-0.686011	0.119631	0.116014	0.0830635
0.120482	8.3	0.0875228	-0.68614	0.11957	0.115932	0.0819953
0.119048	8.4	0.0863412	-0.686265	0.119512	0.115851	0.0809542
0.117647	8.5	0.0851932	-0.686385	0.119457	0.115772	0.0799392
0.116279	8.6	0.0840776	-0.686501	0.119403	0.115696	0.0789493
0.114943	8.7	0.0829928	-0.686613	0.119351	0.115621	0.0779836
0.113636	8.8	0.0819376	-0.68672	0.119301	0.115548	0.0770411
0.11236	8.9	0.0809106	-0.686824	0.119252	0.115476	0.0761211
0.111111	9	0.0799107	-0.686925	0.119206	0.115406	0.0752226
0.10989	9.1	0.0789368	-0.687022	0.119161	0.115338	0.074345
0.108696	9.2	0.0779879	-0.687115	0.119117	0.115271	0.0734875
0.107527	9.3	0.0770629	-0.687206	0.119075	0.115205	0.0726494
0.106383	9.4	0.0761609	-0.687294	0.119035	0.11514	0.07183
0.105263	9.5	0.0752809	-0.687378	0.118995	0.115077	0.0710288
0.104167	9.6	0.0744223	-0.68746	0.118957	0.115015	0.070245
0.103093	9.7	0.073584	-0.68754	0.118921	0.114954	0.0694781
