#T	β	c	e	chiz	chic	s
0.175439	5.7	0.0239931	-2.14147	0.00116505	0.000602246	0.0346202
0.172414	5.8	0.0221559	-2.14154	0.00104627	0.000530264	0.034219
0.169492	5.9	0.0204643	-2.1416	0.000939824	0.000466856	0.0338549
0.166667	6	0.018906	-2.14166	0.000844397	0.000411005	0.0335242
0.163934	6.1	0.0174703	-2.14171	0.00075883	0.000361815	0.0332237
0.16129	6.2	0.0161472	-2.14175	0.000682085	0.000318496	0.0329505
0.15873	6.3	0.0149273	-2.14179	0.000613237	0.000280349	0.032702
0.15625	6.4	0.0138025	-2.14182	0.000551457	0.000246759	0.0324759
0.153846	6.5	0.0127649	-2.14186	0.000496006	0.000217183	0.03227
0.151515	6.6	0.0118076	-2.14189	0.000446224	0.000191144	0.0320825
0.149254	6.7	0.010924	-2.14191	0.000401521	0.00016822	0.0319116
0.147059	6.8	0.0101084	-2.14193	0.000361369	0.00014804	0.0317559
0.144928	6.9	0.00935527	-2.14195	0.000325297	0.000130275	0.0316139
0.142857	7	0.00865967	-2.14197	0.000292882	0.000114639	0.0314843
0.140845	7.1	0.00801705	-2.14199	0.000263747	0.000100875	0.0313661
0.138889	7.2	0.00742324	-2.14201	0.000237554	8.87612e-05	0.0312582
0.136986	7.3	0.0068744	-2.14202	0.000214002	7.80994e-05	0.0311596
0.135135	7.4	0.00636701	-2.14203	0.000192819	6.87156e-05	0.0310696
0.133333	7.5	0.00589786	-2.14204	0.000173763	6.04558e-05	0.0309873
0.131579	7.6	0.00546395	-2.14205	0.000156617	5.31897e-05	0.0309121
0.12987	7.7	0.00506258	-2.14206	0.000141187	4.67949e-05	0.0308433
0.128205	7.8	0.00469124	-2.14207	0.000127298	4.11694e-05	0.0307804
0.126582	7.9	0.00434761	-2.14208	0.000114794	3.6221e-05	0.0307229
0.125	8	0.00402955	-2.14208	0.000103534	3.18666e-05	0.0306702
0.123457	8.1	0.00373513	-2.14209	9.33924e-05	2.8035e-05	0.030622
0.121951	8.2	0.00346253	-2.14209	8.42565e-05	2.46637e-05	0.0305779
0.120482	8.3	0.00321011	-2.1421	7.60249e-05	2.16972e-05	0.0305374
0.119048	8.4	0.00297633	-2.1421	6.86069e-05	1.90871e-05	0.0305004
0.117647	8.5	0.00275979	-2.14211	6.1921e-05	1.67905e-05	0.0304665
0.116279	8.6	0.00255918	-2.14211	5.58938e-05	1.47699e-05	0.0304354
0.114943	8.7	0.00237332	-2.14212	5.04596e-05	1.29922e-05	0.0304069
0.113636	8.8	0.0022011	-2.14212	4.55592e-05	1.14281e-05	0.0303808
0.11236	8.9	0.0020415	-2.14212	4.11396e-05	1.00522e-05	0.0303568
0.111111	9	0.00189357	-2.14212	3.71529e-05	8.84166e-06	0.0303348
0.10989	9.1	0.00175646	-2.14213	3.35563e-05	7.77676e-06	0.0303147
0.108696	9.2	0.00162935	-2.14213	3.0311e-05	6.83998e-06	0.0302962
0.107527	9.3	0.00151151	-2.14213	2.73825e-05	6.01592e-06	0.0302792
0.106383	9.4	0.00140226	-2.14213	2.47393e-05	5.29103e-06	0.0302636
0.105263	9.5	0.00130095	-2.14213	2.23534e-05	4.6534e-06	0.0302493
0.104167	9.6	0.001207	-2.14213	2.01995e-05	4.09253e-06	0.0302362
0.103093	9.7	0.00111987	-2.14214	1.82548e-05	3.59919e-06	0.0302242
0.102041	9.8	0.00103907	-2.14214	1.64987e-05	3.16527e-06	0.0302131
0.10101	9.9	0.000964117	-2.14214	1.49128e-05	2.78361e-06	0.0302029
0.1	10	0.000894597	-2.14214	1.34805e-05	2.44793e-06	0.0301936
0.0990099	10.1	0.000830109	-2.14214	1.21866e-05	2.15269e-06	0.030185
0.0980392	10.2	0.000770285	-2.14214	1.10177e-05	1.89303e-06	0.0301772
0.0970874	10.3	0.000714787	-2.14214	9.9617e-06	1.66466e-06	0.0301699
0.0961538	10.4	0.000663298	-2.14214	9.0075e-06	1.46382e-06	0.0301633
0.0952381	10.5	0.000615527	-2.14214	8.14523e-06	1.28719e-06	0.0301572
0.0943396	10.6	0.000571205	-2.14214	7.36597e-06	1.13186e-06	0.0301515
0.0934579	10.7	0.00053008	-2.14214	6.66167e-06	9.95254e-07	0.0301464
0.0925926	10.8	0.000491922	-2.14214	6.02505e-06	8.75123e-07	0.0301416
0.0917431	10.9	0.000456514	-2.14214	5.44958e-06	7.69481e-07	0.0301373
0.0909091	11	0.000423658	-2.14214	4.92933e-06	6.76582e-07	0.0301332
0.0900901	11.1	0.00039317	-2.14214	4.45897e-06	5.9489e-07	0.0301295
0.0892857	11.2	0.000364878	-2.14214	4.03369e-06	5.23054e-07	0.0301261
0.0884956	11.3	0.000338624	-2.14214	3.64913e-06	4.59887e-07	0.030123
0.0877193	11.4	0.00031426	-2.14215	3.30139e-06	4.04344e-07	0.0301202
0.0869565	11.5	0.00029165	-2.14215	2.9869e-06	3.55504e-07	0.0301175
0.0862069	11.6	0.000270668	-2.14215	2.70248e-06	3.1256e-07	0.0301151
0.0854701	11.7	0.000251196	-2.14215	2.44524e-06	2.74801e-07	0.0301128
0.0847458	11.8	0.000233125	-2.14215	2.21256e-06	2.41601e-07	0.0301108
0.0840336	11.9	0.000216355	-2.14215	2.00209e-06	2.1241e-07	0.0301089
0.0833333	12	0.000200792	-2.14215	1.81169e-06	1.86744e-07	0.0301072
0.0826446	12.1	0.000186349	-2.14215	1.63946e-06	1.64179e-07	0.0301055
0.0819672	12.2	0.000172945	-2.14215	1.48364e-06	1.44339e-07	0.0301041
0.0813008	12.3	0.000160506	-2.14215	1.34266e-06	1.26896e-07	0.0301027
0.0806452	12.4	0.000148963	-2.14215	1.21511e-06	1.11561e-07	0.0301015
0.08	12.5	0.00013825	-2.14215	1.0997e-06	9.8079e-08	0.0301003
0.0793651	12.6	0.000128309	-2.14215	9.95279e-07	8.62262e-08	0.0300993
0.0787402	12.7	0.000119083	-2.14215	9.00788e-07	7.5806e-08	0.0300983
0.078125	12.8	0.000110522	-2.14215	8.15284e-07	6.66454e-08	0.0300974
0.0775194	12.9	0.000102577	-2.14215	7.37909e-07	5.85919e-08	0.0300966
0.0769231	13	9.52048e-05	-2.14215	6.67888e-07	5.15125e-08	0.0300958
0.0763359	13.1	8.83635e-05	-2.14215	6.04521e-07	4.52884e-08	0.0300951
0.0757576	13.2	8.20151e-05	-2.14215	5.47173e-07	3.98172e-08	0.0300945
0.075188	13.3	7.61247e-05	-2.14215	4.95271e-07	3.50076e-08	0.0300939
0.0746269	13.4	7.06585e-05	-2.14215	4.48297e-07	3.07794e-08	0.0300933
0.0740741	13.5	6.55869e-05	-2.14215	4.05783e-07	2.70626e-08	0.0300928
0.0735294	13.6	6.08808e-05	-2.14215	3.67304e-07	2.37953e-08	0.0300923
0.0729927	13.7	5.65143e-05	-2.14215	3.32476e-07	2.0923e-08	0.0300919
0.0724638	13.8	5.24632e-05	-2.14215	3.00953e-07	1.83983e-08	0.0300915
0.0719424	13.9	4.87049e-05	-2.14215	2.7242e-07	1.61791e-08	0.0300912
0.0714286	14	4.52174e-05	-2.14215	2.46594e-07	1.42281e-08	0.0300908
0.070922	14.1	4.19823e-05	-2.14215	2.23217e-07	1.25134e-08	0.0300905
0.0704225	14.2	3.89809e-05	-2.14215	2.02057e-07	1.10067e-08	0.0300902
0.0699301	14.3	3.61968e-05	-2.14215	1.82903e-07	9.68242e-09	0.03009
0.0694444	14.4	3.36138e-05	-2.14215	1.65565e-07	8.51877e-09	0.0300897
0.0689655	14.5	3.12175e-05	-2.14215	1.49871e-07	7.49591e-09	0.0300895
0.0684932	14.6	2.89953e-05	-2.14215	1.35665e-07	6.59727e-09	0.0300893
0.0680272	14.7	2.69338e-05	-2.14215	1.22805e-07	5.80747e-09	0.0300891
0.0675676	14.8	2.50218e-05	-2.14215	1.11164e-07	5.1136e-09	0.030089
0.0671141	14.9	2.32481e-05	-2.14215	1.00627e-07	4.5038e-09	0.0300888
0.0666667	15	2.16038e-05	-2.14215	9.10889e-08	3.90941e-09	0.0300886
0.0662252	15.1	2.0078e-05	-2.14215	8.24561e-08	3.4445e-09	0.0300885
0.0657895	15.2	1.86637e-05	-2.14215	7.46436e-08	3.03616e-09	0.0300884
0.0653595	15.3	1.7352e-05	-2.14215	6.75711e-08	2.67668e-09	0.0300883
0.0649351	15.4	1.61357e-05	-2.14215	6.11685e-08	2.36217e-09	0.0300882
0.0645161	15.5	1.5008e-05	-2.14215	5.53723e-08	2.08594e-09	0.0300881
0.0641026	15.6	1.3962e-05	-2.14215	5.01252e-08	1.84363e-09	0.030088
0.0636943	15.7	1.29926e-05	-2.14215	4.53751e-08	1.63092e-09	0.0300879
0.0632911	15.8	1.20948e-05	-2.14215	4.10749e-08	1.44381e-09	0.0300878
0.0628931	15.9	1.12614e-05	-2.14215	3.7182e-08	1.2797e-09	0.0300878
0.0625	16	1.04897e-05	-2.14215	3.36579e-08	1.13497e-09	0.0300877
0.0621118	16.1	9.77355e-06	-2.14215	3.04675e-08	1.00829e-09	0.0300876
0.0617284	16.2	9.11021e-06	-2.14215	2.75793e-08	8.97194e-10	0.0300876
0.0613497	16.3	8.49618e-06	-2.14215	2.49648e-08	7.98458e-10	0.0300875
0.0609756	16.4	7.92663e-06	-2.14215	2.25979e-08	7.12371e-10	0.0300875
0.0606061	16.5	7.39912e-06	-2.14215	2.04554e-08	6.35945e-10	0.0300874
0.060241	16.6	6.91026e-06	-2.14215	1.85158e-08	5.68729e-10	0.0300874
0.0598802	16.7	6.45724e-06	-2.14215	1.67608e-08	4.75365e-10	0.0300874
0.0595238	16.8	6.03779e-06	-2.14215	1.51736e-08	4.62013e-10	0.0300873
0.0591716	16.9	5.65008e-06	-2.14215	1.37367e-08	4.41289e-10	0.0300873
0.0588235	17	5.2904e-06	-2.14215	1.24341e-08	3.82163e-10	0.0300873
0.0584795	17.1	4.95734e-06	-2.14215	1.12541e-08	3.41598e-10	0.0300872
0.0581395	17.2	4.64932e-06	-2.14215	1.01854e-08	3.08333e-10	0.0300872
0.0578035	17.3	4.36368e-06	-2.14215	9.2181e-09	2.78886e-10	0.0300872
0.0574713	17.4	4.1003e-06	-2.14215	8.34254e-09	2.53352e-10	0.0300872
0.0571429	17.5	3.8564e-06	-2.14215	7.54995e-09	2.30471e-10	0.0300872
0.0568182	17.6	3.63076e-06	-2.14215	6.83265e-09	2.09396e-10	0.0300871
0.0564972	17.7	3.42192e-06	-2.14215	6.18359e-09	1.90579e-10	0.0300871
0.0561798	17.8	3.2284e-06	-2.14215	5.59627e-09	1.74097e-10	0.0300871
0.0558659	17.9	3.05071e-06	-2.14215	5.06483e-09	1.59167e-10	0.0300871
0.0555556	18	2.88567e-06	-2.14215	4.58394e-09	1.4627e-10	0.0300871
0.0552486	18.1	2.73385e-06	-2.14215	4.14881e-09	1.34448e-10	0.0300871
0.0549451	18.2	2.59348e-06	-2.14215	3.75509e-09	1.23878e-10	0.0300871
0.0546448	18.3	2.46398e-06	-2.14215	3.39883e-09	1.14643e-10	0.030087
0.0543478	18.4	2.34401e-06	-2.14215	3.07647e-09	1.0624e-10	0.030087
0.0540541	18.5	2.23438e-06	-2.14215	2.78478e-09	9.91151e-11	0.030087
0.0537634	18.6	2.13237e-06	-2.14215	2.52084e-09	9.27705e-11	0.030087
0.0534759	18.7	2.03949e-06	-2.14215	2.28202e-09	8.7378e-11	0.030087
0.0531915	18.8	1.95234e-06	-2.14215	2.06592e-09	8.23183e-11	0.030087
0.0529101	18.9	1.87369e-06	-2.14215	1.87039e-09	7.80437e-11	0.030087
0.0526316	19	1.80116e-06	-2.14215	1.69345e-09	7.41597e-11	0.030087
0.052356	19.1	1.73388e-06	-2.14215	1.53335e-09	7.0534e-11	0.030087
0.0520833	19.2	1.67241e-06	-2.14215	1.38849e-09	6.74491e-11	0.030087
