#T	β	c	e	chiz	chic	s
0.019084	52.4	0.0153729	-0.566143	0.0992665	0.0778035	0.0104142
0.0190476	52.5	0.0153589	-0.566144	0.0991312	0.0776812	0.0103854
0.0190114	52.6	0.0153451	-0.566144	0.0989955	0.0775588	0.0103566
0.0189753	52.7	0.0153313	-0.566145	0.0988595	0.0774363	0.0103279
0.0189394	52.8	0.0153176	-0.566145	0.0987232	0.0773137	0.0102993
0.0189036	52.9	0.015304	-0.566146	0.0985866	0.0771909	0.0102708
0.0188679	53	0.0152905	-0.566147	0.0984497	0.077068	0.0102424
0.0188324	53.1	0.015277	-0.566147	0.0983124	0.0769451	0.010214
0.018797	53.2	0.0152637	-0.566148	0.0981748	0.076822	0.0101857
0.0187617	53.3	0.0152503	-0.566148	0.098037	0.0766988	0.0101576
0.0187266	53.4	0.0152371	-0.566149	0.0978988	0.0765755	0.0101295
0.0186916	53.5	0.0152239	-0.566149	0.0977603	0.076452	0.0101014
0.0186567	53.6	0.0152108	-0.56615	0.0976215	0.0763285	0.0100735
0.018622	53.7	0.0151978	-0.56615	0.0974824	0.0762049	0.0100457
0.0185874	53.8	0.0151849	-0.566151	0.097343	0.0760812	0.0100179
0.0185529	53.9	0.015172	-0.566151	0.0972034	0.0759573	0.00999019
0.0185185	54	0.0151592	-0.566152	0.0970634	0.0758334	0.00996258
0.0184843	54.1	0.0151464	-0.566152	0.0969231	0.0757094	0.00993505
0.0184502	54.2	0.0151337	-0.566153	0.0967826	0.0755853	0.00990759
0.0184162	54.3	0.0151211	-0.566153	0.0966418	0.0754611	0.00988022
0.0183824	54.4	0.0151086	-0.566154	0.0965007	0.0753367	0.00985292
0.0183486	54.5	0.0150961	-0.566154	0.0963593	0.0752123	0.0098257
0.018315	54.6	0.0150836	-0.566155	0.0962177	0.0750878	0.00979856
0.0182815	54.7	0.0150713	-0.566155	0.0960757	0.0749632	0.0097715
0.0182482	54.8	0.015059	-0.566156	0.0959336	0.0748386	0.00974451
0.0182149	54.9	0.0150467	-0.566156	0.0957911	0.0747138	0.0097176
0.0181818	55	0.0150346	-0.566157	0.0956484	0.0745889	0.00969076
0.0181488	55.1	0.0150224	-0.566157	0.0955054	0.074464	0.00966401
0.0181159	55.2	0.0150104	-0.566158	0.0953622	0.074339	0.00963732
0.0180832	55.3	0.0149984	-0.566158	0.0952187	0.0742138	0.00961071
0.0180505	55.4	0.0149864	-0.566159	0.095075	0.0740887	0.00958418
0.018018	55.5	0.0149745	-0.566159	0.094931	0.0739634	0.00955772
0.0179856	55.6	0.0149627	-0.56616	0.0947867	0.073838	0.00953134
0.0179533	55.7	0.0149509	-0.56616	0.0946423	0.0737126	0.00950503
0.0179211	55.8	0.0149392	-0.566161	0.0944975	0.0735871	0.00947879
0.0178891	55.9	0.0149275	-0.566161	0.0943526	0.0734615	0.00945263
0.0178571	56	0.0149159	-0.566161	0.0942074	0.0733359	0.00942654
0.0178253	56.1	0.0149043	-0.566162	0.094062	0.0732102	0.00940052
0.0177936	56.2	0.0148928	-0.566162	0.0939163	0.0730844	0.00937457
0.017762	56.3	0.0148814	-0.566163	0.0937704	0.0729585	0.0093487
0.0177305	56.4	0.01487	-0.566163	0.0936243	0.0728326	0.00932289
0.0176991	56.5	0.0148586	-0.566164	0.093478	0.0727066	0.00929716
0.0176678	56.6	0.0148473	-0.566164	0.0933314	0.0725806	0.0092715
0.0176367	56.7	0.014836	-0.566165	0.0931847	0.0724544	0.00924591
0.0176056	56.8	0.0148248	-0.566165	0.0930377	0.0723283	0.00922039
0.0175747	56.9	0.0148137	-0.566166	0.0928905	0.072202	0.00919494
0.0175439	57	0.0148025	-0.566166	0.0927431	0.0720757	0.00916956
0.0175131	57.1	0.0147915	-0.566166	0.0925955	0.0719493	0.00914425
0.0174825	57.2	0.0147805	-0.566167	0.0924476	0.0718229	0.00911901
0.017452	57.3	0.0147695	-0.566167	0.0922996	0.0716965	0.00909383
0.0174216	57.4	0.0147585	-0.566168	0.0921514	0.0715699	0.00906873
0.0173913	57.5	0.0147477	-0.566168	0.092003	0.0714434	0.00904369
0.0173611	57.6	0.0147368	-0.566169	0.0918544	0.0713167	0.00901872
0.017331	57.7	0.014726	-0.566169	0.0917056	0.0711901	0.00899382
0.017301	57.8	0.0147152	-0.56617	0.0915566	0.0710633	0.00896899
0.0172712	57.9	0.0147045	-0.56617	0.0914074	0.0709366	0.00894422
0.0172414	58	0.0146938	-0.56617	0.0912581	0.0708097	0.00891952
0.0172117	58.1	0.0146832	-0.566171	0.0911086	0.0706829	0.00889489
0.0171821	58.2	0.0146726	-0.566171	0.0909589	0.070556	0.00887033
0.0171527	58.3	0.0146621	-0.566172	0.090809	0.070429	0.00884583
0.0171233	58.4	0.0146515	-0.566172	0.0906589	0.070302	0.00882139
0.017094	58.5	0.0146411	-0.566172	0.0905087	0.070175	0.00879702
0.0170648	58.6	0.0146306	-0.566173	0.0903583	0.0700479	0.00877272
0.0170358	58.7	0.0146202	-0.566173	0.0902077	0.0699208	0.00874848
0.0170068	58.8	0.0146098	-0.566174	0.090057	0.0697937	0.00872431
0.0169779	58.9	0.0145995	-0.566174	0.0899061	0.0696665	0.0087002
0.0169492	59	0.0145892	-0.566175	0.0897551	0.0695394	0.00867615
0.0169205	59.1	0.014579	-0.566175	0.0896039	0.0694121	0.00865217
0.0168919	59.2	0.0145687	-0.566175	0.0894525	0.0692849	0.00862825
0.0168634	59.3	0.0145586	-0.566176	0.089301	0.0691576	0.0086044
0.016835	59.4	0.0145484	-0.566176	0.0891494	0.0690303	0.00858061
0.0168067	59.5	0.0145383	-0.566177	0.0889976	0.0689029	0.00855688
0.0167785	59.6	0.0145282	-0.566177	0.0888457	0.0687756	0.00853321
0.0167504	59.7	0.0145181	-0.566177	0.0886936	0.0686482	0.00850961
0.0167224	59.8	0.0145081	-0.566178	0.0885414	0.0685208	0.00848607
0.0166945	59.9	0.0144981	-0.566178	0.0883891	0.0683934	0.00846259
0.0166667	60	0.0144882	-0.566179	0.0882366	0.0682659	0.00843918
0.0166389	60.1	0.0144782	-0.566179	0.088084	0.0681385	0.00841582
0.0166113	60.2	0.0144683	-0.566179	0.0879313	0.068011	0.00839253
0.0165837	60.3	0.0144585	-0.56618	0.0877784	0.0678835	0.0083693
0.0165563	60.4	0.0144486	-0.56618	0.0876254	0.067756	0.00834613
0.0165289	60.5	0.0144388	-0.56618	0.0874723	0.0676285	0.00832302
0.0165017	60.6	0.014429	-0.566181	0.0873191	0.0675009	0.00829997
0.0164745	60.7	0.0144193	-0.566181	0.0871658	0.0673734	0.00827698
