#T	β	c	e	chiz	chic	s
0.169492	5.9	0.113557	-1.35157	0.0434551	0.0457796	0.063179
0.166667	6	0.110669	-1.35189	0.0420519	0.0443862	0.0612947
0.163934	6.1	0.107849	-1.35219	0.0406866	0.0430275	0.0594888
0.16129	6.2	0.105095	-1.35247	0.0393587	0.0417028	0.0577576
0.15873	6.3	0.102405	-1.35274	0.0380675	0.0404119	0.0560976
0.15625	6.4	0.0997752	-1.35299	0.0368125	0.0391542	0.0545056
0.153846	6.5	0.097205	-1.35322	0.0355929	0.0379292	0.0529787
0.151515	6.6	0.0946922	-1.35345	0.0344081	0.0367364	0.0515138
0.149254	6.7	0.0922351	-1.35366	0.0332575	0.0355753	0.0501084
0.147059	6.8	0.0898324	-1.35386	0.0321404	0.0344455	0.0487598
0.144928	6.9	0.0874826	-1.35405	0.0310561	0.0333463	0.0474656
0.142857	7	0.0851844	-1.35423	0.030004	0.0322773	0.0462234
0.140845	7.1	0.0829369	-1.3544	0.0289833	0.0312379	0.0450311
0.138889	7.2	0.0807388	-1.35456	0.0279934	0.0302275	0.0438866
0.136986	7.3	0.0785893	-1.35471	0.0270335	0.0292457	0.0427879
0.135135	7.4	0.0764873	-1.35485	0.0261031	0.0282918	0.041733
0.133333	7.5	0.074432	-1.35499	0.0252014	0.0273652	0.0407202
0.131579	7.6	0.0724226	-1.35512	0.0243278	0.0264655	0.0397477
0.12987	7.7	0.0704582	-1.35524	0.0234815	0.025592	0.038814
0.128205	7.8	0.0685381	-1.35535	0.0226619	0.0247442	0.0379173
0.126582	7.9	0.0666616	-1.35546	0.0218684	0.0239215	0.0370563
0.125	8	0.0648279	-1.35557	0.0211002	0.0231234	0.0362294
0.123457	8.1	0.0630363	-1.35567	0.0203567	0.0223493	0.0354354
0.121951	8.2	0.0612862	-1.35576	0.0196372	0.0215985	0.0346728
0.120482	8.3	0.0595769	-1.35585	0.0189412	0.0208707	0.0339404
0.119048	8.4	0.0579078	-1.35593	0.018268	0.0201651	0.0332371
0.117647	8.5	0.0562781	-1.35601	0.0176169	0.0194813	0.0325616
0.116279	8.6	0.0546872	-1.35609	0.0169873	0.0188188	0.0319128
0.114943	8.7	0.0531346	-1.35616	0.0163787	0.0181769	0.0312897
0.113636	8.8	0.0516196	-1.35623	0.0157905	0.0175551	0.0306913
0.11236	8.9	0.0501415	-1.35629	0.015222	0.016953	0.0301166
0.111111	9	0.0486997	-1.35636	0.0146726	0.01637	0.0295646
0.10989	9.1	0.0472936	-1.35641	0.0141419	0.0158056	0.0290344
0.108696	9.2	0.0459226	-1.35647	0.0136292	0.0152593	0.0285253
0.107527	9.3	0.044586	-1.35652	0.0131341	0.0147305	0.0280363
0.106383	9.4	0.0432832	-1.35657	0.0126559	0.0142189	0.0275666
0.105263	9.5	0.0420137	-1.35662	0.0121943	0.0137239	0.0271155
0.104167	9.6	0.0407767	-1.35667	0.0117485	0.013245	0.0266823
0.103093	9.7	0.0395717	-1.35671	0.0113183	0.0127818	0.0262662
0.102041	9.8	0.0383981	-1.35675	0.010903	0.0123339	0.0258666
0.10101	9.9	0.0372553	-1.35679	0.0105022	0.0119008	0.0254829
0.1	10	0.0361426	-1.35683	0.0101155	0.011482	0.0251143
0.0990099	10.1	0.0350594	-1.35686	0.00974244	0.0110772	0.0247604
0.0980392	10.2	0.0340052	-1.35689	0.00938251	0.0106859	0.0244204
0.0970874	10.3	0.0329794	-1.35693	0.00903531	0.0103078	0.024094
0.0961538	10.4	0.0319813	-1.35696	0.00870044	0.00994232	0.0237804
0.0952381	10.5	0.0310104	-1.35699	0.00837748	0.0095892	0.0234794
0.0943396	10.6	0.0300662	-1.35701	0.00806606	0.00924805	0.0231902
0.0934579	10.7	0.0291479	-1.35704	0.00776578	0.00891847	0.0229125
0.0925926	10.8	0.0282551	-1.35706	0.00747627	0.00860013	0.0226459
0.0917431	10.9	0.0273872	-1.35709	0.00719718	0.00829266	0.0223898
0.0909091	11	0.0265436	-1.35711	0.00692815	0.00799572	0.0221439
0.0900901	11.1	0.0257238	-1.35713	0.00666884	0.00770899	0.0219077
0.0892857	11.2	0.0249272	-1.35715	0.00641893	0.00743214	0.021681
0.0884956	11.3	0.0241533	-1.35717	0.00617808	0.00716484	0.0214632
0.0877193	11.4	0.0234016	-1.35719	0.00594601	0.0069068	0.0212541
0.0869565	11.5	0.0226715	-1.35721	0.00572239	0.00665772	0.0210533
0.0862069	11.6	0.0219624	-1.35722	0.00550694	0.0064173	0.0208605
0.0854701	11.7	0.021274	-1.35724	0.00529937	0.00618527	0.0206753
0.0847458	11.8	0.0206056	-1.35725	0.00509942	0.00596134	0.0204975
0.0840336	11.9	0.0199568	-1.35727	0.00490681	0.00574526	0.0203268
0.0833333	12	0.019327	-1.35728	0.0047213	0.00553676	0.0201629
0.0826446	12.1	0.0187159	-1.3573	0.00454262	0.00533559	0.0200055
0.0819672	12.2	0.0181229	-1.35731	0.00437053	0.00514151	0.0198543
0.0813008	12.3	0.0175475	-1.35732	0.00420482	0.00495428	0.0197092
0.0806452	12.4	0.0169894	-1.35733	0.00404524	0.00477367	0.0195699
0.08	12.5	0.0164479	-1.35734	0.00389158	0.00459947	0.0194361
0.0793651	12.6	0.0159228	-1.35735	0.00374363	0.00443144	0.0193076
0.0787402	12.7	0.0154136	-1.35736	0.00360118	0.00426939	0.0191842
0.078125	12.8	0.0149198	-1.35737	0.00346405	0.00411311	0.0190658
0.0775194	12.9	0.0144411	-1.35738	0.00333203	0.00396241	0.018952
0.0769231	13	0.013977	-1.35739	0.00320494	0.00381709	0.0188428
0.0763359	13.1	0.0135271	-1.3574	0.0030826	0.00367697	0.018738
0.0757576	13.2	0.013091	-1.3574	0.00296485	0.00354187	0.0186373
0.075188	13.3	0.0126684	-1.35741	0.00285151	0.00341162	0.0185407
0.0746269	13.4	0.0122589	-1.35742	0.00274243	0.00328606	0.0184479
0.0740741	13.5	0.0118621	-1.35742	0.00263745	0.00316501	0.0183588
0.0735294	13.6	0.0114776	-1.35743	0.00253642	0.00304832	0.0182732
0.0729927	13.7	0.0111052	-1.35744	0.00243919	0.00293584	0.0181911
0.0724638	13.8	0.0107444	-1.35744	0.00234563	0.00282743	0.0181122
0.0719424	13.9	0.0103949	-1.35745	0.00225561	0.00272294	0.0180365
0.0714286	14	0.0100565	-1.35745	0.00216898	0.00262223	0.0179638
0.070922	14.1	0.00972875	-1.35746	0.00208563	0.00252518	0.017894
0.0704225	14.2	0.00941138	-1.35746	0.00200544	0.00243165	0.017827
0.0699301	14.3	0.00910408	-1.35747	0.00192828	0.00234151	0.0177627
0.0694444	14.4	0.00880657	-1.35747	0.00185405	0.00225466	0.0177009
0.0689655	14.5	0.00851855	-1.35748	0.00178264	0.00217097	0.0176416
0.0684932	14.6	0.00823975	-1.35748	0.00171394	0.00209033	0.0175847
0.0680272	14.7	0.00796988	-1.35748	0.00164786	0.00201264	0.01753
0.0675676	14.8	0.00770869	-1.35749	0.00158429	0.00193779	0.0174776
0.0671141	14.9	0.00745592	-1.35749	0.00152314	0.00186567	0.0174272
0.0666667	15	0.0072113	-1.35749	0.00146432	0.00179619	0.0173788
0.0662252	15.1	0.00697461	-1.3575	0.00140775	0.00172926	0.0173324
0.0657895	15.2	0.00674559	-1.3575	0.00135333	0.00166478	0.0172878
0.0653595	15.3	0.00652403	-1.3575	0.001301	0.00160267	0.017245
0.0649351	15.4	0.00630968	-1.35751	0.00125066	0.00154284	0.0172039
0.0645161	15.5	0.00610233	-1.35751	0.00120225	0.00148522	0.0171644
0.0641026	15.6	0.00590177	-1.35751	0.00115569	0.00142971	0.0171265
0.0636943	15.7	0.00570778	-1.35751	0.00111092	0.00137625	0.0170902
0.0632911	15.8	0.00552018	-1.35752	0.00106786	0.00132475	0.0170552
0.0628931	15.9	0.00533876	-1.35752	0.00102646	0.00127516	0.0170217
0.0625	16	0.00516332	-1.35752	0.000986643	0.0012274	0.0169895
0.0621118	16.1	0.00499369	-1.35752	0.000948356	0.0011814	0.0169587
0.0617284	16.2	0.00482969	-1.35752	0.00091154	0.00113711	0.016929
0.0613497	16.3	0.00467114	-1.35752	0.000876139	0.00109445	0.0169005
0.0609756	16.4	0.00451787	-1.35753	0.0008421	0.00105337	0.0168732
0.0606061	16.5	0.00436971	-1.35753	0.000809372	0.00101382	0.0168469
0.060241	16.6	0.0042265	-1.35753	0.000777904	0.000975727	0.0168217
0.0598802	16.7	0.0040881	-1.35753	0.000747648	0.000939052	0.0167976
0.0595238	16.8	0.00395434	-1.35753	0.000718559	0.000903738	0.0167743
0.0591716	16.9	0.00382508	-1.35753	0.000690592	0.000869736	0.016752
0.0588235	17	0.00370017	-1.35754	0.000663704	0.000836998	0.0167306
0.0584795	17.1	0.00357949	-1.35754	0.000637854	0.000805479	0.0167101
0.0581395	17.2	0.00346289	-1.35754	0.000613002	0.000775132	0.0166904
0.0578035	17.3	0.00335024	-1.35754	0.000589111	0.000745916	0.0166714
0.0574713	17.4	0.00324142	-1.35754	0.000566144	0.000717789	0.0166532
0.0571429	17.5	0.00313631	-1.35754	0.000544065	0.00069071	0.0166358
0.0568182	17.6	0.00303478	-1.35754	0.000522841	0.000664642	0.016619
0.0564972	17.7	0.00293672	-1.35754	0.000502438	0.000639547	0.016603
0.0561798	17.8	0.00284201	-1.35754	0.000482825	0.000615389	0.0165875
0.0558659	17.9	0.00275056	-1.35754	0.000463973	0.000592135	0.0165727
0.0555556	18	0.00266225	-1.35754	0.000445851	0.00056975	0.0165585
0.0552486	18.1	0.00257699	-1.35755	0.000428432	0.000548202	0.0165448
0.0549451	18.2	0.00249467	-1.35755	0.000411688	0.000527461	0.0165317
0.0546448	18.3	0.00241519	-1.35755	0.000395594	0.000507497	0.0165191
0.0543478	18.4	0.00233847	-1.35755	0.000380126	0.000488281	0.016507
0.0540541	18.5	0.00226442	-1.35755	0.000365258	0.000469785	0.0164954
0.0537634	18.6	0.00219294	-1.35755	0.000350967	0.000451983	0.0164843
0.0534759	18.7	0.00212396	-1.35755	0.000337232	0.000434849	0.0164736
0.0531915	18.8	0.00205738	-1.35755	0.000324031	0.000418359	0.0164633
0.0529101	18.9	0.00199314	-1.35755	0.000311344	0.000402488	0.0164534
0.0526316	19	0.00193116	-1.35755	0.00029915	0.000387213	0.016444
0.052356	19.1	0.00187136	-1.35755	0.000287431	0.000372513	0.0164349
0.0520833	19.2	0.00181366	-1.35755	0.000276168	0.000358366	0.0164262
0.0518135	19.3	0.00175801	-1.35755	0.000265343	0.000344751	0.0164178
0.0515464	19.4	0.00170432	-1.35755	0.000254941	0.000331649	0.0164098
0.0512821	19.5	0.00165254	-1.35755	0.000244943	0.00031904	0.016402
0.0510204	19.6	0.00160261	-1.35755	0.000235336	0.000306906	0.0163946
0.0507614	19.7	0.00155446	-1.35755	0.000226103	0.00029523	0.0163875
0.0505051	19.8	0.00150802	-1.35755	0.00021723	0.000283994	0.0163807
0.0502513	19.9	0.00146326	-1.35755	0.000208704	0.000273183	0.0163741
0.05	20	0.0014201	-1.35756	0.00020051	0.000262779	0.0163679
0.0497512	20.1	0.0013785	-1.35756	0.000192637	0.000252768	0.0163618
0.049505	20.2	0.0013384	-1.35756	0.00018507	0.000243136	0.016356
0.0492611	20.3	0.00129975	-1.35756	0.0001778	0.000233867	0.0163505
0.0490196	20.4	0.00126251	-1.35756	0.000170813	0.000224949	0.0163451
0.0487805	20.5	0.00122663	-1.35756	0.0001641	0.000216369	0.01634
0.0485437	20.6	0.00119205	-1.35756	0.000157649	0.000208113	0.0163351
0.0483092	20.7	0.00115874	-1.35756	0.00015145	0.000200169	0.0163303
0.0480769	20.8	0.00112666	-1.35756	0.000145494	0.000192527	0.0163258
0.0478469	20.9	0.00109576	-1.35756	0.000139771	0.000185174	0.0163214
0.047619	21	0.001066	-1.35756	0.000134272	0.000178099	0.0163173
0.0473934	21.1	0.00103735	-1.35756	0.000128989	0.000171293	0.0163132
0.0471698	21.2	0.00100977	-1.35756	0.000123912	0.000164745	0.0163094
0.0469484	21.3	0.000983211	-1.35756	0.000119034	0.000158446	0.0163057
0.046729	21.4	0.000957652	-1.35756	0.000114347	0.000152385	0.0163021
0.0465116	21.5	0.000933055	-1.35756	0.000109844	0.000146555	0.0162987
0.0462963	21.6	0.000909388	-1.35756	0.000105518	0.000140946	0.0162954
0.0460829	21.7	0.000886619	-1.35756	0.000101361	0.000135551	0.0162923
0.0458716	21.8	0.000864717	-1.35756	9.73668e-05	0.00013036	0.0162893
0.0456621	21.9	0.000843654	-1.35756	9.35296e-05	0.000125367	0.0162864
