Temperature,  F    <E>     <E^2>    Cv    entropy
============================================
1.321941   -8.636182   -11634.124960    209877.673789    10.804758   -8794.255915
1.417474   -8.073432   -4736.518488    81504.161055    10.221411   -3335.824518
1.519911   -7.542294   -2131.703399    34875.476279    9.333311   -1397.556168
1.629751   -7.044820   -1051.490589    16330.220831    8.311006   -640.862241
1.747528   -6.579037   -562.275621    8286.209727    7.284367   -317.990016
1.873817   -6.143407   -322.951892    4520.859529    6.338667   -169.071160
2.009233   -5.737068   -197.632397    2633.540736    5.505324   -95.506758
2.154435   -5.356692   -127.690669    1623.545567    4.782580   -56.782402
2.310130   -5.001167   -86.532595    1052.838697    4.161240   -35.293009
2.477076   -4.668145   -61.107196    713.820964    3.629587   -22.784543
