1	2	11	 -0.24988668
1	3	27	  0.00193325
1	4	29	 -0.00193536
1	5	42	  0.00048721
1	6	44	 -0.00048650
1	7	59	  0.00692669
1	8	73	 -0.00092804
1	9	79	  0.00095147
1	10	101	 -0.00410619
1	11	113	  0.00279254
1	12	124	 -0.00202999
1	13	126	  0.00168681
1	14	129	 -0.00512646
2	3	16	 -0.00193704
2	4	18	  0.00193439
2	5	31	 -0.00048838
2	6	33	  0.00048752
2	7	48	 -0.00697591
2	8	62	  0.00092861
2	9	68	 -0.00095213
2	10	90	  0.00407919
2	11	102	 -0.00277356
2	12	113	  0.00201478
2	13	115	 -0.00167417
2	14	118	  0.00508798
3	4	2	 -0.24998994
3	5	15	  0.00063351
3	6	17	 -0.00063311
3	7	32	  0.00092908
3	8	46	 -0.00009253
3	9	52	  0.00009101
3	10	74	 -0.00055189
3	11	86	  0.00035986
3	12	97	 -0.00025916
3	13	99	  0.00021540
3	14	102	 -0.00065761
4	5	13	 -0.00063390
4	6	15	  0.00063308
4	7	30	 -0.00092982
4	8	44	  0.00009255
4	9	50	 -0.00009104
4	10	72	  0.00055198
4	11	84	 -0.00035992
4	12	95	  0.00025920
4	13	97	 -0.00021543
4	14	100	  0.00065773
5	6	2	 -0.24997246
5	7	17	  0.00357590
5	8	31	 -0.00043670
5	9	37	  0.00041309
5	10	59	 -0.00219539
5	11	71	  0.00139886
5	12	82	 -0.00098803
5	13	84	  0.00082042
5	14	87	 -0.00248817
6	7	15	 -0.00358373
6	8	29	  0.00043588
6	9	35	 -0.00041228
6	10	57	  0.00219079
6	11	69	 -0.00139595
6	12	80	  0.00098596
6	13	82	 -0.00081871
6	14	85	  0.00248294
7	8	14	 -0.04919355
7	9	20	  0.04470918
7	10	42	 -0.15596197
7	11	54	  0.09669460
7	12	65	 -0.06692261
7	13	67	  0.05541902
7	14	70	 -0.16802210
8	9	6	 -0.24430799
8	10	28	  0.03270894
8	11	40	 -0.01996423
8	12	51	  0.01182509
8	13	53	 -0.00980340
8	14	56	  0.02920169
9	10	22	 -0.03625263
9	11	34	  0.02142290
9	12	45	 -0.01269925
9	13	47	  0.01051753
9	14	50	 -0.03138391
10	11	12	 -0.18484264
10	12	23	  0.03928255
10	13	25	 -0.03232491
10	14	28	  0.09064861
11	12	11	 -0.06494390
11	13	13	  0.05164272
11	14	16	 -0.14542017
12	13	2	 -0.22874779
12	14	5	  0.07660406
13	14	3	 -0.09494583
