Temperature,  F    <E>     <E^2>    Cv    entropy
============================================
0.327455   -18.438309   -63608519280988203526389760.000000    1421920032247616531213582336.000000    0.731631   -194251224812832285641408512.000000
0.351119   -18.156429   -640300486838325908340736.000000    14302505930896895536791552.000000    0.768566   -1823598770862679245455360.000000
0.376494   -17.855210   -8809942238073244876800.000000    196620679244738323283968.000000    0.814620   -23399979989229088276480.000000
0.403702   -17.533843   -162432092241211817984.000000    3621602977062716440576.000000    0.875362   -402356691018419535872.000000
0.432876   -17.190752   -3932445126972986368.000000    87579645839804071936.000000    0.952386   -9084458242067949568.000000
0.464159   -16.825793   -123078642284859440.000000    2737520152877092864.000000    1.050408   -265164898460758016.000000
0.497702   -16.436249   -4880814611833583.000000    108390613160338368.000000    1.180948   -9806693727217924.000000
0.533670   -16.021955   -242015809771522.812500    5364690133029896.000000    1.352416   -453493443609312.500000
0.572237   -15.580897   -14765256577801.464844    326547896100855.500000    1.583854   -25802705019787.281250
0.613591   -15.112090   -1094076188074.984253    24127911009908.753906    1.893636   -1783071572903.114746
