Temperature,  F    <E>     <E^2>    Cv    entropy
============================================
0.657933   -14.617005   -97613511687.159256    2144855890094.620850    2.311244   -148363859287.333313
0.705480   -14.091941   -10317771361.957619    225660341196.493073    2.862843   -14625174326.806665
0.756463   -13.539852   -1284372235.356561    27918547928.507748    3.587496   -1697864484.477664
0.811131   -12.962428   -186704165.374567    4025179426.557389    4.512722   -230177605.765693
0.869749   -12.361359   -31420230.007488    670061840.025681    5.639303   -36125615.144288
0.932603   -11.740797   -6081762.603407    127840022.568704    6.941188   -6521262.080615
1.000000   -11.110013   -1351153.866111    27868868.918394    8.295321   -1351142.756098
1.072267   -10.473598   -341681.081821    6877928.776788    9.551327   -318643.153357
1.149757   -9.843915   -98226.346435    1918015.051699    10.476035   -85423.704765
1.232847   -9.228889   -31902.364029    600503.473811    10.912507   -25869.505190
