Temperature,  F    <E>     <E^2>    Cv    entropy
============================================
0.040370   -21.992492   -8782138609426623963219626064867734269919980628103199025995642675601335785770293044175170021959890927507244915830085158245148989167137407953612010609298781493925941470154206215606004372661558909444198387560330609724421372791324651347247104.000000    197799535608059470565172110797634643616090709899895836275610403396300731471498959046525163434530866008628470467520134205872930051775291642797045067470688317783068093369822179778176581801184633515114516541812971940438666588683340258692038656.000000    0.516051   -217540292979355975798550712763699365704834301080843762141619354834939084678283769870989270686060026249289403824449720068976769129515819771641632921735440443587778303359291226824036369657523412229175866596202294047151135208312582555261992960.000000
0.043288   -21.954178   -410901482385897295270623380661523434670921300173822852915279533465363229530671074434163700356788032276201833617043463433131063959981286521391167190814030476708927932098259205995693353392046200141965240630376953575775404032.000000    9254092473661012011237498624794366104405731536609165508857931805725916133072861053441083088918344076591659260012782876164221373072491143829759521658541470314456715185304105129319782752837685823230030969321319042043680391168.000000    0.517075   -9492357799053535984495518603908246978696463174373174074621424059941370400545828735620737823302293170421527841464720723897466416658299005030682972675567979482896381823537178613509141136829063857859314935945274897521178574848.000000
0.046416   -21.913240   -243097522673876614554576480569159514362188555494730394090550795129828057394477622244182959157948898168537299948691570811151487817710697480179681921300844395799474346380796816586780787194009883266059207704576.000000    5474513854156062340281977441778098690562563289215400223044407236536081075300794256496463355933384096198468825562438385011453283501838861824599124331589526093705941847689162804472019535414696997251017103900672.000000    0.518350   -5237377171349539266624098354704785585960811191290768269439173337628307651347951789198052068052556701957592206564339127893593773067808039365291690794551820787251866579034645629019029424809019376003978622926848.000000
0.049770   -21.869561   -1534759663187623434997537017182179592375680229622274953048995386501727420811094094229994615035639275437211437675454362657196499210362967040874536573334354300541052008773451481034188171138564096.000000    34559837937052521850226770322624762335612572114724886657886072780426784552626794455121999751669490993700842217869319304976527827477526070164294506109092409402809549366133454786897656006035111936.000000    0.520085   -30836894963488074154674164336139054257567411954993709653981482500021628056284607127061933906500479941817184126652268323052520207007738491776676507481147687799901379158384513119027455366407389184.000000
0.053367   -21.822678   -87692281779949919628831740411436053335692815711096693015891366571483270871575893226237631809517034187088819101008849950577983997739654955653935588482822280071419175619111436681216.000000    1974499192064755952897863199712272262104260698718699115204245299772261782423996125946211425702933382504771272838360600360389495244930766421519626797096725176548175496349417258090496.000000    0.521330   -1643193325685939490487818791144412996102745898392994914260093165166123903323525843174988857350380527330634864691330822491441920876785691633777259090854338172620313362533624697585664.000000
0.057224   -21.772671   -39298483326187018754830710987531655113737751361131169025071063729202286156229908677161458091391218468408551406416618174384206432787689026244145585526668950753521958912.000000    884774652104819389734541920006941208212535921730136693669510549693454760757906357863212087706118894776875770749251582076777811056208981962206627286136953274269937172480.000000    0.522916   -686752116015368765123313837980980307823955566008662085971051601329856444268213772122929621545626016782799828618815362394362584574498346934960782225501377463370203004928.000000
0.061359   -21.719142   -119873684926622815677713715391030495943580313374419956610962993043431382695852999788628673186404963865422445455126536427039180935445731550856954502786842624.000000    2698604548157404980735825070835331869695400361604139395993641796610357149702231710404965998975102579913867302927881738424985813787444867237339741694306811904.000000    0.524560   -1953642467635523932650987909144963324400489701081618099386865412223702035525240774162763042414932526835738163446853980558663830546703723527598816715220189184.000000
0.065793   -21.661923   -2189493213038392899463042093552492383165751196250140390291729997588037718501091898565329167940057587336278092056503807093686422720821238500950016.000000    49284950994580628405522012780911962893733684899112396563324425153249610607609085347059590977201111329062903924557859750100164030975042403671474176.000000    0.526369   -33278351252655429809074022714907879024402982590657831915190288497618909477334340071767794440734891834127115560276177787018186020275849885456007168.000000
0.070548   -21.600745   -212214264789353158116354617356886522448481848168659169380150492776027099053598638355932865078189483740223565946959120381010868856422400.000000    4776362254834736573116370775962456676248962148448975628107838294148584264462027981862323926118897010332623835527230084706385944637341696.000000    0.528312   -3008082505920791829029579406801626816171699803777234921698423035961418550789090371112431510200691085147471612791004233158768398136508416.000000
0.075646   -21.535401   -97620152493421827454213233438736870627492012365183134176740634421402117065946509434256280008731844447331580508467727033171968.000000    2196899214210860478626390749466797362397168581974449408915680645793557881293779489767438463331545874644446848402537676592381952.000000    0.530869   -1290481012012354623504820240908385382816485853678606588557999260995385850575267884495190439164063572790807743591046810951483392.000000
