25	0	-0.2476
24	0	-0.24759
23	0	-0.24759
22	0	-0.2476
21	0	-0.2476
20	0	-0.2476
19	0	-0.24759
18	0	-0.2476
17	0	-0.24759
16	0	-0.24759
15	0	-0.2476
14	0	-0.2476
13	0	-0.2476
12	0	-0.2476
11	0	-0.24759
10	0	-0.2476
9	0	-0.24759
8	0	-0.2476
7	0	-0.2476
6	0	-0.24759
5	0	-0.2476
4	0	-0.24759
3	0	-0.24759
25	0	0.033644
24	0	0.010788
23	0	0.0056695
22	0	0.013868
21	0	0.015097
20	0	0.0161
19	0	0.035144
18	0	0.030463
17	0	-0.0013509
16	0	0.0022353
15	0	0.0088344
14	0	0.069454
13	0	0.023639
12	0	0.016361
11	0	0.0024628
10	0	0.002086
9	0	0.0019167
8	0	0.0019062
7	0	0.002878
6	0	0.0023998
5	0	0.11473
4	0	-0.0061733
3	0	6.7852e-06
25	0	0.0018696
24	0	0.0019082
23	0	0.002346
22	0	0.001455
21	0	0.0018993
20	0	0.015874
19	0	0.0018994
18	0	0.0020687
17	0	0.012618
16	0	0.0019022
15	0	0.0019317
14	0	0.0021338
13	0	0.0018995
12	0	0.0019258
11	0	0.0019055
10	0	0.0014823
9	0	0.0028026
8	0	0.0040373
7	0	0.030471
6	0	0.011799
5	0	0.045888
4	0	0.00016964
3	0	0.0002098
25	0	-0.24759
24	0	-0.24759
23	0	-0.2476
22	0	-0.2476
21	0	-0.2476
20	0	-0.2476
19	0	-0.2476
18	0	-0.2476
17	0	-0.24759
16	0	-0.2476
15	0	-0.2476
14	0	-0.24759
13	0	-0.2476
12	0	-0.2476
11	0	-0.2476
10	0	-0.2476
9	0	-0.2476
8	0	-0.24759
7	0	-0.24759
6	0	-0.2476
5	0	-0.24759
4	0	-0.24759
3	0	-0.2476
